Feature ID,Feature Name,Feature count topic 1to5,Feature log2 fold change topic 1to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000228794,LINC01128,36,2.59051,0,-6.4921,8,-1.7704
ENSG00000188976,NOC2L,47,1.87168,0,-6.7610,19,-1.0394
ENSG00000188290,HES4,58,2.82378,7,-2.6255,8,-2.5040
ENSG00000187608,ISG15,31,0.52724,31,0.22539,16,-0.9081
ENSG00000188157,AGRN,22,-0.0106,19,-0.2042,24,0.12357
ENSG00000078808,SDF4,59,0.32327,58,0.09995,42,-0.4944
ENSG00000176022,B3GALT6,19,1.12238,0,-5.7795,13,-0.2965
ENSG00000160087,UBE2J2,34,1.54895,6,-2.0825,14,-1.0637
ENSG00000162572,SCNN1D,14,0.36107,10,-0.4141,11,-0.2277
ENSG00000131584,ACAP3,90,0.31547,13,-2.8364,102,0.40149
ENSG00000127054,INTS11,35,-0.4419,41,0.05631,51,0.49564
ENSG00000224051,CPTP,19,1.74559,1,-3.5357,8,-1.0387
ENSG00000107404,DVL1,51,0.76680,12,-1.8823,38,-0.2126
ENSG00000175756,AURKAIP1,75,0.17040,96,0.47609,52,-0.5833
ENSG00000221978,CCNL2,71,0.43778,26,-1.4021,65,0.04353
ENSG00000242485,MRPL20,71,0.04756,94,0.47878,57,-0.4035
ENSG00000235098,ANKRD65,13,-0.4703,0,-5.8038,28,1.30349
ENSG00000179403,VWA1,17,-2.6032,65,0.44023,126,2.30591
ENSG00000160072,ATAD3B,12,0.76060,0,-5.2602,11,0.05952
ENSG00000205090,TMEM240,30,2.33330,0,-6.2785,9,-1.5133
ENSG00000160075,SSU72,96,0.33521,127,0.61288,50,-0.9982
ENSG00000228594,FNDC10,26,2.59224,6,-1.5689,3,-2.8375
ENSG00000197530,MIB2,31,0.54160,31,0.19146,17,-0.8991
ENSG00000248333,CDK11B,39,-0.5799,11,-2.1806,81,1.25031
ENSG00000189339,SLC35E2B,15,0.39304,8,-0.7223,13,-0.1264
ENSG00000008128,CDK11A,18,-1.3560,8,-1.9325,66,1.98912
ENSG00000215790,SLC35E2A,29,0.24783,39,0.58161,17,-0.8122
ENSG00000008130,NADK,22,1.31698,4,-2.1105,11,-0.7853
ENSG00000078369,GNB1,352,1.21349,246,-0.1952,105,-1.6734
ENSG00000187730,GABRD,105,3.77019,0,-7.2965,11,-2.9550
ENSG00000067606,PRKCZ,121,1.36620,21,-2.2493,59,-0.8112
ENSG00000162585,FAAP20,25,-0.7856,68,1.32900,31,-0.0439
ENSG00000157933,SKI,53,0.11030,82,0.80013,32,-0.8283
ENSG00000157916,RER1,41,0.13131,37,-0.1170,38,-0.0975
ENSG00000157911,PEX10,15,-1.3657,95,2.65037,13,-1.1016
ENSG00000149527,PLCH2,21,1.06492,1,-4.1705,14,-0.2833
ENSG00000197921,HES5,25,4.47098,0,-5.8487,1,-3.7688
ENSG00000157873,TNFRSF14,13,2.15392,0,-5.1045,4,-1.3637
ENSG00000157870,PRXL2B,52,1.82094,14,-1.4791,14,-1.6432
ENSG00000177133,PRDM16-DT,36,0.64424,66,1.32072,1,-4.5112
ENSG00000158109,TPRG1L,101,2.40036,21,-1.8684,18,-2.2758
ENSG00000130764,LRRC47,47,0.69908,9,-2.2106,38,-0.0787
ENSG00000116198,CEP104,28,-1.1612,36,-0.1753,75,1.35769
ENSG00000196581,AJAP1,51,2.30784,0,-6.4462,15,-1.4844
ENSG00000069424,KCNAB2,130,3.14677,17,-2.5020,13,-3.0438
ENSG00000116254,CHD5,342,3.03421,29,-3.1382,48,-2.5952
