Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,17,-1.3538,50,0.30592,38,-0.1236,55,0.48682,50,0.31166,47,0.21039,38,-0.1186,35,-0.2761
ENSG00000188976,NOC2L,31,-0.8372,56,0.08418,41,-0.4041,66,0.34338,77,0.62803,67,0.39078,31,-0.8449,56,0.08123
ENSG00000188290,HES4,63,0.96962,11,-1.7504,20,-0.8996,36,0.00835,46,0.39777,34,-0.0681,46,0.42170,30,-0.2847
ENSG00000187608,ISG15,53,0.65192,14,-1.4525,12,-1.7107,42,0.23536,61,0.88648,37,0.03616,39,0.12251,32,-0.2086
ENSG00000188157,AGRN,20,-0.0469,15,-0.4516,9,-1.1887,18,-0.1867,42,1.26592,20,-0.0018,29,0.58254,9,-1.2498
ENSG00000078808,SDF4,68,0.14673,50,-0.3572,45,-0.5155,98,0.78035,56,-0.1803,55,-0.1990,72,0.23632,54,-0.2302
ENSG00000176022,B3GALT6,17,-0.4698,19,-0.3184,19,-0.2736,22,-0.0780,30,0.43151,25,0.17784,25,0.11713,26,0.23590
ENSG00000160087,UBE2J2,37,-0.0566,32,-0.2685,21,-0.9083,50,0.45453,50,0.43203,59,0.72667,25,-0.6950,32,-0.2858
ENSG00000131584,ACAP3,60,-0.5492,96,0.22693,61,-0.5037,159,1.11780,56,-0.6454,82,-0.0390,86,0.03284,71,-0.2633
ENSG00000127054,INTS11,47,0.11817,43,-0.0221,33,-0.4394,76,0.95488,52,0.29377,48,0.16252,28,-0.7356,22,-1.0540
ENSG00000224051,CPTP,20,-0.0833,11,-0.9385,18,-0.2100,23,0.17659,28,0.50728,26,0.33629,21,-0.0265,20,-0.0904
ENSG00000107404,DVL1,83,0.58404,31,-0.9771,48,-0.3138,76,0.43751,24,-1.3897,75,0.41477,83,0.58506,48,-0.3209
ENSG00000175756,AURKAIP1,191,0.27177,70,-1.3254,78,-1.1591,223,0.53196,189,0.24929,226,0.55894,193,0.28914,130,-0.3623
ENSG00000221978,CCNL2,36,-0.6291,103,1.12429,33,-0.7807,81,0.69571,65,0.31853,35,-0.6652,54,-0.0037,23,-1.3029
ENSG00000242485,MRPL20,193,0.43824,99,-0.6476,108,-0.5162,130,-0.2173,162,0.13585,162,0.13666,196,0.46449,140,-0.0954
ENSG00000235098,ANKRD65,45,0.60039,26,-0.3344,18,-0.8546,44,0.55259,24,-0.4150,34,0.13439,43,0.49402,19,-0.8393
ENSG00000179403,VWA1,57,1.54459,14,-0.8514,26,0.11781,20,-0.2743,21,-0.1901,7,-1.7875,14,-0.8404,32,0.49636
ENSG00000205090,TMEM240,10,-1.4719,17,-0.6553,27,0.08873,34,0.51546,40,0.78179,37,0.62617,24,-0.0473,13,-0.9899
ENSG00000160075,SSU72,133,-0.1218,89,-0.7539,71,-1.1094,140,-0.0373,175,0.33967,190,0.47494,185,0.43538,161,0.19902
ENSG00000228594,FNDC10,21,-0.6820,32,-0.0405,35,0.13244,32,-0.0353,56,0.91683,32,-0.0421,37,0.19026,17,-1.0596
ENSG00000197530,MIB2,26,-0.3378,11,-1.6029,17,-0.9501,60,1.07830,37,0.22480,30,-0.0881,38,0.28247,37,0.22845
ENSG00000248333,CDK11B,38,-0.4335,71,0.59943,101,1.24074,49,-0.0370,37,-0.4706,19,-1.5069,36,-0.5346,48,-0.0573
ENSG00000189339,SLC35E2B,25,0.20991,15,-0.6014,34,0.70237,18,-0.2913,20,-0.1846,31,0.54475,16,-0.5107,18,-0.3032
ENSG00000008128,CDK11A,14,-0.9651,54,1.21569,59,1.41146,17,-0.6906,13,-1.1455,23,-0.2564,14,-1.0265,20,-0.4783
ENSG00000215790,SLC35E2A,31,0.34355,13,-1.0220,15,-0.8407,26,0.05883,27,0.09162,21,-0.3010,40,0.79420,29,0.22243
ENSG00000008130,NADK,30,0.18232,8,-1.8326,19,-0.5375,34,0.41792,34,0.39141,38,0.58208,29,0.13490,22,-0.3229
ENSG00000078369,GNB1,602,0.22883,287,-0.9585,396,-0.4533,624,0.29034,420,-0.3590,548,0.07456,564,0.11961,753,0.61562
ENSG00000187730,GABRD,53,-2.2186,127,-0.9057,167,-0.4781,366,0.84266,386,0.94038,375,0.88494,184,-0.3191,136,-0.8013
ENSG00000067606,PRKCZ,125,-0.9795,139,-0.8173,241,0.05939,268,0.23755,264,0.21367,263,0.20581,274,0.27561,284,0.33544
ENSG00000162585,FAAP20,62,0.87340,21,-0.8718,29,-0.3794,29,-0.3805,38,0.02638,38,0.03943,46,0.35071,34,-0.1624
ENSG00000157933,SKI,50,0.14044,38,-0.2992,44,-0.0639,56,0.30670,24,-1.0065,40,-0.2160,62,0.49460,54,0.26004
ENSG00000157916,RER1,63,0.30543,36,-0.6090,20,-1.4906,79,0.69511,66,0.38161,62,0.28632,59,0.21267,34,-0.7010
ENSG00000157911,PEX10,36,0.76733,21,-0.1145,12,-1.0498,23,-0.0221,8,-1.6198,29,0.35883,40,0.95494,15,-0.6427
ENSG00000157870,PRXL2B,29,-0.6402,28,-0.7159,27,-0.7825,54,0.33154,37,-0.2879,68,0.74553,71,0.81764,38,-0.2409
ENSG00000158109,TPRG1L,118,-0.8494,132,-0.6698,187,-0.1128,176,-0.2142,280,0.56194,297,0.66902,201,0.00431,214,0.10551
ENSG00000130764,LRRC47,57,-0.6732,70,-0.3444,57,-0.6873,109,0.37817,95,0.14486,129,0.66828,66,-0.4476,113,0.43989
