Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000228794,LINC01128,126,1.83797,9,-2.3348,18,-1.4095,38,-0.2936,30,-0.6153,42,-0.1012,51,0.24678
ENSG00000188976,NOC2L,126,1.41654,23,-1.3344,23,-1.3509,59,0.09760,24,-1.3049,38,-0.6216,75,0.57419
ENSG00000188290,HES4,126,2.26239,3,-3.4301,25,-0.5914,27,-0.5335,54,0.60804,18,-1.1513,26,-0.5970
ENSG00000187608,ISG15,126,2.11327,10,-2.0356,25,-0.7020,19,-1.2226,41,0.05121,43,0.12298,36,-0.1523
ENSG00000078808,SDF4,126,1.25352,31,-1.0412,41,-0.6171,47,-0.4470,48,-0.3628,96,0.77006,55,-0.1906
ENSG00000160087,UBE2J2,126,1.78577,10,-2.2292,19,-1.3517,50,0.16120,38,-0.3208,27,-0.8225,47,0.03989
ENSG00000131584,ACAP3,126,0.54795,62,-0.6039,71,-0.3878,131,0.72788,41,-1.2358,86,-0.0801,84,-0.1485
ENSG00000127054,INTS11,126,1.52639,21,-1.4294,52,-0.0163,32,-0.8465,30,-0.8671,74,0.56173,53,0.01399
ENSG00000107404,DVL1,126,1.42615,18,-1.7188,48,-0.2396,41,-0.5200,78,0.55443,33,-0.8309,57,0.05866
ENSG00000175756,AURKAIP1,126,0.31902,39,-1.5274,60,-0.8524,45,-1.3982,187,0.99942,128,0.34657,152,0.74578
ENSG00000221978,CCNL2,126,0.93275,64,-0.2121,99,0.51847,63,-0.2522,37,-1.0406,52,-0.5268,74,0.04371
ENSG00000242485,MRPL20,126,0.28746,46,-1.2972,100,-0.0873,53,-1.1873,170,0.79864,117,0.16645,144,0.59084
ENSG00000179403,VWA1,126,1.83966,43,-0.0618,123,1.79041,20,-1.3725,31,-0.5796,15,-1.6591,13,-1.9822
ENSG00000205090,TMEM240,126,2.32650,7,-2.4417,16,-1.2826,25,-0.6197,7,-2.3489,40,0.17943,39,0.13283
ENSG00000160075,SSU72,126,0.05312,38,-1.7963,112,-0.1437,84,-0.6699,148,0.31539,116,-0.0774,196,0.95251
ENSG00000228594,FNDC10,126,2.16565,8,-2.2976,5,-2.9089,24,-0.8543,31,-0.3275,30,-0.4130,50,0.49195
ENSG00000272106,AL691432.2,126,2.70982,10,-1.7133,26,-0.2456,8,-2.2191,28,-0.1449,4,-2.8619,34,0.15806
ENSG00000197530,MIB2,126,2.32621,14,-1.4867,13,-1.5365,29,-0.3901,27,-0.4615,4,-3.2378,41,0.26353
ENSG00000248333,CDK11B,126,0.87007,237,2.09542,49,-0.6893,65,-0.2606,28,-1.5182,47,-0.7247,30,-1.5448
ENSG00000189339,SLC35E2B,126,2.69884,19,-0.7325,8,-2.0384,22,-0.5595,24,-0.4290,4,-3.0773,26,-0.2792
ENSG00000008128,CDK11A,126,1.69426,174,2.38902,11,-2.1710,37,-0.4852,12,-2.0760,9,-2.5785,15,-1.9132
ENSG00000215790,SLC35E2A,126,2.64688,8,-2.0638,7,-2.1589,27,-0.3116,39,0.34802,3,-3.2921,24,-0.5044
ENSG00000008130,NADK,126,2.47965,12,-1.5683,13,-1.4947,23,-0.6697,32,-0.0696,28,-0.3132,24,-0.6262
ENSG00000078369,GNB1,126,-1.5958,100,-1.9485,197,-0.9220,285,-0.3903,668,1.08342,414,0.25409,556,0.90741
ENSG00000187730,GABRD,126,0.53321,15,-2.6961,2,-5.5344,41,-1.3747,96,0.07989,92,0.01166,205,1.79205
ENSG00000067606,PRKCZ,126,-0.1774,57,-1.4089,83,-0.8331,120,-0.2962,185,0.45109,104,-0.4888,237,1.06082
ENSG00000162585,FAAP20,126,1.77576,30,-0.7005,38,-0.3266,33,-0.6196,67,0.59602,11,-2.1204,41,-0.2423
ENSG00000157933,SKI,126,1.41068,44,-0.3696,54,-0.0536,67,0.35175,54,-0.0585,32,-0.8612,29,-1.1208
ENSG00000157916,RER1,126,1.43735,23,-1.3480,47,-0.2664,26,-1.2682,60,0.14531,73,0.46243,58,0.07812
ENSG00000157911,PEX10,126,2.59596,17,-0.9543,12,-1.5179,16,-1.1974,49,0.68407,1,-4.5189,27,-0.3445
ENSG00000157870,PRXL2B,126,1.40533,13,-2.2059,14,-2.1201,59,0.09717,49,-0.2074,40,-0.5312,72,0.48433
ENSG00000177133,PRDM16-DT,126,2.22271,5,-2.8743,6,-2.7916,31,-0.3473,74,1.14053,30,-0.3607,18,-1.2254
ENSG00000158109,TPRG1L,126,0.12464,23,-2.4687,27,-2.2356,83,-0.6094,108,-0.1274,148,0.38958,227,1.40662
ENSG00000130764,LRRC47,126,1.18774,21,-1.6652,54,-0.2515,35,-0.9927,59,-0.0977,87,0.52743,75,0.31795
ENSG00000116198,CEP104,126,1.25216,130,1.30365,70,0.23013,56,-0.1398,42,-0.5754,17,-1.9566,25,-1.4891
ENSG00000196581,AJAP1,126,1.33620,16,-1.9410,34,-0.8384,73,0.43772,17,-1.8946,70,0.31133,57,-0.0403
ENSG00000069424,KCNAB2,126,0.08989,22,-2.5524,14,-3.1706,89,-0.5204,164,0.52749,105,-0.2036,232,1.40859
ENSG00000116254,CHD5,126,-1.3153,113,-1.4828,47,-2.7797,654,1.77174,198,-0.6276,229,-0.3982,312,0.11401
ENSG00000116251,RPL22,126,-1.7328,547,0.57110,496,0.40471,267,-0.6599,704,1.01316,287,-0.4820,399,0.05116
ENSG00000116237,ICMT,126,2.27896,13,-1.5515,4,-3.2180,28,-0.4881,33,-0.1738,32,-0.2370,34,-0.1623
ENSG00000097021,ACOT7,126,0.54414,26,-1.9322,22,-2.1562,49,-1.0639,73,-0.3493,122,0.49273,175,1.38706
ENSG00000171680,PLEKHG5,126,2.54786,3,-3.2106,3,-3.5620,23,-0.6538,14,-1.2716,29,-0.2227,38,0.25494
ENSG00000162408,NOL9,126,1.77214,19,-1.3858,22,-1.1624,55,0.32349,29,-0.7271,31,-0.6306,41,-0.2476
ENSG00000162413,KLHL21,126,2.35068,8,-2.2573,20,-0.8968,26,-0.5658,46,0.42869,22,-0.7833,24,-0.7094
ENSG00000007923,DNAJC11,126,1.86435,14,-1.7621,17,-1.5073,50,0.20675,40,-0.1674,19,-1.3103,43,-0.0742
ENSG00000171735,CAMTA1,126,-1.6296,183,-1.0653,211,-0.8494,452,0.42585,394,0.13898,466,0.41581,487,0.57576
ENSG00000049245,VAMP3,126,1.89759,49,0.16900,76,0.92970,28,-0.7978,47,0.11552,8,-2.4816,16,-1.6318
ENSG00000049246,PER3,126,1.02831,71,0.05175,92,0.48161,38,-1.0338,63,-0.1404,91,0.46146,50,-0.5595
ENSG00000116288,PARK7,126,-0.5007,64,-1.5394,93,-0.9722,92,-1.0798,305,0.96104,250,0.60966,267,0.86795
ENSG00000142599,RERE,126,-0.4526,341,1.21810,114,-0.6129,180,0.12735,106,-0.7284,196,0.25089,134,-0.4001
ENSG00000074800,ENO1,126,-1.5545,96,-1.9552,234,-0.6112,223,-0.7631,650,1.08431,647,1.07634,450,0.51636
ENSG00000171612,SLC25A33,126,1.97454,5,-3.0346,24,-0.8630,25,-0.9225,54,0.41107,56,0.45320,33,-0.4638
ENSG00000171603,CLSTN1,126,-1.9143,144,-1.7206,190,-1.3056,433,-0.0241,314,-0.5282,697,0.77828,804,1.26784
ENSG00000178585,CTNNBIP1,126,1.97895,14,-1.6927,24,-0.8496,38,-0.2025,53,0.37509,21,-1.0985,33,-0.4372
ENSG00000162441,LZIC,126,0.99513,87,0.35409,125,0.98120,62,-0.2277,53,-0.4569,41,-0.8235,37,-1.0770
ENSG00000130939,UBE4B,126,1.55639,38,-0.5069,34,-0.6734,30,-0.9244,22,-1.3363,80,0.71181,54,0.06169
ENSG00000054523,KIF1B,126,-2.0375,684,0.60313,686,0.60893,520,0.16629,393,-0.3075,609,0.40579,373,-0.4379
ENSG00000142657,PGD,126,1.70191,11,-2.1544,29,-0.7843,33,-0.6640,38,-0.3905,55,0.20631,54,0.22286
ENSG00000241563,CORT,126,2.45699,5,-2.8144,0,-5.8104,5,-2.9253,33,-0.0467,15,-1.2662,59,1.09937
ENSG00000160049,DFFA,126,0.77570,102,0.40592,111,0.54988,93,0.30836,54,-0.6173,57,-0.5317,39,-1.1989
ENSG00000120948,TARDBP,126,0.75135,95,0.27191,52,-0.6900,49,-0.8500,71,-0.1968,121,0.67687,80,-0.0067
ENSG00000116649,SRM,126,1.30551,22,-1.4912,48,-0.3268,30,-1.1496,70,0.27708,43,-0.4965,81,0.61060
ENSG00000171824,EXOSC10,126,1.50503,53,-0.0122,69,0.41283,53,-0.0124,18,-1.6767,28,-0.9928,40,-0.5037
ENSG00000198793,MTOR,126,1.92602,24,-0.8860,27,-0.7438,19,-1.3733,23,-0.9778,51,0.26684,50,0.26371
ENSG00000116661,FBXO2,126,-0.1801,36,-2.0751,140,-0.0157,99,-0.6292,247,0.94418,129,-0.1430,197,0.65509
ENSG00000132879,FBXO44,126,0.78928,26,-1.6777,42,-0.9847,74,-0.1253,67,-0.2617,68,-0.2428,116,0.77136
ENSG00000177000,MTHFR,126,2.18027,19,-1.0478,23,-0.7790,44,0.23547,23,-0.8099,14,-1.5243,26,-0.6556
ENSG00000011021,CLCN6,126,0.71846,22,-2.0337,46,-0.9116,77,-0.1153,77,-0.1061,79,-0.0624,118,0.70534
ENSG00000116685,KIAA2013,126,2.07591,11,-1.9206,53,0.44480,27,-0.7064,20,-1.0551,30,-0.4586,34,-0.2997
ENSG00000116688,MFN2,126,0.20732,104,-0.1033,79,-0.5380,93,-0.3208,98,-0.1998,125,0.19551,141,0.45097
ENSG00000048707,VPS13D,126,0.89327,52,-0.5531,81,0.14534,80,0.14149,72,-0.0414,45,-0.8000,66,-0.2226
ENSG00000162496,DHRS3,126,2.39772,13,-1.4833,33,-0.1001,11,-1.8413,41,0.27299,39,0.18121,20,-0.9809
ENSG00000116731,PRDM2,126,-0.9159,296,0.44480,186,-0.3117,356,0.91456,121,-0.9869,200,-0.1942,196,-0.2556
ENSG00000189337,KAZN,126,1.01901,72,0.05401,98,0.56825,49,-0.5966,47,-0.6207,59,-0.2449,61,-0.2184
ENSG00000142634,EFHD2,126,0.78237,16,-2.4304,29,-1.5568,92,0.27960,72,-0.1479,46,-0.8432,120,0.82207
ENSG00000116138,DNAJC16,126,1.80473,20,-1.2531,24,-0.9906,34,-0.5261,28,-0.7513,30,-0.6380,57,0.43039
ENSG00000197312,DDI2,126,1.38031,34,-0.8255,74,0.44216,59,0.05518,20,-1.6041,58,0.03074,41,-0.5658
ENSG00000116786,PLEKHM2,126,0.04135,109,-0.1944,90,-0.4880,116,-0.1131,222,0.99984,97,-0.3802,116,-0.1114
ENSG00000065526,SPEN,126,-0.9400,548,1.52747,386,0.87529,261,0.24457,82,-1.6002,217,-0.0953,93,-1.5274
ENSG00000116809,ZBTB17,126,2.50559,19,-0.8655,33,-0.0280,12,-1.6227,25,-0.4306,21,-0.7124,26,-0.4721
ENSG00000037637,FBXO42,126,2.55122,15,-1.2256,11,-1.6489,23,-0.6431,29,-0.1903,16,-1.1059,26,-0.3821
ENSG00000055070,SZRD1,126,1.99091,35,-0.2952,51,0.31147,30,-0.5938,22,-1.0042,36,-0.2394,24,-0.9641
ENSG00000159363,ATP13A2,126,0.95244,17,-2.1458,8,-3.2237,40,-1.0210,91,0.39302,85,0.27023,120,1.03417
ENSG00000117118,SDHB,126,1.41253,17,-1.7946,28,-1.0747,20,-1.7148,69,0.35355,78,0.54020,73,0.50102
ENSG00000117115,PADI2,126,0.87603,119,0.77844,280,2.49237,29,-1.5602,42,-0.8933,8,-3.3100,20,-2.1601
ENSG00000117154,IGSF21,126,1.27054,8,-2.9644,20,-1.7074,55,-0.1550,54,-0.1676,27,-1.2202,98,0.97985
ENSG00000159423,ALDH4A1,126,2.63964,8,-1.9630,19,-0.8123,19,-0.8393,40,0.38931,9,-1.8981,22,-0.6529
ENSG00000127481,UBR4,126,1.11697,94,0.60091,97,0.65953,79,0.36529,20,-1.7805,25,-1.4501,34,-1.1428
ENSG00000127463,EMC1,126,2.00102,16,-1.4464,32,-0.4000,18,-1.4455,47,0.18214,42,0.01717,38,-0.1507
ENSG00000053372,MRTO4,126,1.86711,21,-1.1809,25,-0.9177,36,-0.3676,32,-0.5024,36,-0.3310,44,-0.0208
ENSG00000053371,AKR7A2,126,2.15929,22,-0.8838,34,-0.1871,21,-1.0187,39,-0.0040,20,-1.0424,33,-0.3063
ENSG00000077549,CAPZB,126,0.09309,61,-1.0454,131,0.15485,79,-0.7319,136,0.21268,102,-0.2488,180,0.81559
ENSG00000173436,MICOS10,126,-0.7978,112,-0.9810,161,-0.4203,134,-0.7807,451,1.32796,143,-0.6002,312,0.78772
ENSG00000158747,NBL1,126,0.26835,44,-1.3882,36,-1.6798,91,-0.2849,140,0.44067,122,0.21141,157,0.75017
ENSG00000162545,CAMK2N1,126,-3.3151,738,-0.6812,912,-0.3504,962,-0.3001,1862,0.83436,1418,0.36663,1617,0.69719
ENSG00000158828,PINK1,126,-1.3613,167,-0.9350,162,-0.9805,197,-0.7560,511,0.88087,384,0.39182,491,0.97702
ENSG00000117245,KIF17,126,2.66279,4,-2.9502,0,-8.0608,8,-2.2165,32,0.02162,11,-1.5237,47,0.78310
ENSG00000189410,SH2D5,126,2.12101,1,-5.3149,7,-2.6542,19,-1.2105,16,-1.3415,47,0.26625,60,0.83489
ENSG00000127483,HP1BP3,126,-1.3193,483,0.83209,442,0.67686,315,0.12302,202,-0.5987,305,0.05653,232,-0.4284
ENSG00000075151,EIF4G3,126,-1.0898,295,0.25148,278,0.14886,267,0.09517,114,-1.2437,491,1.13197,221,-0.2448
ENSG00000076864,RAP1GAP,126,0.36631,17,-2.6613,37,-1.5559,120,0.32351,54,-0.9865,132,0.43726,152,0.80911
ENSG00000090686,USP48,126,0.30574,186,0.96813,157,0.67967,98,-0.1276,39,-1.5207,141,0.49465,49,-1.2986
ENSG00000070831,CDC42,126,-0.3495,72,-1.2109,187,0.28172,79,-1.1758,167,0.09844,207,0.45352,248,0.92101
ENSG00000004487,KDM1A,126,1.44728,34,-0.7487,28,-1.0342,43,-0.4488,31,-0.8704,49,-0.1695,70,0.45841
ENSG00000169641,LUZP1,126,-0.2446,63,-1.3063,105,-0.5276,179,0.37428,118,-0.3531,241,0.83146,156,0.10701
ENSG00000125944,HNRNPR,126,-0.1110,186,0.52797,201,0.65787,117,-0.2688,89,-0.6664,136,0.00844,123,-0.1706
ENSG00000142676,RPL11,126,-1.8677,517,0.32218,591,0.54918,289,-0.6819,770,1.01290,285,-0.6333,478,0.22179
ENSG00000011007,ELOA,126,1.90789,51,0.26577,41,-0.0905,36,-0.3195,18,-1.3316,25,-0.8732,29,-0.7236
ENSG00000057757,PITHD1,126,0.28738,36,-1.6639,51,-1.1260,50,-1.2723,120,0.20840,153,0.60584,183,1.12383
ENSG00000011009,LYPLA2,126,2.61053,8,-2.0465,4,-3.1521,13,-1.4933,19,-0.8050,32,0.00222,37,0.25059
ENSG00000189266,PNRC2,126,1.16387,25,-1.4116,61,-0.0654,48,-0.5072,62,-0.0473,83,0.42571,60,-0.0991
ENSG00000188529,SRSF10,126,0.57247,57,-0.7082,142,0.77174,69,-0.4514,62,-0.5879,149,0.86414,65,-0.5707
ENSG00000001461,NIPAL3,126,-0.2306,215,0.64668,315,1.33547,137,-0.1130,68,-1.1920,110,-0.4445,102,-0.6361
ENSG00000133226,SRRM1,126,-1.8491,1556,2.48524,439,0.07554,480,0.25460,115,-1.9887,317,-0.4479,131,-1.9319
ENSG00000169504,CLIC4,126,1.02132,82,0.27734,242,2.33675,44,-0.8038,34,-1.1075,23,-1.6867,14,-2.5616
ENSG00000117614,SYF2,126,-0.0851,191,0.59990,199,0.67254,116,-0.2535,145,0.13896,93,-0.5613,106,-0.4121
ENSG00000117616,RSRP1,126,0.59100,54,-0.7741,124,0.56253,80,-0.1771,39,-1.2658,149,0.87992,71,-0.3856
ENSG00000183726,TMEM50A,126,0.95724,18,-2.0924,60,-0.2883,57,-0.4094,57,-0.3668,113,0.75942,78,0.17058
ENSG00000204178,MACO1,126,0.94307,81,0.18231,69,-0.0788,75,0.06366,37,-1.0261,107,0.65604,40,-1.0149
ENSG00000117643,MAN1C1,126,2.02443,10,-2.0581,0,-7.7258,33,-0.4221,24,-0.8700,52,0.38688,47,0.24468
ENSG00000162430,SELENON,126,2.54641,15,-1.2326,10,-1.7220,34,0.07079,32,-0.0317,3,-3.2917,20,-0.8288
ENSG00000117640,MTFR1L,126,1.07723,19,-1.8823,44,-0.6540,53,-0.4307,60,-0.1777,76,0.20888,86,0.47519
ENSG00000117632,STMN1,126,-2.5492,384,-0.8858,560,-0.2945,418,-0.8343,597,-0.1926,1086,0.80451,1234,1.26642
ENSG00000158008,EXTL1,126,1.98054,7,-2.5950,0,-8.4771,45,0.12827,30,-0.5115,14,-1.7224,56,0.54318
