Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to8,Feature log2 fold change topic 2to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,8,0.01922,8,-0.2585,14,0.79920,6,-0.4399
ENSG00000228794,LINC01128,16,-1.0396,34,0.32479,30,-0.0986,35,0.14841
ENSG00000188976,NOC2L,22,-0.8406,38,0.01068,51,0.47210,40,0.10106
ENSG00000188290,HES4,109,1.46633,40,-0.5920,39,-0.2694,34,-0.4931
ENSG00000187608,ISG15,93,1.00839,53,0.16690,11,-2.2861,36,-0.5328
ENSG00000188157,AGRN,18,-0.3143,20,-0.3557,34,0.75211,25,0.21905
ENSG00000131591,C1orf159,3,-1.3769,7,-0.8359,17,1.09512,18,1.17508
ENSG00000078808,SDF4,69,0.03294,67,-0.0819,80,0.26632,62,-0.1313
ENSG00000176022,B3GALT6,17,-0.4273,22,-0.0127,30,0.45451,21,-0.1091
ENSG00000160087,UBE2J2,28,-0.4795,39,0.03608,43,0.17199,42,0.14939
ENSG00000162572,SCNN1D,5,-0.9665,11,0.30596,14,0.45494,7,-0.5298
ENSG00000131584,ACAP3,36,-0.7483,51,-0.5369,109,1.05306,78,0.47799
ENSG00000169972,PUSL1,10,0.19755,8,-0.2949,15,0.89737,5,-0.7970
ENSG00000127054,INTS11,36,-0.3459,43,-0.1930,56,0.36725,55,0.33703
ENSG00000224051,CPTP,15,-0.5262,21,-0.1976,31,0.58163,25,0.23057
ENSG00000107404,DVL1,54,0.27698,41,-0.4861,48,0.08040,69,0.68243
ENSG00000175756,AURKAIP1,180,0.03435,177,0.02111,181,0.04367,162,-0.1328
ENSG00000221978,CCNL2,63,-0.1665,65,-0.3031,110,0.74375,69,-0.0170
ENSG00000242485,MRPL20,190,0.04421,198,0.37832,122,-0.6441,145,-0.3775
ENSG00000235098,ANKRD65,29,0.22324,27,0.32817,24,-0.0913,11,-1.2295
ENSG00000179403,VWA1,21,0.42981,6,-2.4891,21,0.42612,72,2.85903
ENSG00000160072,ATAD3B,12,0.11924,10,-0.6121,18,0.73948,15,0.44823
ENSG00000197785,ATAD3A,3,-2.0261,12,-0.1779,26,1.26464,11,-0.1811
ENSG00000205090,TMEM240,7,-1.7183,25,0.16723,35,0.62693,23,-0.0468
ENSG00000160075,SSU72,119,-0.1755,139,0.23011,120,-0.1522,115,-0.2191
ENSG00000228594,FNDC10,14,-0.6922,24,0.60954,12,-0.9437,22,0.00545
ENSG00000272106,AL691432.2,26,0.57229,18,-0.1306,17,-0.1067,15,-0.2764
ENSG00000197530,MIB2,20,-0.3219,24,-0.1420,33,0.44771,27,0.12148
ENSG00000248333,CDK11B,16,-0.2664,17,-0.4229,28,0.58426,27,0.52134
ENSG00000189339,SLC35E2B,12,-0.7427,21,0.32765,24,0.28745,14,-0.4991
ENSG00000008128,CDK11A,10,0.41898,6,-0.7922,16,1.19452,7,-0.1001
ENSG00000215790,SLC35E2A,38,0.22686,30,-0.4223,37,0.21967,44,0.49235
ENSG00000008130,NADK,33,0.42919,24,-0.3288,25,-0.0635,32,0.34513
ENSG00000078369,GNB1,526,0.02003,524,0.03937,502,-0.0555,501,-0.0577
ENSG00000187730,GABRD,64,-1.2309,167,0.93780,110,-0.4119,87,-0.7857
ENSG00000067606,PRKCZ,97,-0.6562,151,0.14157,143,-0.0432,172,0.24853
ENSG00000162585,FAAP20,58,1.08181,27,-0.5232,14,-1.1404,43,0.58390
ENSG00000157933,SKI,29,0.89095,14,-0.6102,19,0.21856,18,0.15586
ENSG00000157916,RER1,61,-0.0898,63,-0.0448,66,0.04515,70,0.14142
ENSG00000157911,PEX10,32,0.88692,14,-1.0684,13,-0.5699,44,1.45318
ENSG00000149527,PLCH2,14,-0.1407,17,0.46799,12,-0.4787,11,-0.5366
ENSG00000157881,PANK4,7,-1.1064,17,0.46672,18,0.22687,11,-0.5059
ENSG00000157873,TNFRSF14,20,1.20131,10,0.16370,3,-1.8283,4,-1.3103
ENSG00000157870,PRXL2B,22,-0.7493,39,0.39382,30,-0.3098,37,0.02702
ENSG00000177133,PRDM16-DT,46,1.63854,12,-1.3162,23,0.39688,24,0.44770
ENSG00000158109,TPRG1L,107,-0.9337,212,0.48418,214,0.15689,134,-0.5766
