Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,12,-1.6891,9,-2.1239,55,0.67600,53,0.61213,44,0.34264,55,0.64905,62,0.86688,16,-1.2685,14,-1.4211,37,0.01292
ENSG00000188976,NOC2L,12,-1.8639,18,-1.2317,69,0.83486,50,0.31070,70,1.00819,58,0.54882,31,-0.4109,33,-0.3197,22,-0.9264,18,-1.2605
ENSG00000188290,HES4,196,2.88937,16,-1.4237,6,-2.7658,8,-2.3591,31,-0.4722,4,-3.2029,25,-0.7940,24,-0.8047,35,-0.2462,78,1.03038
ENSG00000188157,AGRN,12,-1.2020,11,-1.3091,14,-0.9241,30,0.21249,32,0.34579,11,-1.2544,31,0.28463,47,0.94282,50,1.05160,18,-0.5557
ENSG00000078808,SDF4,12,-2.1627,33,-0.6293,32,-0.7019,64,0.38753,69,0.57815,27,-0.9506,45,-0.1828,47,-0.1034,58,0.23408,97,1.07656
ENSG00000160087,UBE2J2,12,-1.3179,14,-1.0858,26,-0.1384,42,0.65095,35,0.38792,21,-0.4530,25,-0.2080,24,-0.2831,43,0.67892,34,0.31273
ENSG00000131584,ACAP3,38,-1.0240,128,0.88259,52,-0.5560,75,0.01080,79,0.11148,53,-0.5345,116,0.72333,32,-1.3062,115,0.70833,51,-0.5712
ENSG00000127054,INTS11,12,-1.7001,42,0.20402,50,0.48839,35,-0.0549,54,0.71887,14,-1.4097,44,0.28327,25,-0.5591,28,-0.4011,44,0.29816
ENSG00000107404,DVL1,12,-2.0208,32,-0.5428,24,-1.0076,55,0.29178,54,0.29286,33,-0.5002,30,-0.6495,55,0.30989,102,1.33406,52,0.21028
ENSG00000175756,AURKAIP1,228,0.81783,32,-2.2160,150,0.13730,164,0.27362,209,0.77641,67,-1.1083,68,-1.0941,98,-0.5391,132,-0.0719,161,0.24744
ENSG00000221978,CCNL2,204,1.67591,93,0.32764,31,-1.3540,50,-0.6607,69,-0.1589,37,-1.0922,116,0.68859,29,-1.4831,54,-0.5264,84,0.15446
ENSG00000242485,MRPL20,358,1.42347,77,-1.0700,111,-0.5078,194,0.37214,189,0.37604,81,-0.9841,96,-0.7236,143,-0.1114,124,-0.3341,128,-0.2932
ENSG00000235098,ANKRD65,12,-1.2924,1,-4.2157,10,-1.5116,50,0.96986,24,-0.2551,8,-1.9069,25,-0.1639,62,1.33487,53,1.06710,36,0.42266
ENSG00000179403,VWA1,12,-1.5522,80,1.47046,3,-3.4244,10,-1.7126,25,-0.4794,5,-2.6213,2,-4.0497,155,2.84863,23,-0.5862,26,-0.3970
ENSG00000205090,TMEM240,12,-1.0232,3,-3.0778,21,-0.1555,39,0.83295,31,0.51225,15,-0.7006,40,0.86528,2,-3.6753,38,0.79348,25,0.14561
ENSG00000160075,SSU72,12,-3.3681,39,-1.6392,146,0.38058,160,0.53221,193,0.97394,97,-0.2689,99,-0.2435,100,-0.2271,107,-0.1204,122,0.09410
ENSG00000228594,FNDC10,12,-1.1573,2,-3.3815,25,0.00395,36,0.57228,34,0.54088,38,0.63046,26,0.02142,5,-2.2234,48,1.03673,18,-0.5174
ENSG00000197530,MIB2,12,-1.2828,10,-1.5663,31,0.17291,33,0.28074,40,0.68343,22,-0.3649,42,0.66186,11,-1.4139,49,0.91640,15,-0.8777
ENSG00000248333,CDK11B,12,-1.9921,132,1.85144,65,0.59989,27,-0.7788,26,-0.8813,88,1.10395,15,-1.6822,56,0.35341,37,-0.2902,9,-2.2958
ENSG00000008128,CDK11A,12,-1.3781,99,2.11563,17,-0.8693,23,-0.4035,10,-1.7194,36,0.29702,28,-0.0527,35,0.29348,11,-1.5201,44,0.64201
ENSG00000215790,SLC35E2A,12,-0.9958,31,0.51402,6,-1.8577,19,-0.2930,12,-1.0717,32,0.55868,27,0.27414,20,-0.1742,33,0.57092,46,1.15728
ENSG00000078369,GNB1,267,-0.7915,88,-2.4444,366,-0.3059,563,0.37812,651,0.70368,463,0.06390,377,-0.2621,285,-0.6939,633,0.56924,552,0.34528
ENSG00000187730,GABRD,12,-3.8548,30,-2.5071,353,1.31113,286,0.94159,252,0.83602,164,0.02857,218,0.48284,20,-3.0831,90,-0.8937,96,-0.8091
ENSG00000067606,PRKCZ,220,0.18296,109,-0.9122,228,0.23829,219,0.17039,278,0.63780,183,-0.1128,141,-0.5208,150,-0.4262,201,0.03732,155,-0.3691
ENSG00000162585,FAAP20,12,-1.3159,23,-0.3207,24,-0.2241,11,-1.3645,40,0.64459,9,-1.6299,9,-1.6430,34,0.29470,55,1.09317,52,0.99064
ENSG00000157933,SKI,12,-1.8425,70,0.89301,26,-0.6991,21,-0.9947,17,-1.3959,52,0.40304,40,-0.0245,53,0.42539,68,0.84468,70,0.88230
ENSG00000157916,RER1,12,-1.9331,9,-2.3610,50,0.24540,38,-0.2044,87,1.38760,23,-0.9515,44,0.03704,44,0.03242,42,-0.0478,37,-0.2275
ENSG00000157870,PRXL2B,12,-1.7632,5,-2.8780,34,-0.1785,95,1.51980,47,0.34792,23,-0.7847,33,-0.2094,48,0.37243,59,0.69907,19,-1.0956
ENSG00000158109,TPRG1L,200,0.10037,47,-2.0748,250,0.46288,309,0.81720,291,0.82038,128,-0.5908,156,-0.2942,56,-1.8404,195,0.05725,141,-0.4511
ENSG00000130764,LRRC47,12,-2.6155,35,-1.0135,75,0.14209,109,0.74830,107,0.82650,73,0.09045,65,-0.0890,57,-0.2913,63,-0.1251,52,-0.4284
ENSG00000116198,CEP104,12,-2.0657,117,1.53122,30,-0.6808,10,-2.2387,24,-1.0996,65,0.51807,33,-0.5445,148,1.98901,35,-0.4683,19,-1.3386
ENSG00000196581,AJAP1,12,-2.2266,33,-0.7132,45,-0.2348,81,0.70407,41,-0.4136,121,1.40076,112,1.25774,27,-1.0095,39,-0.4529,25,-1.1559
ENSG00000069424,KCNAB2,12,-3.8589,10,-4.0982,315,1.06560,343,1.21652,238,0.67563,112,-0.5990,148,-0.1756,57,-1.6193,206,0.35515,137,-0.2912
ENSG00000116254,CHD5,25,-3.4696,255,-0.0181,248,-0.0630,223,-0.2344,210,-0.3600,696,1.69481,403,0.72452,121,-1.1598,344,0.46180,107,-1.3546
ENSG00000116251,RPL22,98,-2.1574,223,-0.9266,206,-1.0496,407,0.00072,490,0.33624,324,-0.3575,296,-0.4934,695,0.87861,707,0.90926,536,0.44523
ENSG00000116237,ICMT,12,-1.7574,20,-0.9633,52,0.49999,72,1.02881,53,0.60602,9,-2.1612,37,-0.0271,22,-0.8695,59,0.70875,30,-0.3493
ENSG00000097021,ACOT7,15,-3.5983,68,-1.4188,410,1.47193,194,0.19663,334,1.29872,113,-0.6488,192,0.18206,40,-2.1915,89,-1.0110,97,-0.8727
ENSG00000215788,TNFRSF25,12,-1.0690,3,-2.8437,6,-2.0441,32,0.45771,19,-0.4103,3,-2.8508,89,2.32077,2,-3.1647,25,0.09779,53,1.30890
ENSG00000171680,PLEKHG5,12,-0.9232,6,-1.8924,33,0.68790,63,1.80747,18,-0.2958,19,-0.2415,36,0.83042,0,-7.2787,16,-0.4809,18,-0.2834
ENSG00000162408,NOL9,12,-1.4447,17,-0.9236,21,-0.6129,36,0.26467,32,0.06337,39,0.35319,43,0.53160,32,0.07406,47,0.69464,28,-0.1380
ENSG00000162413,KLHL21,12,-1.1920,15,-0.8000,23,-0.2190,42,0.75788,36,0.59917,10,-1.3823,21,-0.3336,20,-0.3877,30,0.20676,41,0.74111
ENSG00000007923,DNAJC11,12,-1.7494,14,-1.4577,55,0.58707,43,0.20804,50,0.49625,38,0.00715,26,-0.5561,46,0.30712,51,0.46736,32,-0.2691
ENSG00000171735,CAMTA1,1003,1.03339,263,-1.1008,633,0.26543,359,-0.6275,398,-0.5106,1006,1.03887,772,0.58910,293,-0.9371,441,-0.3058,335,-0.7305
ENSG00000049246,PER3,12,-1.8752,52,0.36054,8,-2.4472,34,-0.3106,37,-0.1690,84,1.17460,40,-0.0435,64,0.69205,33,-0.3517,54,0.41539
ENSG00000116288,PARK7,19,-3.5664,28,-2.9726,220,0.08267,328,0.73294,418,1.36399,117,-0.8937,171,-0.3159,134,-0.6912,248,0.27756,195,-0.1053
ENSG00000116285,ERRFI1,12,-1.0188,6,-2.0493,42,0.97086,23,-0.0018,27,0.24670,34,0.59921,22,-0.0603,9,-1.3393,21,-0.1511,32,0.53220
ENSG00000162426,SLC45A1,12,-1.1526,5,-2.3319,49,1.07336,19,-0.4627,56,1.55513,3,-2.9876,34,0.48252,14,-0.8706,11,-1.1839,20,-0.3688
ENSG00000142599,RERE,12,-3.5454,256,1.11527,78,-0.7872,153,0.25868,109,-0.3108,175,0.47152,171,0.43888,120,-0.1332,141,0.13116,109,-0.2721
ENSG00000074800,ENO1,198,-1.0369,121,-1.7778,389,0.00188,491,0.37688,577,0.73780,110,-1.9189,197,-1.0479,232,-0.7967,473,0.31824,904,1.42497
ENSG00000171612,SLC25A33,12,-1.4295,12,-1.3449,21,-0.5410,28,-0.1401,19,-0.7496,16,-0.9921,8,-1.8977,12,-1.4022,42,0.50855,145,2.89813
ENSG00000171603,CLSTN1,389,-0.8549,192,-1.9122,994,0.62572,1113,0.81642,1002,0.73173,694,0.04272,764,0.19668,301,-1.2429,391,-0.8483,590,-0.2134
ENSG00000178585,CTNNBIP1,12,-1.2678,18,-0.6372,16,-0.8174,20,-0.4982,43,0.83157,26,-0.0853,5,-2.5185,34,0.36098,36,0.41558,49,0.94797
ENSG00000162441,LZIC,12,-2.5415,140,1.27482,48,-0.4839,64,-0.0321,37,-0.9234,56,-0.2290,45,-0.5858,155,1.45005,66,0.00643,58,-0.1889
ENSG00000130939,UBE4B,85,0.74251,85,0.73775,90,0.83706,30,-0.8906,58,0.11665,33,-0.7543,49,-0.1656,35,-0.6858,46,-0.2522,25,-1.1526
ENSG00000054523,KIF1B,844,0.65460,798,0.56218,455,-0.3351,311,-0.9178,419,-0.5067,801,0.56905,467,-0.2958,887,0.73811,355,-0.7175,444,-0.3752
ENSG00000142657,PGD,12,-2.1715,22,-1.2386,101,1.13411,63,0.34560,90,1.08477,32,-0.6833,35,-0.5903,29,-0.8501,42,-0.2795,42,-0.3029
ENSG00000241563,CORT,24307,9.47981,21,-6.8461,21,-6.8304,47,-5.7068,68,-5.3052,26,-6.5508,16,-7.1869,8,-8.1500,14,-7.4571,46,-5.7196
ENSG00000160049,DFFA,182,1.41541,99,0.37795,52,-0.6334,40,-1.0125,33,-1.4008,59,-0.4326,44,-0.8866,177,1.36060,60,-0.4275,82,0.07328
ENSG00000120948,TARDBP,191,1.02025,108,0.08032,76,-0.4723,72,-0.5559,99,-0.0571,64,-0.7317,153,0.64571,118,0.22340,74,-0.5021,75,-0.4949
ENSG00000116649,SRM,12,-1.8969,0,-8.6733,62,0.61722,73,0.91213,67,0.88095,17,-1.4005,29,-0.5508,23,-0.9153,41,-0.0243,70,0.83708
ENSG00000171824,EXOSC10,12,-1.6910,61,0.84682,25,-0.5684,25,-0.5752,32,-0.2076,20,-0.9247,64,0.91883,39,0.11392,42,0.22668,48,0.42865
ENSG00000198793,MTOR,12,-1.9579,44,0.00574,41,-0.1171,57,0.42880,55,0.42242,55,0.37854,67,0.67559,17,-1.3971,36,-0.3209,42,-0.0575
ENSG00000116661,FBXO2,12,-3.6123,23,-2.6802,185,0.48842,159,0.24842,161,0.30075,48,-1.5787,76,-0.8962,106,-0.3979,297,1.30248,271,1.14055
ENSG00000132879,FBXO44,25,-1.5529,28,-1.3533,112,0.78109,159,1.38885,87,0.40842,43,-0.7503,90,0.42580,10,-2.8087,83,0.28613,38,-0.9213
ENSG00000177000,MTHFR,151,2.57925,28,-0.4072,27,-0.4650,23,-0.7142,21,-0.9327,18,-1.0868,37,0.02241,23,-0.6807,24,-0.6237,28,-0.4164
ENSG00000011021,CLCN6,12,-2.6283,52,-0.4440,112,0.78591,47,-0.6072,86,0.39135,91,0.44140,40,-0.8431,75,0.12523,108,0.72636,52,-0.4411
ENSG00000116685,KIAA2013,12,-1.4000,48,0.74778,18,-0.7586,28,-0.0928,31,0.04007,13,-1.3031,26,-0.2063,50,0.81882,17,-0.8295,56,1.03711
ENSG00000116688,MFN2,12,-3.4793,88,-0.5435,157,0.37734,151,0.31069,179,0.67023,130,0.06593,125,0.01136,99,-0.3567,122,-0.0291,126,0.02491
ENSG00000048707,VPS13D,118,0.23460,118,0.24378,113,0.17346,58,-0.8561,106,0.07382,92,-0.1572,143,0.55542,73,-0.5220,63,-0.7259,126,0.35013
ENSG00000116731,PRDM2,236,-0.1810,298,0.18555,221,-0.2880,306,0.22884,162,-0.8342,608,1.39329,388,0.61375,239,-0.1644,174,-0.6599,126,-1.1466
ENSG00000189337,KAZN,12,-2.7873,117,0.66957,133,0.88305,46,-0.8063,81,0.09041,66,-0.2419,49,-0.7166,113,0.61668,78,0.01402,74,-0.0628
ENSG00000142634,EFHD2,235,1.70302,91,0.08091,58,-0.6110,7,-3.6525,148,1.01959,102,0.25673,20,-2.1567,49,-0.8860,86,-0.0097,8,-3.5510
ENSG00000116138,DNAJC16,12,-1.7824,34,-0.1899,62,0.76806,43,0.16669,44,0.20840,27,-0.5635,66,0.85044,34,-0.2031,31,-0.3588,31,-0.3656
ENSG00000197312,DDI2,12,-1.8324,51,0.38332,54,0.47568,40,-0.0101,52,0.48052,49,0.32418,50,0.36020,53,0.45498,15,-1.5006,12,-1.7686
ENSG00000116786,PLEKHM2,12,-3.1689,52,-1.0109,74,-0.4760,108,0.11893,108,0.13314,183,0.98478,50,-1.0615,129,0.39516,183,0.98541,98,-0.0456
ENSG00000065526,SPEN,84,-1.3568,583,1.81485,107,-0.9836,114,-0.8969,71,-1.7136,409,1.16250,241,0.27306,257,0.37860,116,-0.8652,183,-0.1665
ENSG00000116809,ZBTB17,12,-1.1026,23,-0.1232,15,-0.7527,28,0.20123,23,-0.1302,7,-1.7359,9,-1.4058,55,1.33174,47,1.07625,28,0.19572
ENSG00000055070,SZRD1,12,-1.1775,45,0.90602,17,-0.5883,23,-0.1753,13,-1.0638,8,-1.7003,10,-1.3742,59,1.38566,43,0.84312,38,0.62709
ENSG00000159363,ATP13A2,12,-3.0494,20,-2.2718,227,1.51683,99,0.10618,167,1.13763,68,-0.4675,63,-0.6072,9,-3.3542,110,0.26974,75,-0.3358
ENSG00000117118,SDHB,12,-1.9167,8,-2.4878,69,0.78615,38,-0.1807,96,1.62366,16,-1.5002,41,-0.0581,21,-1.0568,40,-0.0832,32,-0.4505
ENSG00000117115,PADI2,12,-2.7634,160,1.23454,6,-3.5781,17,-2.2253,26,-1.7196,8,-3.3567,6,-3.6992,365,2.94128,67,-0.1878,143,1.03562
ENSG00000179051,RCC2,12,-1.0790,24,-0.0208,45,1.01812,21,-0.1846,28,0.26453,22,-0.1168,46,1.04514,17,-0.5732,9,-1.4007,13,-0.9218
ENSG00000117154,IGSF21,12,-2.1268,24,-1.1001,55,0.18183,67,0.49480,85,1.04895,27,-0.8952,51,0.07346,19,-1.4642,58,0.25602,57,0.22757
ENSG00000159423,ALDH4A1,12,-0.9956,9,-1.3175,12,-0.9313,14,-0.7281,18,-0.4247,8,-1.4648,8,-1.5762,12,-0.9584,79,2.18004,60,1.63264
