Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,9,-1.8800,32,0.20555,44,1.20518,15,-1.0644
ENSG00000188976,NOC2L,22,-1.0996,45,0.10669,61,0.98509,24,-0.9506
ENSG00000188290,HES4,12,-1.5476,29,-0.0744,32,0.12744,47,0.83195
ENSG00000187608,ISG15,27,-0.5491,12,-1.8081,51,0.79572,47,0.42260
ENSG00000188157,AGRN,29,0.36851,21,-0.1746,25,0.14453,18,-0.4980
ENSG00000078808,SDF4,59,0.07572,55,-0.0340,51,-0.2212,65,0.26814
ENSG00000176022,B3GALT6,11,-0.6954,14,-0.2068,21,0.67014,14,-0.2523
ENSG00000160087,UBE2J2,26,-0.2516,32,0.12534,32,0.14999,28,-0.1201
ENSG00000131584,ACAP3,62,-0.0344,100,0.88690,53,-0.4176,49,-0.4498
ENSG00000127054,INTS11,32,-0.2879,32,-0.2919,42,0.24417,42,0.16766
ENSG00000224051,CPTP,11,-0.5323,4,-1.8688,23,1.20709,13,-0.1643
ENSG00000107404,DVL1,32,-0.4710,26,-0.7963,44,0.11282,63,0.79444
ENSG00000175756,AURKAIP1,102,-0.7551,69,-1.3733,214,0.82398,191,0.35010
ENSG00000221978,CCNL2,58,-0.0695,97,0.89836,51,-0.3816,46,-0.4884
ENSG00000242485,MRPL20,121,-0.2203,70,-1.1322,162,0.41908,172,0.41245
ENSG00000235098,ANKRD65,46,0.59432,19,-0.9738,30,-0.2286,42,0.41838
ENSG00000179403,VWA1,173,3.13643,27,-1.0296,6,-3.6506,38,-0.4671
ENSG00000197785,ATAD3A,11,-0.5453,19,0.43212,17,0.33549,11,-0.5640
ENSG00000205090,TMEM240,5,-2.1168,15,-0.4465,31,1.28990,17,-0.2803
ENSG00000160075,SSU72,75,-0.9220,82,-0.7726,180,0.89992,130,0.01276
ENSG00000228594,FNDC10,4,-2.6057,7,-1.6328,30,1.09197,30,0.77063
ENSG00000272106,AL691432.2,17,0.30154,9,-0.8478,19,0.62433,10,-0.6714
ENSG00000197530,MIB2,19,-0.7410,30,0.09604,29,0.00204,37,0.48108
ENSG00000248333,CDK11B,69,0.67209,51,0.09538,44,-0.2015,33,-0.6509
ENSG00000189339,SLC35E2B,16,-0.2315,21,0.21706,17,-0.1994,22,0.27271
ENSG00000008128,CDK11A,36,0.54413,36,0.59058,21,-0.5106,18,-0.6119
ENSG00000215790,SLC35E2A,11,-0.6503,18,0.20855,14,-0.2819,23,0.66828
ENSG00000008130,NADK,17,-0.4057,21,-0.1246,23,0.11779,26,0.29690
ENSG00000078369,GNB1,245,-1.0370,315,-0.6241,534,0.42970,629,0.62819
ENSG00000187730,GABRD,2,-5.9562,65,-1.2094,261,2.44447,76,-0.9516
ENSG00000067606,PRKCZ,85,-1.4232,157,-0.4163,268,0.79165,221,0.18405
ENSG00000162585,FAAP20,34,0.06197,22,-0.7065,27,-0.4380,55,0.98090
ENSG00000157933,SKI,27,0.48661,28,0.53467,15,-0.6668,19,-0.1976
ENSG00000157916,RER1,74,0.31742,53,-0.2646,69,0.24546,46,-0.5163
ENSG00000157911,PEX10,39,0.92298,10,-1.4714,24,-0.0186,24,-0.0106
ENSG00000149527,PLCH2,24,1.31144,3,-1.9972,13,0.15091,8,-0.7067
ENSG00000157881,PANK4,6,-1.0582,5,-1.3839,19,1.28933,11,-0.1325
ENSG00000157870,PRXL2B,13,-1.7733,32,-0.3634,56,0.99007,39,-0.0054
ENSG00000177133,PRDM16-DT,10,-1.1913,26,0.50564,8,-1.7732,48,1.86233
ENSG00000158109,TPRG1L,43,-2.1457,112,-0.6510,244,1.17146,170,0.07920
ENSG00000116213,WRAP73,10,-0.5180,24,1.08774,12,-0.2284,9,-0.5983
ENSG00000130764,LRRC47,40,-0.8711,71,0.09875,87,0.67016,52,-0.4597
ENSG00000116198,CEP104,81,1.39387,58,0.65308,18,-1.5785,28,-0.6327
ENSG00000196581,AJAP1,19,-1.2224,71,1.17829,41,0.11651,24,-0.8424
ENSG00000069424,KCNAB2,20,-3.3125,115,-0.6386,266,1.40483,166,-0.0114
ENSG00000116254,CHD5,33,-2.4311,235,0.86075,161,0.16719,162,0.13462
ENSG00000116251,RPL22,672,0.41927,357,-0.6994,415,-0.5699,821,0.81944
ENSG00000116237,ICMT,20,-0.9647,27,-0.4869,52,1.00981,29,-0.3711
ENSG00000097021,ACOT7,43,-2.4308,119,-0.8283,356,2.04738,95,-1.1935
ENSG00000215788,TNFRSF25,2,-2.6039,21,0.85525,17,0.59825,10,-0.5393
ENSG00000171680,PLEKHG5,0,-5.3037,13,-0.4654,30,1.86883,11,-0.7230
ENSG00000162408,NOL9,18,-0.4635,26,0.11438,24,0.03295,27,0.24079
ENSG00000162413,KLHL21,27,0.32887,20,-0.2217,19,-0.4349,29,0.44731
ENSG00000041988,THAP3,12,-0.5619,18,0.06454,23,0.77822,10,-0.9513
ENSG00000007923,DNAJC11,15,-1.2867,38,0.29416,41,0.66337,25,-0.4046
ENSG00000171735,CAMTA1,149,-1.4200,498,0.67663,382,0.23137,331,-0.0917
