Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000237491,LINC01409,6,-0.5898,17,1.32432,5,-0.8849,6,-0.5705,13,0.69125,7,-0.2848
ENSG00000228794,LINC01128,25,-0.6582,48,0.46765,35,-0.1249,47,0.41313,29,-0.3759,35,-0.0929
ENSG00000188976,NOC2L,31,-0.7364,42,-0.2184,62,0.52023,56,0.28791,26,-0.9256,58,0.28786
ENSG00000188290,HES4,32,0.38700,16,-0.7844,30,0.35180,13,-1.1487,28,0.13790,41,0.78152
ENSG00000187608,ISG15,24,0.22786,13,-0.8110,23,0.17180,24,0.16358,12,-0.8626,32,0.61327
ENSG00000188157,AGRN,18,0.10970,18,0.10113,19,0.27939,13,-0.3670,12,-0.4425,16,-0.0912
ENSG00000078808,SDF4,41,-0.1539,39,-0.2522,47,0.08928,49,0.17225,42,-0.1044,52,0.24184
ENSG00000176022,B3GALT6,18,-0.1981,16,-0.3893,22,0.13488,26,0.44990,11,-0.9314,26,0.42461
ENSG00000160087,UBE2J2,33,-0.0606,30,-0.2453,31,-0.1882,43,0.42377,24,-0.5662,47,0.52690
ENSG00000131584,ACAP3,61,0.11146,49,-0.2685,64,0.22075,46,-0.3821,60,0.08585,66,0.22926
ENSG00000127054,INTS11,26,-0.5298,24,-0.6521,42,0.37545,47,0.52124,28,-0.3785,40,0.18718
ENSG00000224051,CPTP,14,-0.4205,12,-0.6342,22,0.47278,19,0.16613,14,-0.3082,23,0.38884
ENSG00000107404,DVL1,75,1.17299,21,-1.0724,26,-0.7930,35,-0.2683,57,0.54157,49,0.30390
ENSG00000175756,AURKAIP1,117,0.09269,63,-0.9528,98,-0.2393,126,0.23192,95,-0.2453,219,1.13041
ENSG00000221978,CCNL2,32,-0.8685,63,0.25099,47,-0.2936,66,0.33222,57,0.06381,81,0.64031
ENSG00000242485,MRPL20,122,0.01810,80,-0.6923,110,-0.1801,133,0.17470,140,0.23533,187,0.71354
ENSG00000235098,ANKRD65,31,0.62352,12,-0.9448,13,-0.9406,21,-0.0875,45,1.15359,30,0.48894
ENSG00000179403,VWA1,23,0.62207,6,-1.5653,24,0.81544,4,-2.0004,25,0.68540,16,-0.0772
ENSG00000197785,ATAD3A,8,-0.2968,6,-0.6744,9,-0.0797,16,0.94331,4,-1.2282,13,0.47950
ENSG00000205090,TMEM240,14,-0.8491,22,-0.0948,23,-0.0182,29,0.41005,25,0.15766,30,0.43941
ENSG00000160075,SSU72,133,0.08194,87,-0.6402,107,-0.3251,167,0.50266,135,0.09780,165,0.42402
ENSG00000228594,FNDC10,33,0.61523,20,-0.3138,22,-0.1516,20,-0.3054,18,-0.3728,31,0.41852
ENSG00000272106,AL691432.2,14,-0.4664,9,-1.2163,13,-0.6136,23,0.44234,34,1.01104,36,1.11133
ENSG00000197530,MIB2,24,-0.1084,17,-0.6925,33,0.56006,20,-0.4407,30,0.23549,30,0.24812
ENSG00000248333,CDK11B,30,-0.2795,54,0.80886,30,-0.2927,37,0.10429,40,0.21789,13,-1.5216
ENSG00000189339,SLC35E2B,16,-0.1620,17,-0.1381,23,0.52262,21,0.25456,4,-2.0720,16,-0.1360
ENSG00000008128,CDK11A,26,0.32518,40,1.20925,15,-0.6196,14,-0.7003,19,-0.1840,10,-1.0715
ENSG00000215790,SLC35E2A,24,-0.1521,23,-0.2191,24,-0.2199,23,-0.2390,40,0.66197,39,0.63505
ENSG00000008130,NADK,20,-0.2300,14,-0.7998,23,0.03236,24,0.12797,26,0.23625,37,0.81433
ENSG00000078369,GNB1,629,0.44326,343,-0.6158,489,-0.0129,464,-0.1057,513,0.06397,567,0.22374
