Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,11,-1.8872,26,-0.6745,29,-0.5528,57,0.76350,32,-0.3916,45,0.16737
ENSG00000188976,NOC2L,23,-0.9566,19,-1.2377,11,-2.0922,49,0.22158,38,-0.2538,68,0.91130
ENSG00000188290,HES4,12,-1.4835,26,-0.2751,6,-2.3464,21,-0.7409,48,0.78309,50,0.96836
ENSG00000187608,ISG15,33,0.37222,35,0.48038,4,-2.5660,8,-2.0762,38,0.69870,43,1.09550
ENSG00000188157,AGRN,15,-0.1309,18,0.13411,11,-0.6303,16,-0.0945,19,0.16158,19,0.18943
ENSG00000078808,SDF4,43,-0.2723,34,-0.6549,34,-0.6520,46,-0.2290,57,0.17519,70,0.61172
ENSG00000176022,B3GALT6,7,-1.5270,12,-0.7226,8,-1.3141,20,0.11144,20,0.05561,28,0.74946
ENSG00000160087,UBE2J2,14,-1.0981,23,-0.3619,16,-0.9381,26,-0.3024,37,0.40928,42,0.68909
ENSG00000131584,ACAP3,36,-0.6192,43,-0.3484,36,-0.6527,64,0.34798,51,-0.1180,61,0.21029
ENSG00000127054,INTS11,23,-0.5776,16,-1.0984,2,-3.7823,33,-0.0121,47,0.62114,44,0.55400
ENSG00000224051,CPTP,8,-0.6719,7,-1.0325,2,-2.3669,16,0.37321,16,0.33970,15,0.30096
ENSG00000107404,DVL1,29,-0.4715,31,-0.3898,18,-1.1751,35,-0.2373,59,0.70889,46,0.29803
ENSG00000175756,AURKAIP1,81,-0.8089,127,-0.1176,123,-0.1641,95,-0.7338,176,0.44447,194,0.71227
ENSG00000221978,CCNL2,61,0.29803,29,-0.8394,13,-2.0517,56,0.23633,60,0.28794,53,0.09636
ENSG00000242485,MRPL20,86,-0.6091,106,-0.2946,119,-0.1227,112,-0.2743,162,0.41685,151,0.32433
ENSG00000235098,ANKRD65,18,0.39185,14,-0.0738,6,-1.2320,14,-0.0522,17,0.29485,15,0.03301
ENSG00000179403,VWA1,72,2.74611,14,-0.1020,6,-1.3082,9,-0.9444,19,0.41286,5,-1.7327
ENSG00000205090,TMEM240,10,-1.2002,19,-0.2430,24,0.06381,19,-0.3795,28,0.37092,29,0.50220
ENSG00000160075,SSU72,59,-1.4017,93,-0.7220,123,-0.2907,133,-0.2276,190,0.44185,197,0.57924
ENSG00000228594,FNDC10,3,-2.8184,15,-0.7528,12,-1.0973,19,-0.5157,35,0.60831,40,1.01546
ENSG00000272106,AL691432.2,7,-1.2215,7,-1.1681,4,-1.9745,17,0.03653,14,-0.2656,28,1.11554
ENSG00000197530,MIB2,12,-0.9927,7,-1.7602,26,0.19883,20,-0.2224,32,0.60009,28,0.38360
ENSG00000248333,CDK11B,101,1.33417,60,0.46580,46,0.04930,52,0.31443,30,-0.6633,21,-1.2828
ENSG00000008128,CDK11A,65,1.94788,43,1.20109,8,-1.4177,24,0.37200,7,-1.7592,7,-1.8266
ENSG00000215790,SLC35E2A,12,-1.2378,36,0.38720,43,0.68351,21,-0.5659,31,0.19239,32,0.29822
ENSG00000008130,NADK,8,-1.3037,16,-0.2108,15,-0.3291,19,0.02308,24,0.43439,21,0.18288
ENSG00000078369,GNB1,232,-1.1641,453,-0.1450,563,0.19705,448,-0.2211,712,0.64739,501,0.01491
ENSG00000187730,GABRD,23,-2.6703,81,-0.8277,38,-1.9533,135,-0.0550,120,-0.2501,247,1.26854
ENSG00000067606,PRKCZ,79,-1.0803,98,-0.7659,173,0.11351,143,-0.2441,229,0.63215,184,0.25812
ENSG00000162585,FAAP20,18,-0.5817,37,0.55926,42,0.75948,10,-1.7675,44,0.99202,29,0.21232
ENSG00000157933,SKI,37,0.45625,30,0.10258,39,0.53155,24,-0.2902,35,0.37890,21,-0.5313
ENSG00000157916,RER1,43,-0.1603,20,-1.3001,18,-1.4948,46,-0.0730,65,0.55372,59,0.42255
ENSG00000157911,PEX10,16,-0.0956,8,-1.2240,28,0.74521,12,-0.7964,26,0.71118,20,0.23458
ENSG00000157870,PRXL2B,6,-2.7223,16,-1.3242,22,-0.8597,37,-0.1112,56,0.62365,56,0.70251
ENSG00000177133,PRDM16-DT,15,0.04116,28,0.99274,2,-2.9648,5,-1.9400,43,2.12539,10,-0.7182
ENSG00000158109,TPRG1L,55,-1.6794,105,-0.7137,156,-0.1018,151,-0.2058,203,0.34421,225,0.60797
ENSG00000130764,LRRC47,43,-0.7085,27,-1.3923,54,-0.3454,65,-0.1018,72,0.10496,96,0.70580
ENSG00000116198,CEP104,103,1.61872,62,0.73012,26,-0.6374,45,0.32326,28,-0.5363,14,-1.7622
ENSG00000198912,C1orf174,14,-0.1444,11,-0.5250,10,-0.6136,14,-0.1204,13,-0.2288,21,0.67710
ENSG00000196581,AJAP1,28,-0.3251,42,0.27585,23,-0.6545,46,0.62365,33,-0.1041,26,-0.5393
ENSG00000069424,KCNAB2,37,-2.3677,98,-0.9424,161,-0.1832,154,-0.3409,221,0.35044,273,0.86137
ENSG00000116254,CHD5,72,-1.6452,323,0.65879,200,-0.1049,255,0.39669,187,-0.2282,193,-0.1950
ENSG00000116251,RPL22,856,0.73777,598,0.15541,1004,1.00639,383,-0.6968,729,0.53162,351,-0.7862
ENSG00000116237,ICMT,9,-2.1509,18,-1.2358,12,-1.8016,44,0.18448,55,0.55248,53,0.55173
ENSG00000097021,ACOT7,35,-2.4151,49,-1.8940,83,-1.1280,198,0.29415,116,-0.6758,298,1.16716
ENSG00000215788,TNFRSF25,1,-3.6043,10,-0.7147,2,-2.6949,24,0.83660,11,-0.6472,23,0.63634
ENSG00000171680,PLEKHG5,2,-3.4778,17,-0.7488,19,-0.6066,31,0.19737,31,0.18812,38,0.59108
ENSG00000162408,NOL9,25,-0.0368,27,0.09024,30,0.22286,18,-0.7508,25,-0.0495,36,0.65002
ENSG00000162413,KLHL21,18,-0.4300,14,-0.8333,18,-0.4851,22,-0.2084,26,0.09137,34,0.68916
ENSG00000041988,THAP3,6,-1.0596,7,-0.8665,6,-1.0344,8,-0.8152,21,0.85013,20,0.89064
ENSG00000007923,DNAJC11,22,-0.6134,24,-0.4343,14,-1.2684,33,0.02547,41,0.43490,38,0.32402
ENSG00000171735,CAMTA1,261,-1.0885,800,0.65903,480,-0.1593,638,0.41663,430,-0.3595,474,-0.2152
ENSG00000049245,VAMP3,71,2.09413,16,-0.3820,18,-0.2523,8,-1.6562,33,0.83855,15,-0.5647
ENSG00000049246,PER3,72,0.71410,59,0.40634,32,-0.5404,42,-0.1969,65,0.61862,30,-0.7521
ENSG00000116288,PARK7,189,-0.6955,245,-0.2986,199,-0.6148,260,-0.2745,364,0.36199,385,0.53080
ENSG00000116285,ERRFI1,13,-0.9579,20,-0.3221,7,-1.7727,26,0.09987,29,0.28581,31,0.47538
ENSG00000162426,SLC45A1,6,-2.1142,8,-1.5970,3,-2.8302,24,-0.0611,24,-0.0252,45,1.29200
ENSG00000142599,RERE,178,0.70266,179,0.71447,118,0.04053,104,-0.2076,101,-0.2171,95,-0.3539
ENSG00000074800,ENO1,302,-0.3926,327,-0.2716,222,-0.8628,296,-0.5565,552,0.62816,510,0.54859
ENSG00000171612,SLC25A33,9,-1.6840,49,0.86719,21,-0.4724,18,-0.9353,52,1.10970,30,0.07598
ENSG00000171603,CLSTN1,180,-2.0833,386,-0.9491,473,-0.6405,927,0.60182,541,-0.4720,921,0.50727
ENSG00000178585,CTNNBIP1,18,-0.6237,51,0.97150,26,-0.1188,14,-1.3110,46,0.91400,31,0.18148
ENSG00000162441,LZIC,112,1.09914,89,0.71864,98,0.88082,43,-0.5505,49,-0.2596,38,-0.7458
ENSG00000130939,UBE4B,53,0.16683,34,-0.4872,31,-0.6432,46,-0.0338,48,0.03782,55,0.31424
ENSG00000054523,KIF1B,687,0.73939,500,0.22446,418,-0.0611,443,0.04523,373,-0.2603,362,-0.3383
ENSG00000284642,AL139424.2,9,-0.8503,5,-1.7994,0,-6.0120,21,0.56924,18,0.17430,21,0.46489
ENSG00000142657,PGD,37,-0.4843,29,-0.8603,35,-0.5511,38,-0.5669,40,-0.3843,91,1.28183
ENSG00000241563,CORT,28,-0.2355,41,0.37543,47,0.61748,16,-1.2763,25,-0.3855,51,0.97926
ENSG00000160049,DFFA,83,0.67628,71,0.44040,68,0.37171,47,-0.2991,47,-0.2541,49,-0.1949
ENSG00000142655,PEX14,6,-1.7932,14,-0.5050,8,-1.2768,17,-0.3674,15,-0.4641,38,1.42398
