Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,16,-1.2055,37,0.07645,14,-1.3991,13,-1.4265,18,-1.0147,58,0.92067,29,-0.3130,38,0.13872,55,0.82225
ENSG00000188976,NOC2L,12,-2.1280,23,-1.2044,56,0.16010,10,-2.4409,50,-0.0216,56,0.19553,45,-0.1765,68,0.47703,92,1.11169
ENSG00000188290,HES4,9,-2.0792,18,-1.0596,47,0.35905,12,-1.6815,191,3.00587,10,-1.9863,28,-0.4621,25,-0.6385,34,-0.1455
ENSG00000187608,ISG15,30,-0.4063,29,-0.4775,51,0.41232,58,0.62700,123,1.94609,6,-2.8617,27,-0.5927,10,-1.9675,51,0.47468
ENSG00000188157,AGRN,15,-0.9372,18,-0.5991,42,0.68030,31,0.18649,63,1.38670,17,-0.8044,14,-1.0276,47,0.89859,24,-0.2022
ENSG00000078808,SDF4,34,-0.8952,28,-1.1867,72,0.23630,78,0.36360,105,0.85349,52,-0.3081,50,-0.3521,86,0.51525,68,0.16293
ENSG00000176022,B3GALT6,6,-1.9948,16,-0.6927,26,0.06401,21,-0.2413,19,-0.4273,25,0.01966,16,-0.7014,46,1.00147,41,0.89326
ENSG00000160087,UBE2J2,8,-2.0598,30,-0.0671,46,0.59994,22,-0.5732,19,-0.7889,28,-0.2367,35,0.15585,55,0.88515,38,0.31347
ENSG00000131584,ACAP3,80,-0.1386,65,-0.4561,120,0.50841,61,-0.5641,135,0.69203,76,-0.2307,50,-0.9314,169,1.07356,84,-0.0710
ENSG00000127054,INTS11,34,-0.5725,14,-1.8954,34,-0.5922,26,-0.9806,132,1.61936,45,-0.1806,37,-0.5024,92,0.99181,52,0.05960
ENSG00000107404,DVL1,21,-1.5024,43,-0.4443,106,0.99450,56,-0.0357,89,0.71142,21,-1.6156,57,0.00509,143,1.52273,36,-0.7487
ENSG00000175756,AURKAIP1,83,-0.8939,100,-0.6126,184,0.33818,148,-0.0069,167,0.17800,103,-0.6164,210,0.61636,132,-0.1826,173,0.26465
ENSG00000221978,CCNL2,64,0.01184,24,-1.4663,42,-0.6523,32,-1.0348,123,1.07373,83,0.47816,62,-0.0347,64,0.01568,61,-0.0597
ENSG00000242485,MRPL20,67,-1.0363,162,0.31050,117,-0.1924,132,-0.0065,141,0.08855,79,-0.8591,213,0.86207,154,0.22808,119,-0.1888
ENSG00000235098,ANKRD65,26,-0.2797,35,0.19329,31,-0.0207,18,-0.7992,14,-1.1999,20,-0.7500,39,0.41354,45,0.58329,43,0.57638
ENSG00000179403,VWA1,68,1.66858,8,-1.5934,53,1.24341,60,1.43312,59,1.42418,5,-2.4877,13,-1.0695,7,-1.9186,4,-2.6296
ENSG00000205090,TMEM240,6,-2.1853,27,-0.0330,17,-0.7318,22,-0.3510,11,-1.3947,25,-0.1684,25,-0.1903,48,0.86183,52,1.13341
ENSG00000160075,SSU72,64,-1.2162,115,-0.3254,143,0.01351,105,-0.4637,175,0.33959,131,-0.1284,186,0.48939,201,0.56470,130,-0.1442
ENSG00000228594,FNDC10,5,-2.6930,27,-0.3504,46,0.47890,33,-0.0174,41,0.29738,21,-0.7865,26,-0.4401,57,0.84322,51,0.74946
ENSG00000197530,MIB2,10,-1.9941,27,-0.5303,38,-0.0144,31,-0.3287,54,0.53669,32,-0.3101,39,-0.0099,67,0.88593,47,0.35273
ENSG00000248333,CDK11B,122,1.27428,84,0.65427,19,-1.6301,45,-0.3471,55,-0.0334,68,0.33170,49,-0.2299,32,-0.8337,41,-0.5190
ENSG00000189339,SLC35E2B,9,-1.3742,29,0.32245,19,-0.3634,12,-0.9803,29,0.30407,25,0.08244,17,-0.5335,41,0.86105,31,0.45536
ENSG00000008128,CDK11A,70,1.34288,15,-1.0946,16,-1.0276,20,-0.6651,96,1.93095,38,0.38966,19,-0.7605,12,-1.3985,13,-1.3897
ENSG00000008130,NADK,8,-1.6677,20,-0.3247,30,0.28858,26,0.03858,22,-0.1779,27,0.15258,25,0.02102,42,0.81561,23,-0.1107
ENSG00000078369,GNB1,140,-1.9043,641,0.41989,669,0.48995,493,0.00105,478,-0.0451,395,-0.3732,573,0.26730,615,0.35338,468,-0.0870
ENSG00000187730,GABRD,7,-4.6370,86,-1.0680,129,-0.4553,44,-2.0737,149,-0.2333,163,-0.1048,106,-0.8101,461,1.64007,333,1.23252
ENSG00000067606,PRKCZ,77,-1.5333,254,0.28768,196,-0.1146,107,-1.0361,152,-0.5134,180,-0.2692,253,0.31915,359,0.85542,262,0.38079
ENSG00000162585,FAAP20,34,-0.1853,35,-0.1168,49,0.41375,46,0.30171,64,0.85332,19,-1.0750,33,-0.2237,28,-0.4681,47,0.35923
ENSG00000157933,SKI,32,0.00238,26,-0.3262,42,0.40729,75,1.37898,32,-0.0180,32,-0.0157,7,-2.3492,34,0.05930,35,0.11747
ENSG00000157916,RER1,30,-0.9494,9,-2.5834,56,0.03216,97,0.90661,77,0.52449,51,-0.1352,40,-0.5375,76,0.51523,67,0.35467
ENSG00000157911,PEX10,26,0.28934,3,-2.7913,30,0.50532,44,1.14836,46,1.19209,9,-1.4231,19,-0.1973,25,0.20348,16,-0.5476
ENSG00000157870,PRXL2B,18,-1.4272,29,-0.6757,35,-0.3931,40,-0.1882,42,-0.1334,38,-0.3047,45,-0.0197,107,1.40874,55,0.31945
ENSG00000158109,TPRG1L,34,-2.7232,176,-0.2702,230,0.14850,101,-1.1054,158,-0.4326,184,-0.2167,295,0.62072,336,0.76531,258,0.36898
ENSG00000130764,LRRC47,31,-1.3150,50,-0.6107,53,-0.5186,39,-0.9823,54,-0.4948,73,-0.0442,100,0.53259,116,0.70925,102,0.56283
ENSG00000116198,CEP104,122,1.83489,35,-0.2488,28,-0.5819,36,-0.2117,64,0.69942,29,-0.5916,27,-0.6631,27,-0.6251,35,-0.2921
ENSG00000196581,AJAP1,24,-1.0618,72,0.61808,22,-1.2018,29,-0.7844,14,-1.8351,74,0.73563,42,-0.2558,71,0.58402,62,0.40700
ENSG00000069424,KCNAB2,15,-3.8685,186,-0.1680,300,0.59618,150,-0.5003,94,-1.2003,206,-0.0051,224,0.13916,371,0.94876,253,0.35545
ENSG00000116254,CHD5,47,-2.5445,407,0.74858,211,-0.2951,181,-0.5357,221,-0.2254,373,0.68460,164,-0.7404,365,0.57225,280,0.16132
ENSG00000116251,RPL22,871,0.94787,719,0.62806,620,0.38692,561,0.22456,416,-0.2427,309,-0.7535,523,0.12587,398,-0.3114,293,-0.8391
ENSG00000116237,ICMT,16,-1.0280,16,-0.9898,36,0.21232,35,0.19411,33,0.09144,34,0.16736,27,-0.2483,52,0.82513,32,0.02941
ENSG00000097021,ACOT7,27,-2.9813,114,-0.8547,130,-0.6533,74,-1.4986,145,-0.4840,195,-0.0351,283,0.63760,211,0.09216,364,1.13340
ENSG00000215788,TNFRSF25,0,-6.0632,8,-1.4394,29,0.40355,13,-0.7605,20,-0.1697,44,1.24342,14,-0.7660,64,1.75115,9,-1.3605
ENSG00000171680,PLEKHG5,2,-3.3759,9,-1.6911,45,0.80911,21,-0.4033,29,0.10300,29,0.11122,22,-0.3633,78,1.75295,21,-0.4654
ENSG00000162408,NOL9,13,-1.1611,34,0.31625,32,0.21019,31,0.17916,41,0.61315,25,-0.1890,23,-0.3271,36,0.38496,26,-0.1157
ENSG00000162413,KLHL21,11,-1.4076,11,-1.3971,28,0.00390,27,-0.0556,41,0.64406,33,0.29224,17,-0.7541,38,0.51013,38,0.56045
ENSG00000041988,THAP3,10,-0.9289,5,-1.9262,17,-0.1625,16,-0.2565,34,0.88855,13,-0.6443,15,-0.4253,35,0.94033,29,0.73362
ENSG00000007923,DNAJC11,14,-1.4503,48,0.41800,34,-0.1341,34,-0.0918,43,0.24494,39,0.12852,44,0.32729,29,-0.3519,35,-0.0634
ENSG00000171735,CAMTA1,201,-0.9626,521,0.52001,245,-0.6631,263,-0.5556,364,-0.0501,610,0.88600,358,-0.0841,205,-0.9364,390,0.06396
ENSG00000049245,VAMP3,84,2.29392,12,-0.8763,27,0.27709,27,0.31336,32,0.58178,9,-1.4218,18,-0.3307,20,-0.1725,5,-2.1658
ENSG00000049246,PER3,53,0.32294,29,-0.6079,29,-0.6284,67,0.69750,85,1.08830,46,0.11331,32,-0.4950,45,0.04703,28,-0.7300
ENSG00000116288,PARK7,107,-1.3316,208,-0.3255,287,0.17369,219,-0.2517,206,-0.3436,159,-0.8001,441,1.00219,282,0.14594,287,0.19473
