Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,50,0.97857,30,-0.1667,17,-1.0204,27,-0.3715,10,-1.7872,35,0.06023,27,-0.3570
ENSG00000188976,NOC2L,64,0.74197,18,-1.4819,37,-0.3769,29,-0.8332,27,-0.8489,55,0.20765,73,0.68186
ENSG00000188290,HES4,32,-0.1184,32,-0.0799,34,0.01686,53,0.85834,9,-1.8722,14,-1.3487,46,0.51839
ENSG00000187608,ISG15,21,-0.8133,124,2.44027,37,0.23786,36,0.23868,29,-0.1290,1,-4.6773,0,-5.7009
ENSG00000188157,AGRN,13,-0.3032,26,0.84352,17,0.22550,14,-0.1145,12,-0.2964,6,-1.3886,24,0.75355
ENSG00000078808,SDF4,63,0.07944,87,0.58146,42,-0.5485,63,0.06836,53,-0.2165,13,-2.2953,94,0.71724
ENSG00000176022,B3GALT6,25,0.28088,11,-1.0693,25,0.19846,21,-0.0922,12,-0.9632,12,-0.9326,42,1.04191
ENSG00000160087,UBE2J2,50,0.72766,27,-0.5028,40,0.10965,31,-0.3409,26,-0.5910,24,-0.7003,33,-0.1821
ENSG00000131584,ACAP3,62,-0.6109,53,-0.7076,89,0.10247,61,-0.5174,45,-0.9408,170,1.17823,188,1.36338
ENSG00000127054,INTS11,50,0.39467,25,-0.8248,35,-0.2870,36,-0.2662,40,-0.0881,34,-0.3490,59,0.54225
ENSG00000224051,CPTP,23,0.79893,13,-0.4049,20,0.30450,9,-1.0006,7,-1.2542,0,-7.0590,33,1.13790
ENSG00000107404,DVL1,32,-0.7699,65,0.51977,66,0.53567,75,0.86421,27,-0.8452,42,-0.1870,39,-0.2919
ENSG00000175756,AURKAIP1,130,-0.1854,115,-0.3265,155,0.14914,247,1.06116,95,-0.6250,41,-1.8821,137,-0.0555
ENSG00000221978,CCNL2,69,-0.1769,57,-0.4069,36,-1.1124,43,-0.9063,79,0.10500,112,0.66263,173,1.41171
ENSG00000242485,MRPL20,116,-0.1429,150,0.30634,125,0.01463,217,1.06776,75,-0.7840,55,-1.2521,60,-1.1125
ENSG00000235098,ANKRD65,30,-0.2478,29,-0.1984,46,0.52229,53,0.84099,52,0.70477,3,-3.5461,13,-1.4206
ENSG00000179403,VWA1,21,-1.0731,42,0.27413,32,-0.1635,18,-1.0858,156,2.70075,25,-0.5167,16,-1.1723
ENSG00000205090,TMEM240,33,0.28985,7,-2.0212,12,-1.3713,27,-0.1135,2,-3.5410,31,0.11433,81,1.74372
ENSG00000160075,SSU72,162,0.33411,77,-0.9263,151,0.10880,212,0.76456,65,-1.1935,76,-0.9413,106,-0.4433
ENSG00000228594,FNDC10,42,0.90228,6,-2.3016,41,0.52461,25,-0.2976,2,-3.4980,31,0.06718,26,-0.1783
ENSG00000272106,AL691432.2,16,-0.1462,6,-1.6633,23,0.42358,23,0.44876,13,-0.4262,16,-0.1164,24,0.50364
ENSG00000197530,MIB2,30,-0.0465,37,0.26256,45,0.59596,32,0.04888,10,-1.6677,12,-1.4274,52,0.84316
ENSG00000248333,CDK11B,52,-0.2877,30,-1.0456,33,-0.9166,22,-1.5978,71,0.27966,233,2.45931,34,-0.8325
ENSG00000189339,SLC35E2B,22,0.03735,43,1.11748,22,0.00987,12,-0.9329,17,-0.3616,22,0.05451,21,-0.0152
ENSG00000008128,CDK11A,21,-0.9127,9,-1.8943,11,-1.6703,6,-2.6535,61,0.98597,149,2.76323,39,0.25605
ENSG00000215790,SLC35E2A,24,0.16971,11,-1.0473,32,0.57936,26,0.27786,12,-0.9428,11,-1.1071,31,0.53472
ENSG00000008130,NADK,32,0.64247,28,0.20038,25,0.04874,18,-0.5371,15,-0.7236,20,-0.3419,18,-0.4385
ENSG00000078369,GNB1,529,0.16007,466,-0.0912,845,0.88127,704,0.65391,183,-1.5147,189,-1.4721,224,-1.2153
ENSG00000187730,GABRD,197,1.25724,31,-2.1004,134,0.11995,127,0.04393,3,-5.4797,70,-0.8792,84,-0.6055
ENSG00000067606,PRKCZ,223,0.37686,144,-0.4361,271,0.56770,191,0.00078,73,-1.4652,180,-0.0945,154,-0.3307
ENSG00000162585,FAAP20,27,-0.5654,32,-0.1333,67,1.06170,52,0.72019,40,0.20940,28,-0.3386,7,-2.2725
ENSG00000157933,SKI,28,-0.7249,59,0.63122,41,0.06280,25,-0.7700,31,-0.3875,90,1.36402,54,0.49330
ENSG00000157916,RER1,68,0.59345,53,-0.0054,45,-0.2562,58,0.13387,53,-0.0283,21,-1.4080,28,-1.0036
ENSG00000157911,PEX10,16,-0.4144,56,1.75883,20,0.04036,21,0.14387,23,0.21450,8,-1.2968,3,-2.8572
ENSG00000157870,PRXL2B,54,0.59925,20,-1.1497,35,-0.2900,54,0.45666,20,-1.1048,22,-0.9654,42,-0.0085
ENSG00000177133,PRDM16-DT,7,-1.8114,54,1.81955,13,-0.5236,35,1.16996,5,-1.7764,0,-5.9480,35,1.04201
