Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,20,-0.8859,12,-1.6402,31,-0.2630,26,-0.5390,42,0.27304,63,0.85605,53,0.57068,37,-0.0148
ENSG00000188976,NOC2L,27,-0.8744,26,-0.9248,41,-0.2464,49,0.05665,36,-0.4949,65,0.48650,68,0.56408,62,0.54202
ENSG00000188290,HES4,9,-2.1162,37,-0.0323,55,0.60794,32,-0.2612,40,0.12151,43,0.20851,18,-1.1262,46,0.39312
ENSG00000187608,ISG15,11,-1.8866,33,-0.2599,52,0.44816,84,1.23433,35,-0.2160,29,-0.4733,88,1.30583,24,-0.9067
ENSG00000188157,AGRN,15,-0.3420,15,-0.3138,18,-0.0496,12,-0.6192,21,0.27435,24,0.36897,14,-0.4009,20,0.16103
ENSG00000078808,SDF4,78,0.36526,58,-0.0869,70,0.20883,50,-0.3263,45,-0.5681,93,0.66332,42,-0.5935,71,0.27502
ENSG00000176022,B3GALT6,18,-0.4743,32,0.40978,27,0.17362,22,-0.1578,19,-0.4674,32,0.43745,20,-0.3021,28,0.29274
ENSG00000160087,UBE2J2,27,-0.2507,24,-0.4124,32,0.00274,22,-0.5892,22,-0.6414,59,1.00725,34,0.12816,39,0.38772
ENSG00000131584,ACAP3,65,-0.1273,50,-0.5098,99,0.54071,51,-0.4960,76,0.14446,109,0.70160,47,-0.6168,65,-0.1437
ENSG00000127054,INTS11,63,0.70353,26,-0.6676,21,-1.0128,41,-0.0049,29,-0.5852,71,0.90235,44,0.13667,45,0.17079
ENSG00000224051,CPTP,13,-0.5715,17,-0.1639,19,0.05231,10,-0.9009,14,-0.5312,28,0.64950,38,1.15684,19,0.03035
ENSG00000107404,DVL1,16,-1.7962,97,0.97208,97,0.95874,50,-0.0998,53,-0.0324,52,-0.0435,23,-1.2632,49,-0.1466
ENSG00000175756,AURKAIP1,101,-0.7618,154,-0.1198,183,0.15313,242,0.60334,126,-0.5120,228,0.50271,180,0.12347,176,0.11377
ENSG00000221978,CCNL2,77,0.23678,62,-0.1079,33,-1.0803,25,-1.4942,58,-0.2611,92,0.51132,71,0.10283,89,0.57435
ENSG00000242485,MRPL20,125,-0.3831,144,-0.1605,250,0.72637,143,-0.1689,135,-0.3133,158,-0.0174,165,0.05719,175,0.17711
ENSG00000235098,ANKRD65,29,0.01017,35,0.34579,41,0.57830,24,-0.2692,12,-1.4181,44,0.68435,15,-0.9570,39,0.62675
ENSG00000179403,VWA1,150,3.58008,42,0.90728,7,-1.7370,13,-0.8684,1,-3.9781,4,-2.3699,5,-2.1079,19,-0.4077
ENSG00000205090,TMEM240,13,-1.0969,6,-2.1853,31,0.18205,20,-0.4572,32,0.30381,46,0.84081,19,-0.5230,32,0.31416
ENSG00000160075,SSU72,93,-0.6612,72,-1.0546,182,0.38196,229,0.75895,115,-0.4020,142,-0.0057,157,0.14409,165,0.28408
ENSG00000228594,FNDC10,8,-1.8007,31,0.13233,38,0.47048,53,1.01927,31,0.17550,23,-0.3269,32,0.17836,20,-0.5817
ENSG00000272106,AL691432.2,23,0.49248,11,-0.6079,32,1.05095,6,-1.3905,18,0.17795,25,0.59764,8,-1.1790,14,-0.3709
ENSG00000197530,MIB2,17,-1.0019,18,-0.9373,40,0.31828,32,-0.0291,31,-0.1204,36,0.12504,38,0.24023,40,0.40224
ENSG00000248333,CDK11B,52,0.12092,61,0.38810,51,0.09731,34,-0.5356,69,0.76873,31,-0.6764,36,-0.4327,34,-0.6328
ENSG00000189339,SLC35E2B,17,-0.2925,18,-0.1802,21,0.03048,30,0.62302,13,-0.8257,15,-0.4842,10,-1.0086,32,0.91718
ENSG00000008128,CDK11A,52,1.13271,35,0.46961,15,-0.8638,27,0.03773,28,0.13376,24,-0.1454,22,-0.2854,18,-0.6430
ENSG00000215790,SLC35E2A,4,-2.1149,20,0.18031,29,0.73132,22,0.30595,20,0.22499,18,0.01083,17,-0.0821,15,-0.3218
ENSG00000008130,NADK,27,0.11752,23,-0.1622,29,0.21821,13,-0.9544,20,-0.4258,31,0.31750,20,-0.3437,33,0.54518
ENSG00000078369,GNB1,297,-0.8284,472,-0.1151,701,0.51365,695,0.50013,450,-0.2276,435,-0.2439,384,-0.4341,588,0.28707
ENSG00000187730,GABRD,12,-4.0310,20,-3.2852,170,-0.1317,230,0.34502,213,0.27553,249,0.47273,359,1.08064,181,-0.0440
ENSG00000067606,PRKCZ,132,-0.6856,77,-1.4955,250,0.31257,298,0.59457,190,-0.1440,219,0.09807,264,0.39814,218,0.11845
ENSG00000162585,FAAP20,34,0.03255,84,1.51473,61,0.96686,57,0.83540,19,-0.9992,4,-3.0769,19,-0.8415,29,-0.2713
ENSG00000157933,SKI,46,0.65160,54,0.91837,39,0.39915,20,-0.6173,29,-0.1044,30,-0.0250,14,-1.2122,25,-0.3354
ENSG00000157916,RER1,54,-0.2155,70,0.20596,36,-0.8154,55,-0.1796,46,-0.5450,82,0.46208,89,0.58983,72,0.30325
ENSG00000157911,PEX10,34,0.79359,33,0.75451,29,0.54059,27,0.42300,6,-1.9310,16,-0.3726,18,-0.1784,23,0.25875
ENSG00000149527,PLCH2,13,-0.1065,6,-1.0915,27,1.09852,18,0.39722,10,-0.4765,19,0.53645,9,-0.6339,13,-0.0290
ENSG00000157870,PRXL2B,20,-1.3050,11,-2.1658,50,0.05800,50,0.08570,45,-0.0989,72,0.64600,76,0.73472,53,0.20026
ENSG00000158109,TPRG1L,99,-1.1946,103,-1.1278,183,-0.2559,245,0.20369,202,-0.1238,270,0.35719,324,0.65230,253,0.31254
ENSG00000130764,LRRC47,33,-1.3057,52,-0.6079,55,-0.5412,89,0.20438,65,-0.3335,89,0.21887,102,0.43225,106,0.63126
ENSG00000116198,CEP104,129,1.23223,97,0.74247,49,-0.3270,68,0.17890,70,0.26668,31,-1.0400,44,-0.4932,34,-1.0115
