Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,22,-0.3161,4,-2.8917,21,-0.4067,49,1.47228,24,-0.2497
ENSG00000188976,NOC2L,15,-1.4087,29,-0.4463,5,-2.9966,55,0.86767,44,0.34343
ENSG00000188290,HES4,33,-0.1662,16,-1.3799,10,-1.9580,44,0.38644,53,0.84749
ENSG00000187608,ISG15,43,0.42128,35,0.13851,11,-1.6060,25,-0.5179,43,0.57162
ENSG00000188157,AGRN,22,-0.0385,24,0.07047,2,-3.4425,28,0.44310,24,0.10955
ENSG00000078808,SDF4,38,-0.8055,64,-0.0013,6,-3.4007,77,0.36247,81,0.48368
ENSG00000160087,UBE2J2,35,-0.0746,21,-0.9199,12,-1.6068,41,0.25530,50,0.72251
ENSG00000131584,ACAP3,65,-0.3362,48,-0.8909,24,-1.8511,112,0.72204,96,0.36895
ENSG00000127054,INTS11,38,-0.1668,39,-0.1267,10,-2.1890,53,0.49842,45,0.15291
ENSG00000107404,DVL1,25,-1.4286,37,-0.8991,29,-1.1949,61,-0.0794,108,1.26457
ENSG00000175756,AURKAIP1,70,-0.9509,112,-0.2418,59,-1.2054,142,0.20302,170,0.60612
ENSG00000221978,CCNL2,79,0.64569,61,0.24801,13,-2.0909,61,0.28559,45,-0.3287
ENSG00000242485,MRPL20,75,-0.7367,111,-0.1532,94,-0.3913,132,0.18449,140,0.31872
ENSG00000235098,ANKRD65,25,0.37430,30,0.83894,0,-4.8984,18,-0.2098,19,-0.0622
ENSG00000179403,VWA1,51,-0.2007,195,3.01193,11,-2.5304,10,-2.9237,33,-1.0548
ENSG00000205090,TMEM240,5,-1.9412,8,-1.3293,5,-1.8984,32,1.28876,21,0.27160
ENSG00000160075,SSU72,55,-1.2355,64,-1.0785,27,-2.2948,169,0.73551,167,0.70044
ENSG00000228594,FNDC10,7,-1.5569,6,-1.8844,7,-1.6835,31,0.84271,31,0.82855
ENSG00000197530,MIB2,20,-0.8079,25,-0.5353,0,-5.3629,44,0.57858,45,0.63895
ENSG00000248333,CDK11B,94,1.24213,50,0.20989,75,0.84644,31,-0.6773,28,-0.8722
ENSG00000008128,CDK11A,66,1.46263,32,0.26232,22,-0.3924,28,0.01367,14,-1.2260
ENSG00000008130,NADK,17,-0.3471,15,-0.5581,16,-0.4043,30,0.79302,19,-0.2058
ENSG00000078369,GNB1,145,-1.8584,244,-1.1650,471,-0.0546,527,0.16460,729,0.92605
ENSG00000187730,GABRD,0,-6.8143,5,-4.3726,36,-1.5088,216,2.27490,88,-0.1775
ENSG00000067606,PRKCZ,40,-2.1727,86,-1.1505,81,-1.1408,219,0.55387,250,0.87784
ENSG00000162585,FAAP20,39,-0.0264,47,0.31409,6,-2.6738,23,-0.9871,63,1.04695
ENSG00000157933,SKI,47,0.33709,26,-0.6485,75,1.15551,22,-0.9757,46,0.40511
ENSG00000157916,RER1,40,-0.4022,63,0.36638,23,-1.2278,70,0.67973,39,-0.5505
ENSG00000157911,PEX10,28,-0.0223,35,0.38618,20,-0.5630,23,-0.4166,32,0.27909
ENSG00000157870,PRXL2B,7,-2.5602,16,-1.5497,13,-1.6886,45,0.20733,73,1.44498
