Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000237491,LINC01409,5,-1.0742,6,-0.8909,19,0.94991,12,0.21399,10,-0.1629,6,-0.7952,22,1.16934,7,-0.6016
ENSG00000228794,LINC01128,35,-0.3631,16,-1.5289,56,0.39383,54,0.37726,41,-0.0780,21,-1.1139,42,-0.0747,59,0.57526
ENSG00000188976,NOC2L,60,0.12678,28,-1.0328,48,-0.2312,48,-0.2333,74,0.48099,41,-0.4521,54,-0.0484,75,0.58020
ENSG00000188290,HES4,47,0.31408,39,-0.0041,25,-0.6914,23,-0.8549,49,0.35365,45,0.23134,58,0.63523,40,0.05518
ENSG00000187608,ISG15,106,-0.4307,78,-0.8989,54,-1.4467,77,-1.0118,359,1.63180,177,0.38047,121,-0.2308,174,0.40850
ENSG00000188157,AGRN,26,0.34889,16,-0.4351,15,-0.4829,26,0.44112,14,-0.5721,12,-0.8457,24,0.26718,24,0.23496
ENSG00000078808,SDF4,66,0.08793,67,0.11322,51,-0.3390,56,-0.2035,75,0.29125,59,-0.0952,66,0.07022,66,0.08501
ENSG00000176022,B3GALT6,25,0.26022,13,-0.6942,20,-0.0771,18,-0.2677,28,0.45347,19,-0.1393,20,-0.0918,25,0.28065
ENSG00000160087,UBE2J2,42,0.10093,35,-0.1774,28,-0.5275,34,-0.2777,40,0.00771,28,-0.5219,48,0.30489,53,0.55433
ENSG00000162572,SCNN1D,14,0.42790,12,0.17421,4,-1.4755,10,-0.0744,9,-0.2159,7,-0.6237,19,0.95217,10,-0.0293
ENSG00000131584,ACAP3,95,0.42018,69,-0.0983,60,-0.3161,74,0.02961,59,-0.3282,76,0.07265,75,0.03517,74,0.02824
ENSG00000127054,INTS11,38,-0.1890,40,-0.0836,43,0.03166,35,-0.3398,51,0.30664,34,-0.3398,64,0.68145,42,-0.0311
ENSG00000224051,CPTP,32,0.88714,15,-0.3358,8,-1.3006,12,-0.7654,16,-0.1933,13,-0.4965,13,-0.5716,32,1.08220
ENSG00000107404,DVL1,57,0.37743,80,0.93448,37,-0.3076,35,-0.4713,29,-0.6956,66,0.61610,38,-0.2809,38,-0.2870
ENSG00000175756,AURKAIP1,113,-0.4360,160,0.11496,88,-0.8101,87,-0.9095,319,1.29201,203,0.50638,151,0.02076,140,-0.1093
ENSG00000221978,CCNL2,46,-0.5828,59,-0.1779,76,0.21770,83,0.40177,47,-0.5402,41,-0.7408,99,0.65897,65,-0.0342
ENSG00000242485,MRPL20,133,-0.0345,158,0.23868,113,-0.2971,88,-0.7390,200,0.62933,207,0.68837,141,0.05958,116,-0.2801
ENSG00000235098,ANKRD65,9,-0.6878,22,0.70086,15,0.08751,11,-0.3746,10,-0.5525,17,0.25501,24,0.83378,11,-0.3661
ENSG00000179403,VWA1,24,0.66077,30,1.02461,44,1.71639,13,-0.3466,8,-1.1050,9,-0.7907,7,-1.2618,6,-1.5098
ENSG00000160072,ATAD3B,18,0.77513,8,-0.4472,14,0.29526,13,0.29867,8,-0.4413,3,-2.0083,11,-0.0382,12,0.08465
ENSG00000197785,ATAD3A,11,-0.1733,11,-0.1636,4,-1.7376,16,0.46013,10,-0.3170,9,-0.5349,12,-0.0085,17,0.63267
ENSG00000205090,TMEM240,24,-0.2368,21,-0.4371,24,-0.2533,25,-0.2045,39,0.55486,27,-0.0711,23,-0.3003,36,0.45874
ENSG00000160075,SSU72,164,0.08550,144,-0.1219,129,-0.2990,130,-0.3164,213,0.51420,141,-0.1553,148,-0.0769,178,0.24776
ENSG00000228594,FNDC10,53,1.00996,25,-0.1829,17,-0.8194,22,-0.4230,30,0.07882,15,-1.0264,18,-0.7373,42,0.72484
ENSG00000272106,AL691432.2,12,-0.6727,16,-0.2218,24,0.47474,15,-0.2969,20,0.16486,20,0.18848,24,0.47676,17,-0.1112
ENSG00000197530,MIB2,25,-0.2331,33,0.17206,26,-0.2094,24,-0.3579,33,0.16399,19,-0.7018,38,0.39049,37,0.41271
ENSG00000248333,CDK11B,30,-0.5985,23,-1.0134,54,0.30529,69,0.85139,35,-0.3787,41,-0.1236,51,0.22244,36,-0.3723
ENSG00000189339,SLC35E2B,12,-0.6479,20,0.12488,23,0.36807,24,0.53089,20,0.15656,10,-0.8598,19,0.07542,15,-0.3683
ENSG00000008128,CDK11A,11,-0.6815,13,-0.4432,18,-0.0092,33,1.24637,10,-0.8873,19,0.13985,22,0.32927,9,-1.1745
ENSG00000215790,SLC35E2A,22,0.43514,19,0.17896,9,-0.9665,21,0.36975,11,-0.5983,18,0.05182,15,-0.2271,17,0.01213
ENSG00000008130,NADK,24,-0.1580,21,-0.3398,30,0.20626,17,-0.7197,23,-0.1887,28,0.11539,33,0.39418,34,0.48824
ENSG00000078369,GNB1,682,0.54399,522,0.10614,372,-0.4310,405,-0.3308,554,0.20164,533,0.13907,453,-0.1217,481,-0.0286
ENSG00000187730,GABRD,176,0.05055,95,-0.9102,100,-0.8377,139,-0.3583,337,1.14363,158,-0.1266,140,-0.3102,212,0.39614
ENSG00000067606,PRKCZ,253,0.46520,154,-0.3312,127,-0.6344,176,-0.1362,251,0.45094,184,-0.0501,162,-0.2503,209,0.17025
ENSG00000162585,FAAP20,47,0.81358,39,0.48438,22,-0.4073,18,-0.7567,33,0.20059,36,0.36368,36,0.34044,19,-0.6890
ENSG00000157933,SKI,40,0.37019,49,0.69339,31,-0.0517,43,0.55062,19,-0.8131,23,-0.4865,29,-0.1651,21,-0.6902
ENSG00000272420,AL513477.2,9,-0.3888,2,-2.2648,20,0.93808,12,0.11867,10,-0.1344,5,-1.2391,15,0.47751,13,0.33170
ENSG00000157916,RER1,41,-0.4804,68,0.32674,49,-0.2067,48,-0.2461,74,0.46263,47,-0.2671,66,0.27346,57,0.05617
ENSG00000157911,PEX10,16,0.07074,33,1.23396,7,-1.2000,8,-1.0738,23,0.57677,18,0.21345,16,0.02498,14,-0.2057
ENSG00000149527,PLCH2,18,0.15501,24,0.56528,17,0.02608,13,-0.4705,13,-0.3977,23,0.50105,22,0.47568,12,-0.5398
ENSG00000157881,PANK4,6,-1.4410,6,-1.4859,24,0.62259,13,-0.3320,24,0.62639,21,0.44551,21,0.44007,16,0.01725
ENSG00000197921,HES5,3,-2.0550,36,1.86926,34,1.74731,6,-1.1286,12,-0.0358,17,0.50827,6,-1.0531,1,-3.2360
ENSG00000157873,TNFRSF14,12,0.04042,14,0.25318,2,-2.3046,9,-0.5615,9,-0.3554,21,0.89920,6,-1.1057,19,0.86589
ENSG00000157870,PRXL2B,49,-0.0120,48,-0.0383,29,-0.8355,38,-0.4590,63,0.38724,62,0.36529,30,-0.7526,69,0.61349
ENSG00000177133,PRDM16-DT,16,-0.3767,77,2.39271,23,0.17829,8,-1.5083,31,0.67550,19,-0.0922,16,-0.3356,3,-2.8198
ENSG00000142611,PRDM16,4,-1.2759,33,1.93868,21,1.06899,11,0.04744,9,-0.2394,5,-1.0202,4,-1.3757,4,-1.4459
