Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to13,Feature log2 fold change topic 9to13
ENSG00000228794,LINC01128,26,-0.4073,13,-1.3635,21,-0.6907,37,0.17988,40,0.32230,40,0.46755
ENSG00000188976,NOC2L,30,-0.7365,6,-2.8569,69,0.66758,70,0.68976,51,0.22220,50,0.24601
ENSG00000188290,HES4,75,0.09274,17,-2.0986,205,1.76314,47,-0.6230,123,0.98440,37,-1.3025
ENSG00000187608,ISG15,29,-0.9150,18,-1.5101,217,2.58321,45,-0.1642,53,0.10420,35,-0.7675
ENSG00000188157,AGRN,22,-0.0254,14,-0.6482,92,2.44479,14,-0.6751,15,-0.6100,15,-0.8784
ENSG00000078808,SDF4,60,0.12981,28,-1.0602,129,1.34969,55,-0.0451,60,0.11341,44,-0.5430
ENSG00000176022,B3GALT6,28,0.46003,4,-2.5600,31,0.55188,28,0.39103,24,0.18563,18,-0.4412
ENSG00000160087,UBE2J2,44,0.23338,22,-0.8437,48,0.32749,31,-0.3646,46,0.28512,36,-0.1640
ENSG00000131584,ACAP3,84,0.49832,38,-0.8320,112,0.87049,146,1.31159,66,0.02318,33,-1.3392
ENSG00000127054,INTS11,29,-0.3180,13,-1.4059,67,1.04638,35,-0.0017,53,0.75501,29,-0.4288
ENSG00000107404,DVL1,119,1.62761,27,-1.1067,56,-0.0206,41,-0.4916,48,-0.2691,32,-1.1586
ENSG00000175756,AURKAIP1,175,0.13489,130,-0.3516,121,-0.4586,70,-1.2762,284,1.01280,140,-0.3301
ENSG00000221978,CCNL2,27,-1.3701,38,-0.6834,181,1.84902,112,1.00255,52,-0.2470,53,-0.2797
ENSG00000242485,MRPL20,167,0.05304,125,-0.3996,118,-0.4888,90,-0.8930,280,0.98495,143,-0.2814
ENSG00000235098,ANKRD65,38,0.60727,15,-0.8929,12,-1.2853,9,-1.6891,56,1.27863,20,-0.6913
ENSG00000205090,TMEM240,31,-0.1608,8,-2.0513,36,0.12036,45,0.45332,45,0.50599,33,-0.0402
ENSG00000160075,SSU72,196,0.62166,44,-1.7686,117,-0.3133,87,-0.7636,201,0.60359,124,-0.3162
ENSG00000228594,FNDC10,39,1.11588,1,-4.3113,7,-1.6296,41,0.95803,21,-0.0818,17,-0.6161
ENSG00000197530,MIB2,50,0.83180,17,-1.0337,31,-0.0977,38,0.19440,50,0.71052,19,-1.1129
ENSG00000248333,CDK11B,41,0.27727,73,1.15252,21,-0.7806,67,1.01531,31,-0.2237,23,-0.8921
ENSG00000008128,CDK11A,25,0.22961,46,1.15725,35,0.72132,69,1.87522,11,-1.0905,8,-1.8306
ENSG00000215790,SLC35E2A,43,0.70039,2,-3.5887,40,0.44765,25,-0.2487,35,0.26249,25,-0.4176
ENSG00000008130,NADK,29,0.03319,11,-1.3762,62,1.26565,21,-0.4487,38,0.50570,22,-0.5143
ENSG00000078369,GNB1,746,0.57555,319,-0.8530,362,-0.6641,573,0.04453,604,0.13928,508,-0.2086
ENSG00000187730,GABRD,72,-1.1457,5,-4.6870,65,-1.1559,85,-0.7638,263,1.15385,185,0.71568
ENSG00000067606,PRKCZ,213,0.51874,68,-1.3279,104,-0.6987,209,0.38607,185,0.21130,147,-0.2383
ENSG00000162585,FAAP20,77,1.35021,48,0.23615,55,0.46526,30,-0.4959,49,0.32474,14,-2.0291
ENSG00000157933,SKI,69,1.17337,21,-0.9026,97,1.47963,35,-0.1485,17,-1.3583,23,-1.0728
ENSG00000157916,RER1,52,-0.3197,28,-1.1730,117,1.02985,43,-0.5394,80,0.45792,59,-0.0829
ENSG00000157911,PEX10,28,0.34280,20,-0.2444,39,0.79959,33,0.53683,6,-2.0643,23,-0.0130
ENSG00000149527,PLCH2,42,1.15463,0,-8.1805,23,-0.0607,41,0.87957,26,0.18037,13,-1.1351
ENSG00000157870,PRXL2B,47,0.37392,10,-2.0119,28,-0.4943,5,-2.8910,71,1.08617,36,-0.1874
ENSG00000177133,PRDM16-DT,69,2.30334,3,-2.8758,46,0.89872,9,-1.5131,23,-0.2529,6,-2.5463
ENSG00000158109,TPRG1L,161,-0.0524,39,-2.1727,101,-0.7525,120,-0.4929,159,-0.0616,218,0.71312
ENSG00000130764,LRRC47,47,-0.6841,24,-1.5817,69,-0.0004,63,-0.1454,118,0.95566,73,0.14053
ENSG00000116198,CEP104,30,-0.3270,55,0.64800,53,0.58919,87,1.42115,17,-1.1761,30,-0.3883
ENSG00000196581,AJAP1,52,0.17213,29,-0.7512,11,-2.2105,61,0.37416,56,0.28246,50,0.11678
ENSG00000069424,KCNAB2,220,0.74832,46,-1.7846,84,-0.8974,69,-1.1935,178,0.27663,151,-0.0109
ENSG00000116254,CHD5,272,-0.0957,331,0.22895,278,-0.0450,1204,2.52032,100,-1.6650,178,-0.9895
ENSG00000116251,RPL22,813,0.54025,983,0.74328,765,0.33857,402,-0.6613,681,0.16942,415,-0.8408
ENSG00000116237,ICMT,32,-0.7115,11,-2.1703,84,0.91777,36,-0.4051,54,0.20926,57,0.43557
ENSG00000097021,ACOT7,88,-1.3829,37,-2.5097,48,-2.1272,105,-0.9554,314,0.83688,296,1.12802
ENSG00000215788,TNFRSF25,23,0.01080,0,-7.9921,41,0.91070,71,1.87416,9,-1.4139,20,-0.3159
ENSG00000171680,PLEKHG5,20,-0.3259,4,-2.7412,29,0.27155,29,0.27384,47,1.18473,20,-0.4146
ENSG00000162408,NOL9,30,0.08474,38,0.46376,31,0.16064,36,0.38109,15,-0.9760,29,0.01958
ENSG00000162413,KLHL21,21,-0.2775,30,0.30660,55,1.29410,20,-0.3308,29,0.26038,19,-0.5614
ENSG00000007923,DNAJC11,29,-0.2565,22,-0.6512,39,0.26609,43,0.38585,51,0.76047,28,-0.3821
ENSG00000171735,CAMTA1,338,-0.2644,250,-0.6871,323,-0.2929,670,0.86587,320,-0.3343,436,0.26777
ENSG00000049245,VAMP3,43,0.12615,115,1.74599,96,1.42686,22,-0.9088,49,0.32667,13,-2.1469
ENSG00000049246,PER3,59,0.64944,64,0.66008,52,0.31619,60,0.56474,28,-0.6623,28,-0.8545
ENSG00000116288,PARK7,356,0.03552,291,-0.2834,310,-0.1877,169,-1.1025,612,1.01922,296,-0.3702
ENSG00000116285,ERRFI1,21,-0.6833,23,-0.4630,36,0.24547,42,0.45809,19,-0.8238,41,0.67697
ENSG00000162426,SLC45A1,13,-1.0859,4,-2.4231,4,-2.5592,25,0.05613,32,0.48914,36,1.04875
ENSG00000142599,RERE,88,-0.5723,160,0.44773,143,0.26630,246,1.15567,134,0.17746,98,-0.4639
ENSG00000074800,ENO1,699,0.57341,294,-0.8797,657,0.36065,168,-1.7103,745,0.62890,417,-0.4959
ENSG00000171612,SLC25A33,97,1.75626,21,-1.0835,40,-0.1426,16,-1.4772,41,-0.1203,25,-1.1793
ENSG00000171603,CLSTN1,343,-1.0101,148,-2.1302,303,-1.0692,504,-0.2996,740,0.33014,897,1.04959
ENSG00000178585,CTNNBIP1,62,1.21465,39,0.18896,59,0.83221,47,0.45650,17,-1.1216,17,-1.3780
ENSG00000162441,LZIC,65,0.25536,118,1.19564,70,0.34192,54,-0.0643,47,-0.3028,41,-0.6970
ENSG00000130939,UBE4B,36,-0.1463,38,-0.0513,20,-1.0310,44,0.16429,48,0.32277,41,0.10782
ENSG00000054523,KIF1B,378,-0.0293,468,0.31138,285,-0.4603,545,0.55644,224,-0.8788,422,0.22928
ENSG00000142657,PGD,42,-0.2997,24,-1.1264,87,0.88702,31,-0.7428,51,0.02470,56,0.27273
ENSG00000241563,CORT,38,-1.3605,11,-2.9399,21,-2.1020,135,0.74112,299,2.69414,44,-1.2971
ENSG00000160049,DFFA,65,0.17899,70,0.25657,76,0.39526,124,1.19241,42,-0.5807,44,-0.6221
ENSG00000142655,PEX14,10,-1.2089,14,-0.5998,21,-0.0397,21,-0.0159,48,1.49820,19,-0.2625
ENSG00000120948,TARDBP,75,-0.2917,116,0.41835,101,0.20581,103,0.24161,75,-0.2768,91,0.06355
ENSG00000116649,SRM,86,0.27657,43,-0.8152,78,0.07971,21,-1.8904,148,1.28455,53,-0.6962
ENSG00000171824,EXOSC10,26,-0.4269,25,-0.4123,81,1.49638,47,0.56840,31,-0.0565,26,-0.4797
ENSG00000198793,MTOR,36,-0.4072,17,-1.4497,42,-0.1073,53,0.25406,55,0.34689,51,0.30614
ENSG00000116661,FBXO2,287,0.81488,45,-2.1664,101,-0.9752,77,-1.3735,288,0.71989,166,-0.3172
ENSG00000132879,FBXO44,67,-0.2786,15,-2.4094,42,-0.9483,71,-0.1627,127,0.86540,87,0.25243
