Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to12,Feature log2 fold change topic 8to12
ENSG00000228794,LINC01128,11,-1.5943,27,-0.2989,31,-0.0951,30,-0.1259,33,0.03200,40,0.55803
ENSG00000188976,NOC2L,10,-2.4314,34,-0.6548,49,-0.0453,36,-0.5475,46,-0.1482,72,1.03185
ENSG00000188290,HES4,34,-0.3320,60,0.62454,77,0.95318,38,-0.1858,23,-0.9570,36,-0.3884
ENSG00000187608,ISG15,51,0.40930,39,-0.0266,18,-1.1980,36,-0.1587,11,-1.8539,48,0.56377
ENSG00000188157,AGRN,27,0.11827,25,0.01156,53,1.22671,10,-1.4909,20,-0.3501,26,0.10212
ENSG00000078808,SDF4,50,-0.0587,51,-0.0296,62,0.27408,30,-0.8938,71,0.48488,56,0.17728
ENSG00000176022,B3GALT6,6,-1.7452,25,0.49579,12,-0.7079,12,-0.6829,9,-1.0083,25,0.75681
ENSG00000160087,UBE2J2,32,-0.0284,27,-0.2950,26,-0.3378,25,-0.3911,26,-0.3165,40,0.54625
ENSG00000131584,ACAP3,74,0.15243,53,-0.4043,185,1.69834,44,-0.7052,68,0.02725,57,-0.3755
ENSG00000127054,INTS11,25,-0.6541,32,-0.3213,79,1.17331,28,-0.5184,13,-1.6043,45,0.40299
ENSG00000224051,CPTP,14,-0.2658,15,-0.1410,18,0.09854,8,-1.1449,10,-0.8193,22,0.80725
ENSG00000107404,DVL1,64,0.51455,84,1.12506,35,-0.4257,35,-0.4403,24,-0.9858,38,-0.4356
ENSG00000175756,AURKAIP1,146,-0.4002,218,0.25029,144,-0.4294,133,-0.5880,181,-0.0711,220,0.38773
ENSG00000221978,CCNL2,45,-0.2328,28,-1.0024,159,1.87926,38,-0.5207,41,-0.3844,50,-0.1034
ENSG00000242485,MRPL20,83,-1.0204,223,0.58037,117,-0.5001,135,-0.2942,144,-0.1693,174,0.20456
ENSG00000235098,ANKRD65,24,0.10233,31,0.57382,9,-1.2767,9,-1.4948,39,0.90081,23,0.10321
ENSG00000179403,VWA1,57,2.33975,14,-0.1266,22,0.61045,0,-4.5078,35,1.40057,7,-1.4622
ENSG00000205090,TMEM240,3,-2.9193,22,0.05135,42,1.11689,16,-0.4234,28,0.42565,21,-0.0207
ENSG00000160075,SSU72,70,-1.1407,168,0.21809,149,0.01282,99,-0.6636,163,0.15119,172,0.39222
ENSG00000228594,FNDC10,33,0.56417,36,0.75384,16,-0.5505,12,-1.0649,14,-0.7433,24,0.09119
ENSG00000197530,MIB2,28,-0.0751,32,0.14035,32,0.09360,21,-0.5977,29,-0.0464,33,0.21849
ENSG00000248333,CDK11B,59,0.14334,36,-0.6491,86,0.76011,77,0.63609,78,0.59655,39,-0.7078
ENSG00000008128,CDK11A,47,0.54860,14,-1.3945,72,1.28168,51,0.76513,29,-0.1907,24,-0.7131
ENSG00000215790,SLC35E2A,21,-0.0550,31,0.64762,43,1.13543,14,-0.6727,7,-1.5381,19,-0.2659
ENSG00000008130,NADK,25,0.22963,21,-0.0524,35,0.77190,17,-0.4215,21,-0.0571,20,-0.1155
ENSG00000078369,GNB1,429,-0.1907,593,0.35498,359,-0.4669,441,-0.1640,634,0.42836,466,-0.0974
ENSG00000187730,GABRD,29,-2.4212,124,-0.3127,101,-0.6042,117,-0.4059,43,-1.8763,226,1.27114
ENSG00000067606,PRKCZ,138,-0.5259,226,0.27664,207,0.10843,157,-0.3485,218,0.19182,198,0.05823
