Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to10,Feature log2 fold change topic 5to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000237491,LINC01409,8,-0.2321,32,1.98630,8,-0.3329,4,-1.2112,7,-0.5768
ENSG00000228794,LINC01128,39,0.16435,46,0.40296,41,0.37425,11,-1.7638,23,-0.7282
ENSG00000188976,NOC2L,76,1.16069,45,0.04269,36,-0.4761,20,-1.1413,29,-0.6811
ENSG00000188290,HES4,25,0.10189,27,0.19243,15,-1.0545,35,0.60802,41,0.98535
ENSG00000187608,ISG15,70,1.40989,15,-1.2717,20,-1.2637,39,0.12808,41,0.23777
ENSG00000188157,AGRN,27,0.45347,34,0.76624,15,-0.7860,29,0.46508,21,-0.0489
ENSG00000078808,SDF4,56,0.50085,58,0.45380,33,-0.6542,53,0.29921,43,0.00110
ENSG00000176022,B3GALT6,22,0.39224,18,0.01910,16,-0.2431,18,-0.0083,17,-0.1227
ENSG00000160087,UBE2J2,31,0.33851,30,0.19141,23,-0.2992,19,-0.5281,30,0.20120
ENSG00000131584,ACAP3,58,0.18996,123,1.37549,34,-0.9884,52,-0.0374,66,0.37197
ENSG00000127054,INTS11,50,1.09317,39,0.43330,16,-1.2735,26,-0.1752,34,0.25345
ENSG00000224051,CPTP,24,0.92592,14,-0.1103,11,-0.6497,19,0.38615,11,-0.5021
ENSG00000107404,DVL1,35,-0.0998,31,-0.2765,28,-0.6864,67,0.95798,55,0.71677
ENSG00000175756,AURKAIP1,202,0.56482,124,-0.3019,119,-0.5832,134,-0.1893,194,0.43503
ENSG00000221978,CCNL2,55,0.29524,93,1.10906,37,-0.5467,64,0.48796,32,-0.6455
ENSG00000242485,MRPL20,178,0.62101,95,-0.4715,106,-0.5085,109,-0.2624,157,0.33590
ENSG00000235098,ANKRD65,26,0.13189,15,-0.7364,21,-0.4378,36,0.59676,33,0.50861
ENSG00000179403,VWA1,8,-1.1753,5,-1.7151,20,0.64945,32,1.11725,13,-0.2650
ENSG00000197785,ATAD3A,14,0.55385,14,0.40843,6,-1.2444,14,0.39456,16,0.71838
ENSG00000205090,TMEM240,24,0.46600,18,-0.0986,17,-0.1969,4,-2.0897,23,0.34647
ENSG00000160075,SSU72,167,0.55323,107,-0.2486,104,-0.4627,114,-0.1490,143,0.22679
ENSG00000228594,FNDC10,42,0.76968,23,-0.2970,20,-0.8026,24,-0.2611,38,0.49164
ENSG00000272106,AL691432.2,17,0.42908,8,-0.7973,12,-0.3737,17,0.30286,16,0.22425
ENSG00000197530,MIB2,32,0.37221,33,0.36478,16,-1.1507,55,1.16657,32,0.34192
ENSG00000248333,CDK11B,35,-0.7490,54,0.00255,69,0.75806,40,-0.4662,43,-0.3767
ENSG00000189339,SLC35E2B,11,0.38418,15,0.75212,6,-0.9881,19,1.10156,9,-0.1342
ENSG00000008128,CDK11A,16,-0.0452,16,-0.0690,18,0.16658,20,0.27396,13,-0.4247
ENSG00000215790,SLC35E2A,13,-0.3591,17,0.10905,16,-0.0564,20,0.38522,18,0.25205
ENSG00000008130,NADK,24,0.29209,22,0.11135,15,-0.6337,28,0.53730,24,0.32042
