Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000237491,LINC01409,24,0.95581,13,-0.0683,12,-0.2426,8,-0.7219,6,-1.2312,14,0.07333,16,0.28277
ENSG00000228794,LINC01128,34,0.50687,30,0.33499,37,0.62676,27,0.14925,10,-1.4180,19,-0.4298,19,-0.4688
ENSG00000188976,NOC2L,59,0.67307,43,0.16110,42,0.10920,45,0.23194,24,-0.7361,33,-0.2628,32,-0.3732
ENSG00000188290,HES4,56,-0.1932,89,0.66103,58,-0.1375,49,-0.4232,97,0.70888,57,-0.1778,38,-0.8874
ENSG00000187608,ISG15,27,-0.8303,47,0.00030,37,-0.3518,14,-1.8440,63,0.48671,40,-0.2329,73,0.87619
ENSG00000188157,AGRN,30,0.32215,29,0.25891,21,-0.2554,16,-0.6424,23,-0.1052,8,-1.6584,34,0.57769
ENSG00000131591,C1orf159,11,0.02752,13,0.27567,13,0.30970,3,-1.8022,10,-0.1008,11,-0.0201,12,0.20014
ENSG00000078808,SDF4,94,0.23125,63,-0.4709,61,-0.4776,52,-0.7199,69,-0.2651,115,0.56089,110,0.57340
ENSG00000176022,B3GALT6,15,-0.6034,22,0.01729,22,0.02693,27,0.37097,22,0.06289,17,-0.3652,24,0.17276
ENSG00000160087,UBE2J2,50,0.20065,46,0.07388,37,-0.2800,36,-0.3536,48,0.13348,53,0.29319,42,-0.1273
ENSG00000162572,SCNN1D,13,0.89535,6,-0.4823,9,0.24657,9,0.18678,4,-1.0847,4,-0.9913,9,0.39461
ENSG00000131584,ACAP3,86,0.46558,67,0.05207,74,0.19930,58,-0.1958,50,-0.4249,42,-0.6988,71,0.17349
ENSG00000169972,PUSL1,19,0.64800,14,0.10598,9,-0.6102,8,-0.6546,11,-0.2219,19,0.65357,11,-0.2783
ENSG00000127054,INTS11,68,0.52034,61,0.38600,56,0.18642,34,-0.6049,35,-0.5239,34,-0.5745,49,-0.0336
ENSG00000224051,CPTP,4,-1.7702,21,0.62503,21,0.56624,7,-1.0451,17,0.17178,7,-1.1796,18,0.37073
ENSG00000107404,DVL1,44,0.15606,46,0.29564,28,-0.5540,31,-0.3738,30,-0.4611,63,0.76550,34,-0.2550
ENSG00000162576,MXRA8,13,-0.0090,6,-1.3483,2,-2.6110,3,-1.9758,52,2.53470,8,-0.7777,15,0.22047
ENSG00000175756,AURKAIP1,120,-0.4460,200,0.44764,176,0.17080,159,0.00438,156,-0.0246,139,-0.2080,138,-0.2500
ENSG00000221978,CCNL2,101,0.43209,76,-0.0446,85,0.13630,67,-0.2379,56,-0.5226,86,0.15723,77,-0.0206
ENSG00000224870,MRPL20-AS1,21,0.81309,10,-0.4429,6,-1.0827,5,-1.3855,15,0.33615,26,1.26549,10,-0.4048
ENSG00000242485,MRPL20,110,-0.7837,166,-0.1528,179,-0.0128,158,-0.2112,219,0.31689,196,0.13238,215,0.33511
ENSG00000235098,ANKRD65,30,-0.2246,31,-0.1752,25,-0.4879,18,-0.9598,32,-0.1238,33,-0.0572,54,0.90824
ENSG00000179403,VWA1,57,-0.9263,21,-2.5997,17,-2.7600,32,-1.8132,86,-0.3103,164,0.76348,269,2.23861
ENSG00000160072,ATAD3B,28,1.58534,12,0.17171,8,-0.5949,16,0.53618,8,-0.6056,5,-1.2635,6,-0.9547
ENSG00000197785,ATAD3A,13,0.08178,14,0.20493,16,0.45156,5,-1.2032,19,0.74532,9,-0.4254,10,-0.3845
ENSG00000205090,TMEM240,19,0.21986,24,0.67135,23,0.52941,20,0.29415,6,-1.4291,25,0.62976,5,-1.9687
ENSG00000160075,SSU72,125,0.12604,150,0.50184,110,-0.0767,99,-0.2476,128,0.17041,114,-0.0191,82,-0.6112
ENSG00000228594,FNDC10,22,0.37075,28,0.94438,27,0.70712,18,0.03459,18,0.03167,4,-2.0270,6,-1.7150
ENSG00000272106,AL691432.2,22,-0.2705,29,0.20790,30,0.22207,27,0.08441,30,0.23842,21,-0.3594,23,-0.2252
ENSG00000197530,MIB2,60,1.08313,43,0.62241,31,-0.0445,32,0.04051,13,-1.3071,15,-1.1386,23,-0.5708
ENSG00000248333,CDK11B,37,1.30965,8,-1.1536,14,-0.2763,27,0.74208,11,-0.6970,7,-1.3262,20,0.32889
ENSG00000189339,SLC35E2B,21,0.88088,15,0.35627,16,0.45143,10,-0.2462,3,-2.0673,8,-0.6984,11,-0.1631
ENSG00000008128,CDK11A,31,1.51016,6,-1.1868,10,-0.4477,15,0.27989,10,-0.4468,7,-0.8421,15,0.30595
ENSG00000215790,SLC35E2A,8,-0.9706,25,0.92036,29,1.02260,20,0.38835,7,-1.1712,7,-1.1975,10,-0.7915
ENSG00000008130,NADK,13,-0.5783,21,0.25434,22,0.25553,14,-0.3719,19,0.04975,29,0.74343,13,-0.5526
ENSG00000078369,GNB1,464,0.13567,551,0.49354,443,0.05925,581,0.51016,386,-0.1620,342,-0.3539,262,-0.8545
ENSG00000187730,GABRD,87,-0.2659,241,1.92568,219,1.31368,58,-0.8801,37,-1.5713,29,-1.9082,5,-4.5448
ENSG00000067606,PRKCZ,151,0.29990,168,0.56794,159,0.38786,116,-0.1247,64,-1.0447,164,0.44100,70,-1.0200
ENSG00000162585,FAAP20,19,-0.9259,42,0.34473,21,-0.7846,26,-0.4546,48,0.49061,43,0.34259,37,0.10123
ENSG00000157933,SKI,27,-0.0718,27,-0.0651,26,-0.1304,18,-0.6911,56,1.17295,24,-0.2231,24,-0.3010
ENSG00000157916,RER1,60,-0.5157,74,-0.2002,75,-0.1584,69,-0.3012,92,0.17357,78,-0.1050,112,0.58457
ENSG00000157911,PEX10,33,0.13654,23,-0.5093,20,-0.6591,13,-1.2671,42,0.53342,32,0.08435,43,0.71374
ENSG00000149527,PLCH2,8,-1.0782,27,1.05299,10,-0.6720,3,-2.3201,12,-0.4641,14,-0.2639,22,0.56705
ENSG00000157881,PANK4,10,0.69361,10,0.84395,9,0.49867,5,-0.4518,5,-0.4192,4,-0.8610,3,-1.2219
ENSG00000157870,PRXL2B,16,-0.6538,35,0.69293,40,0.77686,21,-0.2808,29,0.27836,21,-0.2229,12,-1.1741
ENSG00000177133,PRDM16-DT,13,-0.4038,27,0.91478,10,-0.8780,15,-0.2052,24,0.55819,3,-2.3826,17,0.00849
ENSG00000142611,PRDM16,3,-1.5645,10,-0.0056,7,-0.5374,10,0.05007,19,1.08843,3,-1.7261,14,0.56863
ENSG00000158109,TPRG1L,132,-0.1333,213,0.77886,248,0.92412,176,0.32944,77,-0.9733,147,0.03411,44,-1.9704
ENSG00000116213,WRAP73,5,-0.8262,10,0.28351,13,0.62479,5,-0.8293,9,0.07339,11,0.34522,8,-0.2333
ENSG00000130764,LRRC47,65,-0.2312,86,0.25006,105,0.56039,84,0.19185,58,-0.4116,71,-0.0792,60,-0.4012
ENSG00000116198,CEP104,19,-0.5616,16,-0.9370,15,-0.9289,17,-0.7485,39,0.57755,43,0.72021,42,0.80670
ENSG00000198912,C1orf174,7,-0.6831,14,0.42442,20,0.96622,8,-0.4063,4,-1.4364,5,-1.1078,13,0.36638
ENSG00000196581,AJAP1,53,0.42857,56,0.61490,47,0.21490,24,-0.8469,23,-0.9105,58,0.57799,26,-0.8075
ENSG00000131697,NPHP4,4,-1.1251,15,0.84239,11,0.18727,7,-0.4371,6,-0.8164,10,-0.0199,10,-0.0026
ENSG00000069424,KCNAB2,158,0.25890,208,0.86086,245,1.01640,168,0.36295,70,-1.0247,88,-0.6804,35,-2.2219
ENSG00000116254,CHD5,224,1.41897,126,0.46124,109,0.15396,120,0.31153,60,-0.7928,98,-0.0246,15,-3.0183
ENSG00000116251,RPL22,457,-0.5736,656,0.00091,490,-0.4666,736,0.18732,906,0.53513,663,0.01659,670,0.03978
ENSG00000116237,ICMT,27,-0.6354,70,1.08514,62,0.69667,43,0.08853,34,-0.2747,23,-0.8577,19,-1.2969
ENSG00000158292,GPR153,19,1.19512,18,1.23633,8,-0.3132,3,-1.8075,6,-0.5654,14,0.62441,0,-4.8487
ENSG00000097021,ACOT7,139,-0.4231,240,0.54358,332,1.02678,224,0.34741,97,-0.9876,182,0.00475,89,-1.2122
ENSG00000215788,TNFRSF25,26,1.49770,20,1.28916,8,-0.5445,8,-0.4296,9,-0.2203,6,-0.9331,0,-5.6283
ENSG00000171680,PLEKHG5,23,0.17141,38,1.21496,30,0.59972,15,-0.5405,14,-0.6569,14,-0.6733,8,-1.4733
ENSG00000162408,NOL9,13,-0.9417,25,0.06154,29,0.29939,25,0.07625,28,0.28484,35,0.62296,18,-0.5228
ENSG00000162413,KLHL21,29,-0.1073,20,-0.8083,21,-0.6478,21,-0.6222,18,-0.8827,69,1.37373,42,0.57537
ENSG00000116273,PHF13,75,1.31184,35,0.00055,38,0.11822,22,-0.7299,20,-0.8352,71,1.20956,9,-2.1217
ENSG00000041988,THAP3,37,0.66865,32,0.48326,30,0.30258,11,-1.1839,14,-0.8299,26,0.06800,20,-0.3651
ENSG00000007923,DNAJC11,19,-0.2533,31,0.60298,28,0.34828,19,-0.2980,28,0.31337,13,-0.8346,18,-0.4503
ENSG00000171735,CAMTA1,340,0.67397,236,0.07247,331,0.62754,419,1.04229,177,-0.4001,121,-0.9902,92,-1.5237
ENSG00000049245,VAMP3,72,-0.2864,20,-2.3220,22,-2.0429,33,-1.4577,100,0.24576,114,0.46575,195,1.82885
ENSG00000049246,PER3,53,0.20006,36,-0.4442,26,-0.8965,36,-0.4185,60,0.39648,34,-0.5160,70,0.79066
ENSG00000116288,PARK7,257,-0.4371,451,0.56284,455,0.49385,369,0.14377,336,-0.0066,249,-0.4860,235,-0.6384
ENSG00000116285,ERRFI1,68,0.67569,48,0.11227,51,0.20592,33,-0.4980,37,-0.3168,52,0.24183,35,-0.4771
ENSG00000162426,SLC45A1,28,0.40764,32,0.79168,36,0.86442,19,-0.1852,7,-1.6145,19,-0.2270,10,-1.2582
ENSG00000142599,RERE,89,-0.0988,116,0.40405,69,-0.4948,84,-0.1769,84,-0.1748,79,-0.2773,105,0.19848
ENSG00000074800,ENO1,554,-0.0887,533,-0.1699,514,-0.2077,405,-0.5836,983,0.87595,635,0.13268,554,-0.0996
ENSG00000142583,SLC2A5,13,-0.4371,12,-0.6291,6,-1.6098,10,-0.8318,41,1.43525,12,-0.6079,26,0.76048
