Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to10,Feature log2 fold change topic 7to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,18,-0.5752,30,0.18583,39,0.75856,27,0.03318,12,-1.2312,6,-2.0953
ENSG00000188976,NOC2L,64,0.60348,32,-0.5262,45,0.05720,51,0.30690,27,-0.7519,35,-0.3676
ENSG00000188290,HES4,21,-0.8459,41,0.24676,28,-0.4525,37,0.05948,85,1.40758,11,-1.6946
ENSG00000187608,ISG15,17,-1.6193,75,0.68567,31,-0.8775,47,-0.1935,123,1.44739,44,-0.2413
ENSG00000188157,AGRN,13,-0.8305,25,0.13111,28,0.40478,24,0.12000,16,-0.5497,15,-0.6441
ENSG00000078808,SDF4,73,0.21926,54,-0.2756,60,-0.0924,59,-0.1673,99,0.71244,66,0.06098
ENSG00000176022,B3GALT6,30,0.33734,28,0.24650,28,0.25120,24,0.00795,15,-0.7028,10,-1.3817
ENSG00000160087,UBE2J2,42,0.24588,39,0.12004,42,0.30995,29,-0.4646,43,0.27125,29,-0.3421
ENSG00000131584,ACAP3,47,-0.3324,73,0.39063,70,0.35287,53,-0.2165,32,-0.9145,56,-0.0742
ENSG00000127054,INTS11,70,0.63391,50,0.09934,45,-0.0929,42,-0.2201,48,0.02146,43,-0.1240
ENSG00000224051,CPTP,16,-0.5961,26,0.14931,30,0.42408,23,-0.0912,17,-0.5364,21,-0.1797
ENSG00000107404,DVL1,42,-0.2336,77,0.82594,53,0.16298,33,-0.7684,45,-0.1121,53,0.12540
ENSG00000175756,AURKAIP1,138,-0.2048,156,-0.0097,160,0.04002,173,0.21229,133,-0.2603,129,-0.3039
ENSG00000221978,CCNL2,33,-1.0307,53,-0.3428,81,0.44956,67,0.08418,69,0.10531,56,-0.2100
ENSG00000242485,MRPL20,138,-0.3869,205,0.25967,164,-0.1349,203,0.31825,130,-0.4752,135,-0.4220
ENSG00000235098,ANKRD65,8,-1.5367,24,0.02755,32,0.58651,16,-0.7433,15,-0.6488,52,1.29055
ENSG00000179403,VWA1,15,-1.1969,9,-2.0040,6,-2.7255,8,-2.3481,60,0.98484,247,4.19323
ENSG00000197785,ATAD3A,23,0.68833,16,0.15463,15,0.01405,11,-0.6037,20,0.49505,14,-0.1207
ENSG00000205090,TMEM240,35,0.45630,24,-0.1182,45,1.13536,19,-0.6408,14,-0.8995,6,-2.0467
ENSG00000160075,SSU72,80,-0.5432,128,0.20235,131,0.27203,122,0.14606,71,-0.7294,80,-0.5348
ENSG00000228594,FNDC10,15,-0.5202,19,-0.1462,22,0.06892,25,0.39368,28,0.45990,5,-2.1066
ENSG00000272106,AL691432.2,34,0.87600,12,-0.7572,24,0.35609,15,-0.4885,22,0.15038,23,0.25328
ENSG00000197530,MIB2,10,-1.4530,19,-0.5211,35,0.57820,27,0.03182,25,-0.0490,30,0.19451
ENSG00000248333,CDK11B,42,1.35295,12,-0.7382,9,-1.1251,14,-0.5088,47,1.53983,23,0.33441
ENSG00000189339,SLC35E2B,18,-0.4371,29,0.36706,25,0.08190,22,-0.1969,31,0.40313,17,-0.5051
ENSG00000215790,SLC35E2A,39,0.22824,39,0.25798,28,-0.3190,39,0.34351,30,-0.1774,15,-1.2291
