Feature ID,Feature Name,Feature count topic 1to10,Feature log2 fold change topic 1to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,45,1.25360,16,-1.4236,21,-0.9611
ENSG00000188976,NOC2L,53,0.97707,22,-1.2151,32,-0.6559
ENSG00000188290,HES4,37,-0.2437,70,0.99175,17,-1.1882
ENSG00000187608,ISG15,38,-0.3379,76,1.04901,21,-1.0004
ENSG00000188157,AGRN,16,-0.7465,33,0.96944,22,0.29182
ENSG00000078808,SDF4,55,-0.2448,71,0.36160,59,0.06798
ENSG00000176022,B3GALT6,22,0.28452,19,-0.2038,17,-0.3198
ENSG00000160087,UBE2J2,35,0.40913,25,-0.4547,27,-0.3015
ENSG00000131584,ACAP3,69,0.24471,43,-0.6673,73,0.12640
ENSG00000127054,INTS11,36,-0.0561,43,0.24576,33,-0.1683
ENSG00000224051,CPTP,18,1.33577,3,-2.3759,11,-0.6102
ENSG00000107404,DVL1,49,-0.4065,96,1.00754,34,-0.6426
ENSG00000175756,AURKAIP1,149,0.58563,114,-0.3304,85,-0.7831
ENSG00000221978,CCNL2,53,-0.6654,82,0.55369,86,0.62681
ENSG00000242485,MRPL20,129,0.18363,131,0.05405,96,-0.4232
ENSG00000235098,ANKRD65,24,-0.0528,27,0.16370,23,-0.0759
ENSG00000179403,VWA1,11,-2.7389,47,1.23406,107,2.84790
ENSG00000205090,TMEM240,31,1.23937,8,-1.8707,18,-0.6758
ENSG00000160075,SSU72,133,0.85234,76,-0.7427,71,-0.8440
ENSG00000228594,FNDC10,28,0.52071,35,0.42035,4,-2.6906
ENSG00000272106,AL691432.2,19,0.12397,13,-0.5526,22,0.23595
ENSG00000197530,MIB2,30,0.50322,30,0.05425,13,-1.2261
ENSG00000248333,CDK11B,34,-0.9291,49,0.35859,80,1.18624
ENSG00000189339,SLC35E2B,19,0.16562,18,-0.0105,15,-0.3047
ENSG00000008128,CDK11A,20,-0.6547,24,0.10950,41,0.95862
ENSG00000215790,SLC35E2A,30,-0.3493,48,0.65260,30,-0.1033
ENSG00000008130,NADK,24,0.19479,23,-0.0014,18,-0.3754
ENSG00000078369,GNB1,551,0.67929,446,-0.2282,242,-1.1632
ENSG00000187730,GABRD,197,3.08394,21,-3.0706,24,-2.8633
ENSG00000067606,PRKCZ,189,0.81806,97,-0.9028,117,-0.6290
ENSG00000162585,FAAP20,26,-0.2137,38,0.54219,23,-0.2424
ENSG00000157933,SKI,28,-1.1837,78,1.33601,52,0.66178
ENSG00000157916,RER1,48,-0.1048,56,0.21704,47,-0.0362
ENSG00000157911,PEX10,17,-0.9415,31,0.75034,34,0.89813
ENSG00000149527,PLCH2,12,-0.8114,25,1.02710,16,0.34467
ENSG00000157881,PANK4,17,1.49956,7,-1.0738,4,-1.8461
ENSG00000157870,PRXL2B,51,1.24107,27,-0.7998,15,-1.6378
ENSG00000177133,PRDM16-DT,15,-1.3393,71,2.23342,8,-1.2609
ENSG00000158109,TPRG1L,206,1.42967,102,-0.9117,51,-1.9481
ENSG00000116213,WRAP73,12,0.29453,11,-0.1128,9,-0.4436
ENSG00000130764,LRRC47,80,0.84636,44,-0.7820,44,-0.7919
ENSG00000116198,CEP104,31,-1.2117,33,-0.2260,113,1.83158
ENSG00000198912,C1orf174,14,0.22774,7,-0.9731,17,0.31530
