Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,8,-2.2898,20,-0.9621,30,-0.3049,36,-0.0388,37,0.00941,77,1.25370,49,0.48385,38,0.03369,37,-0.0046
ENSG00000188976,NOC2L,31,-0.9675,25,-1.2845,76,0.48108,79,0.53111,54,-0.0861,94,0.84125,83,0.63414,25,-1.2943,46,-0.3332
ENSG00000188290,HES4,8,-2.5380,54,0.21992,120,1.65916,49,0.07478,41,-0.2250,40,-0.2417,39,-0.2838,31,-0.6329,39,-0.2938
ENSG00000187608,ISG15,22,-0.7630,64,1.01437,66,1.06960,41,0.26240,23,-0.6829,3,-3.6287,49,0.52459,36,0.03082,14,-1.4521
ENSG00000188157,AGRN,20,-0.1086,25,0.22776,12,-0.8573,22,0.03661,26,0.27566,14,-0.6828,40,1.03420,12,-0.9100,23,0.13062
ENSG00000078808,SDF4,47,-0.6359,71,0.02397,92,0.46074,93,0.47266,71,0.03534,71,0.01687,66,-0.0804,66,-0.0900,51,-0.4934
ENSG00000176022,B3GALT6,12,-1.1850,21,-0.2833,24,-0.0729,27,0.14198,34,0.47907,25,-0.0304,28,0.16828,36,0.57582,20,-0.3435
ENSG00000160087,UBE2J2,46,0.12309,63,0.65322,28,-0.6618,25,-0.8588,42,-0.0067,26,-0.7768,70,0.82337,51,0.28989,33,-0.4124
ENSG00000131584,ACAP3,131,0.68391,72,-0.3034,31,-1.5787,91,0.08333,107,0.33929,124,0.58418,64,-0.4777,28,-1.7119,133,0.71439
ENSG00000127054,INTS11,48,-0.0111,35,-0.4918,50,0.07074,68,0.58274,55,0.21581,56,0.24657,37,-0.4017,32,-0.6413,51,0.09438
ENSG00000107404,DVL1,43,-0.1381,79,0.89798,34,-0.4949,65,0.54873,35,-0.4719,59,0.39197,43,-0.1215,26,-0.8861,35,-0.4651
ENSG00000175756,AURKAIP1,62,-1.3864,165,0.12541,198,0.42926,214,0.56057,237,0.74008,114,-0.4620,129,-0.2724,146,-0.0684,107,-0.5545
ENSG00000221978,CCNL2,100,0.67677,47,-0.5322,28,-1.3080,70,0.08979,80,0.30278,62,-0.0949,80,0.29840,51,-0.4156,78,0.27210
ENSG00000242485,MRPL20,112,-0.4801,148,-0.0388,198,0.44123,215,0.58086,202,0.47572,113,-0.4636,110,-0.5119,122,-0.3431,143,-0.0888
ENSG00000235098,ANKRD65,18,-0.7561,28,-0.0507,40,0.54447,40,0.54333,44,0.67639,16,-0.8822,19,-0.6796,40,0.51276,16,-0.9353
ENSG00000179403,VWA1,176,3.56283,46,0.56945,14,-1.2379,6,-2.4391,28,-0.2170,10,-1.7126,4,-3.0653,3,-3.4040,4,-3.1236
ENSG00000205090,TMEM240,32,0.23214,17,-0.7331,39,0.54110,45,0.80060,19,-0.6116,30,0.11646,33,0.26823,12,-1.3335,24,-0.2305
ENSG00000160075,SSU72,100,-0.6008,133,-0.1411,181,0.35726,178,0.32852,200,0.52318,144,-0.0234,134,-0.1330,129,-0.1957,112,-0.4128
ENSG00000228594,FNDC10,17,-1.1089,21,-0.8063,48,0.48606,46,0.40448,34,-0.1067,51,0.57410,44,0.32662,36,0.01573,25,-0.5444
ENSG00000197530,MIB2,39,0.24303,44,0.46810,31,-0.1196,33,0.00416,35,0.06587,52,0.74548,21,-0.6869,10,-1.7453,33,0.01551
ENSG00000248333,CDK11B,76,1.45223,28,-0.2549,21,-0.7193,26,-0.3675,18,-0.9134,24,-0.4782,46,0.53127,20,-0.8115,38,0.22337
ENSG00000215790,SLC35E2A,10,-1.5334,44,0.83736,17,-0.6691,23,-0.2561,34,0.37783,37,0.55121,26,-0.0252,34,0.40063,15,-0.8985
ENSG00000008130,NADK,17,-0.5420,31,0.40786,12,-1.0029,33,0.53471,36,0.65968,29,0.30098,26,0.14227,8,-1.5705,23,-0.0657
