Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,16,0.90112,0,-5.4068,9,-0.4809,13,0.21210,11,-0.1012
ENSG00000228794,LINC01128,46,0.95985,8,-2.1074,32,-0.0543,21,-0.6857,17,-0.9748
ENSG00000188976,NOC2L,68,0.75844,28,-0.8985,45,-0.2351,30,-0.8099,44,-0.2181
ENSG00000188290,HES4,24,0.06819,6,-2.0752,37,0.98719,14,-0.7665,10,-1.3318
ENSG00000187608,ISG15,33,0.08204,2,-4.0385,42,0.64679,34,0.12540,22,-0.5640
ENSG00000188157,AGRN,26,-0.1710,19,-0.5756,31,0.21380,34,0.30149,30,0.09746
ENSG00000078808,SDF4,57,-0.1075,35,-0.8348,64,0.13749,78,0.42928,65,0.13256
ENSG00000176022,B3GALT6,26,0.32581,9,-1.3568,24,0.14700,25,0.19203,15,-0.5897
ENSG00000160087,UBE2J2,38,0.14872,39,0.10818,39,0.16899,24,-0.6423,27,-0.4246
ENSG00000131584,ACAP3,80,0.13474,65,-0.2245,64,-0.3421,94,0.35148,86,0.20770
ENSG00000127054,INTS11,37,0.19598,19,-0.9041,34,-0.0040,31,-0.1489,41,0.30177
ENSG00000224051,CPTP,17,0.29065,11,-0.4240,14,-0.0982,17,0.19011,11,-0.4349
ENSG00000107404,DVL1,39,-0.3231,21,-1.1770,49,0.19507,84,1.04628,40,-0.1724
ENSG00000175756,AURKAIP1,183,0.41960,89,-0.8663,170,0.18949,137,-0.1986,84,-0.9435
ENSG00000221978,CCNL2,67,0.34154,25,-1.2769,43,-0.5735,73,0.37202,87,0.65525
ENSG00000242485,MRPL20,127,-0.0950,117,-0.1947,165,0.47410,92,-0.5699,112,-0.2690
ENSG00000235098,ANKRD65,24,-0.4479,29,-0.0435,40,0.65502,17,-0.8812,34,0.22004
ENSG00000179403,VWA1,10,-2.2231,43,0.35276,24,-0.6939,47,0.48984,142,2.62320
ENSG00000197785,ATAD3A,18,0.66647,7,-1.0477,10,-0.5185,16,0.19336,13,-0.1353
ENSG00000205090,TMEM240,35,0.86510,40,0.74635,19,-0.5692,8,-1.6585,9,-1.5569
ENSG00000160075,SSU72,137,0.15430,98,-0.4291,159,0.45505,87,-0.6202,78,-0.7905
ENSG00000228594,FNDC10,34,0.47370,7,-2.1268,36,0.48748,30,0.06562,4,-2.8712
ENSG00000272106,AL691432.2,18,0.02010,17,-0.0932,19,0.11641,11,-0.7836,23,0.35563
ENSG00000197530,MIB2,27,-0.5098,58,0.85915,45,0.56734,17,-1.0900,26,-0.4471
ENSG00000248333,CDK11B,53,-0.0852,75,0.50609,31,-1.0413,64,0.24363,105,1.07053
ENSG00000189339,SLC35E2B,26,0.51675,12,-0.8743,26,0.37915,1,-3.7727,19,-0.1908
ENSG00000008128,CDK11A,17,-0.3015,9,-1.1726,12,-0.8844,27,0.57504,53,1.74645
ENSG00000008130,NADK,18,-0.5520,24,-0.0040,36,0.91487,10,-1.3498,24,-0.0162
ENSG00000078369,GNB1,425,-0.1073,405,-0.1498,577,0.56828,418,-0.1002,196,-1.2643
ENSG00000187730,GABRD,260,1.41957,49,-1.8311,147,-0.1882,72,-1.2480,17,-3.3240
ENSG00000067606,PRKCZ,275,0.37373,237,-0.0031,250,0.10514,152,-0.7021,136,-0.8707
ENSG00000162585,FAAP20,25,-0.9259,52,0.50722,51,0.62510,37,-0.0547,42,0.14293
ENSG00000157933,SKI,23,-0.5005,29,0.05952,28,0.01216,36,0.39723,42,0.62754
ENSG00000157916,RER1,54,0.19838,42,-0.2625,51,0.05814,30,-0.8031,57,0.20332
ENSG00000157911,PEX10,15,-0.2185,11,-0.6172,18,0.14205,20,0.25147,22,0.43140
ENSG00000157870,PRXL2B,50,0.45837,25,-0.8205,45,0.15300,38,-0.1680,21,-1.0778
ENSG00000177133,PRDM16-DT,10,-1.2961,0,-4.8552,31,1.00379,52,1.63256,13,-0.6948
ENSG00000142611,PRDM16,8,-1.3411,17,0.09244,15,-0.1061,50,2.01796,14,-0.1566
ENSG00000158109,TPRG1L,233,0.79997,108,-0.7323,182,0.09771,93,-0.9741,55,-1.7408
ENSG00000116213,WRAP73,14,0.35460,0,-5.2552,16,0.56051,2,-2.4215,16,0.41896
ENSG00000130764,LRRC47,82,0.34316,44,-0.7453,85,0.36552,28,-1.4226,60,-0.2748
ENSG00000116198,CEP104,28,-0.9107,67,0.73916,28,-0.7788,52,0.32123,112,1.66101
ENSG00000198912,C1orf174,14,0.57555,0,-6.3245,13,0.37268,3,-2.0083,13,0.24700
ENSG00000196581,AJAP1,46,0.52407,53,0.56649,35,-0.1204,15,-1.3890,17,-1.2111
ENSG00000069424,KCNAB2,177,0.31869,171,0.15621,186,0.38143,93,-0.8059,27,-2.6151
ENSG00000116254,CHD5,303,0.58088,383,0.75063,205,-0.3381,148,-0.7714,70,-1.9004
ENSG00000116251,RPL22,338,-0.7742,686,0.57975,550,0.27985,587,0.31933,545,0.19895
ENSG00000116237,ICMT,46,0.50236,12,-1.7518,45,0.37404,17,-1.1868,29,-0.3783
ENSG00000097021,ACOT7,282,1.33575,124,-0.5819,149,-0.3727,61,-1.6482,37,-2.3913
ENSG00000215788,TNFRSF25,26,1.50206,7,-1.2212,10,-0.7881,8,-1.0918,8,-1.0080
ENSG00000171680,PLEKHG5,17,0.26328,7,-1.1264,23,0.83627,7,-1.1074,3,-2.1417
ENSG00000162408,NOL9,32,0.10465,23,-0.4169,29,-0.0949,43,0.53394,25,-0.3401
ENSG00000162413,KLHL21,27,-0.0841,23,-0.3288,29,0.06604,28,-0.0212,35,0.35283
ENSG00000116273,PHF13,14,-0.0265,28,1.09606,14,-0.1039,0,-5.1454,18,0.35269
ENSG00000041988,THAP3,16,0.17558,11,-0.4647,15,-0.0072,12,-0.3712,18,0.26662
ENSG00000007923,DNAJC11,43,0.96907,13,-1.2384,23,-0.5151,17,-0.8515,30,0.00232
ENSG00000171735,CAMTA1,489,0.44846,349,-0.2586,420,0.04640,320,-0.3927,221,-0.9658
ENSG00000049245,VAMP3,10,-1.9979,27,-0.0991,28,-0.0346,36,0.40103,98,2.21334
ENSG00000049246,PER3,40,-1.0297,56,-0.2173,51,-0.4670,184,1.82854,96,0.63280
ENSG00000116288,PARK7,268,0.14100,155,-0.7665,334,0.61687,154,-0.7737,145,-0.8672
ENSG00000116285,ERRFI1,35,0.82445,17,-0.6083,21,-0.3609,24,-0.0937,12,-1.1995
ENSG00000162426,SLC45A1,36,1.13734,16,-0.6256,18,-0.5401,11,-1.1003,14,-0.7656
ENSG00000142599,RERE,115,-0.0931,78,-0.6586,118,-0.0261,118,-0.0155,184,0.71656
ENSG00000074800,ENO1,455,0.06275,252,-0.8821,468,0.11099,732,0.83179,227,-1.0435
ENSG00000171612,SLC25A33,22,-0.7431,2,-4.0282,50,1.14382,48,0.71094,21,-0.6039
ENSG00000188807,TMEM201,11,-0.1948,8,-0.5803,11,-0.0748,15,0.39062,17,0.62636
ENSG00000171603,CLSTN1,945,1.03212,587,-0.1759,550,-0.3473,326,-1.0864,208,-1.7548
ENSG00000178585,CTNNBIP1,19,-0.8808,50,0.90490,38,0.61693,10,-1.5786,37,0.42119
ENSG00000162441,LZIC,46,-0.6354,60,-0.0380,47,-0.5110,95,0.71462,134,1.31550
ENSG00000130939,UBE4B,47,0.34962,37,-0.1503,35,-0.2867,19,-1.1300,58,0.56750
ENSG00000054523,KIF1B,471,-0.3052,721,0.47595,505,-0.1282,506,-0.0987,754,0.55117
ENSG00000142657,PGD,74,0.77286,49,-0.2085,41,-0.5964,43,-0.4096,45,-0.3200
ENSG00000241563,CORT,22,-2.1166,461,4.31043,32,-1.3515,19,-1.8931,4,-4.2085
ENSG00000160049,DFFA,38,-0.5563,30,-0.7425,42,-0.2634,87,0.97336,89,1.01722
ENSG00000142655,PEX14,18,0.25225,10,-0.7831,17,0.07509,19,0.26596,11,-0.6102
ENSG00000120948,TARDBP,89,0.28470,59,-0.4687,63,-0.4417,85,0.12622,102,0.42128
ENSG00000271895,AL109811.2,20,0.34311,2,-3.0371,17,-0.1176,29,0.81858,14,-0.3255
ENSG00000116649,SRM,60,0.23944,18,-1.6582,57,0.09113,71,0.44406,44,-0.3371
ENSG00000171824,EXOSC10,37,0.22790,15,-1.2535,29,-0.3356,38,0.16549,52,0.69788
ENSG00000198793,MTOR,46,0.60177,7,-2.3305,43,0.33363,14,-1.4745,31,-0.2335
ENSG00000116661,FBXO2,147,-0.1773,78,-1.1089,196,0.45160,238,0.66095,97,-0.7700
