Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,16,-0.7626,18,-0.5724,19,-0.5357,23,-0.2617,26,-0.0569,38,0.63603,41,0.70412,17,-0.6650,32,0.26722
ENSG00000188976,NOC2L,31,-0.2309,24,-0.6328,42,0.26718,28,-0.3583,44,0.33621,43,0.32739,41,0.20300,32,-0.1781,30,-0.2709
ENSG00000188290,HES4,47,0.82711,36,0.36604,32,0.17919,36,0.36718,13,-1.1750,13,-1.2349,20,-0.5372,42,0.62464,32,0.19269
ENSG00000187608,ISG15,41,0.99527,33,0.63443,22,-0.0400,23,0.01843,5,-2.1169,6,-2.0083,29,0.38578,31,0.53086,28,0.35333
ENSG00000188157,AGRN,22,0.72074,10,-0.5000,20,0.54192,15,0.06495,8,-0.9139,9,-0.7099,16,0.24871,17,0.28573,15,0.07602
ENSG00000078808,SDF4,46,-0.2694,58,0.11254,79,0.60580,51,-0.0930,54,-0.0159,34,-0.7999,43,-0.3743,94,0.90440,51,-0.1041
ENSG00000176022,B3GALT6,12,-0.9397,21,-0.0438,21,-0.0524,21,-0.0340,35,0.81101,20,-0.1534,20,-0.0897,22,0.04087,24,0.14619
ENSG00000160087,UBE2J2,26,-0.2999,22,-0.5990,42,0.44796,37,0.23859,19,-0.7999,38,0.31693,28,-0.2074,46,0.57528,24,-0.4738
ENSG00000162572,SCNN1D,15,0.09570,13,-0.1271,16,0.23265,16,0.21983,22,0.72690,14,0.03217,11,-0.3886,12,-0.1801,6,-1.2373
ENSG00000131584,ACAP3,76,0.29064,55,-0.2299,46,-0.4954,67,0.09120,63,-0.0143,64,0.02037,48,-0.4292,92,0.61418,58,-0.1337
ENSG00000127054,INTS11,51,0.57402,18,-1.0449,45,0.38118,26,-0.4985,35,-0.0558,18,-1.1423,47,0.42697,67,1.03203,34,-0.0950
ENSG00000224051,CPTP,19,0.25013,8,-1.1551,15,-0.1822,17,0.00572,15,-0.1620,14,-0.2886,32,1.09084,22,0.41669,11,-0.6660
ENSG00000107404,DVL1,54,0.35883,36,-0.2950,37,-0.2287,75,0.91339,19,-1.2817,37,-0.2648,25,-0.8552,68,0.75763,43,0.00993
ENSG00000175756,AURKAIP1,97,-0.3773,146,0.28133,139,0.19571,134,0.13381,126,0.04051,125,0.03152,103,-0.2753,98,-0.3578,136,0.16439
ENSG00000221978,CCNL2,74,0.33066,46,-0.4381,79,0.43566,49,-0.3288,52,-0.2529,60,-0.0193,72,0.28479,55,-0.1522,58,-0.0583
ENSG00000242485,MRPL20,109,-0.3812,166,0.29025,154,0.16706,131,-0.0838,111,-0.3506,133,-0.0750,109,-0.3690,169,0.32189,170,0.33400
ENSG00000179403,VWA1,44,1.86239,31,1.20968,13,-0.1974,18,0.26174,5,-1.4642,7,-1.1234,5,-1.6343,10,-0.6313,9,-0.8314
ENSG00000160072,ATAD3B,10,-0.2662,2,-2.4310,32,1.65020,5,-1.1912,21,0.89906,9,-0.4591,6,-0.9663,19,0.73112,6,-0.9263
ENSG00000197785,ATAD3A,7,-0.2229,10,0.15641,15,0.84351,4,-0.9428,5,-0.7804,4,-1.0941,9,0.00589,16,0.94622,12,0.54760
ENSG00000205090,TMEM240,11,-1.5153,18,-0.7402,22,-0.4724,36,0.33006,31,0.04700,48,0.93710,27,-0.1197,28,-0.0633,26,-0.2045
ENSG00000160075,SSU72,88,-0.6041,118,-0.1495,139,0.11268,138,0.09666,123,-0.0810,146,0.21476,101,-0.3991,138,0.09579,160,0.34404
ENSG00000228594,FNDC10,21,-0.3287,33,0.43164,40,0.71791,20,-0.4076,22,-0.2448,29,0.23456,30,0.28659,19,-0.4610,12,-1.0921
ENSG00000272106,AL691432.2,10,-0.8615,27,0.65199,11,-0.7713,7,-1.4699,14,-0.3926,18,-0.0023,15,-0.2814,34,1.08273,25,0.57502
ENSG00000197530,MIB2,29,0.07085,15,-0.9188,23,-0.2800,33,0.29772,34,0.31029,31,0.22142,24,-0.2453,34,0.33536,22,-0.3429
ENSG00000248333,CDK11B,61,1.78266,14,-0.6607,3,-2.8410,17,-0.3956,35,0.77434,16,-0.5200,26,0.27146,16,-0.4934,14,-0.6752
ENSG00000189339,SLC35E2B,27,0.11805,17,-0.5683,31,0.35807,17,-0.6220,16,-0.6413,40,0.92565,27,0.12324,13,-1.0440,21,-0.2934
ENSG00000008128,CDK11A,33,1.65076,2,-2.3002,5,-1.3356,5,-1.1985,10,-0.3943,17,0.55949,7,-0.9505,25,1.11851,4,-1.6138
ENSG00000215790,SLC35E2A,29,-0.1384,16,-0.9905,43,0.49877,40,0.38154,24,-0.4285,32,0.04350,31,-0.0209,37,0.26267,30,-0.0693
ENSG00000008130,NADK,20,-0.2255,15,-0.6789,26,0.19172,17,-0.4871,21,-0.1343,15,-0.6946,15,-0.6196,52,1.35771,34,0.63843
ENSG00000078369,GNB1,313,-0.7546,510,0.00946,540,0.10139,586,0.23554,513,0.01861,521,0.05135,462,-0.1480,568,0.18326,534,0.08377
ENSG00000187730,GABRD,54,-1.3805,75,-0.8938,248,1.03251,78,-0.8263,94,-0.5453,98,-0.5419,205,0.70562,188,0.56271,196,0.63093
ENSG00000067606,PRKCZ,122,-0.4436,114,-0.5525,155,-0.0704,197,0.31452,219,0.48897,183,0.21716,163,0.01067,176,0.13389,109,-0.6173
ENSG00000162585,FAAP20,50,0.80103,41,0.48108,42,0.49469,37,0.29166,21,-0.5996,22,-0.5281,18,-0.8346,26,-0.2702,27,-0.1787
ENSG00000157933,SKI,40,0.61467,19,-0.5644,33,0.28868,25,-0.1406,15,-0.9777,41,0.75545,18,-0.6959,24,-0.2330,20,-0.4987
ENSG00000157916,RER1,43,-0.1638,53,0.18098,46,-0.0279,36,-0.4206,55,0.23381,39,-0.3462,57,0.31600,55,0.23184,50,0.09598
ENSG00000157911,PEX10,25,0.43063,22,0.24033,22,0.25591,30,0.74708,16,-0.2389,14,-0.5011,15,-0.3590,9,-1.0515,21,0.19202
ENSG00000149527,PLCH2,9,-0.6370,6,-1.0788,32,1.48995,9,-0.5579,2,-2.7945,7,-1.1148,15,0.14807,27,1.19886,19,0.58906
ENSG00000157881,PANK4,2,-2.6283,12,0.05804,13,0.20060,5,-1.1226,21,1.05836,9,-0.3186,11,0.02933,16,0.56909,13,0.27662
ENSG00000197921,HES5,25,1.27003,24,1.15250,7,-0.8489,9,-0.3439,2,-2.5395,8,-0.7210,8,-0.4910,21,0.97239,5,-1.0994
ENSG00000157873,TNFRSF14,13,0.48189,11,0.30357,25,1.62832,3,-1.5512,6,-0.6481,1,-3.0045,9,-0.0466,8,-0.2623,17,0.92825
ENSG00000157870,PRXL2B,20,-1.1117,30,-0.4502,42,0.04967,42,0.03486,39,-0.0602,48,0.30756,41,0.02459,59,0.59978,37,-0.1280
ENSG00000177133,PRDM16-DT,26,0.21841,36,0.72284,26,0.18075,22,-0.0897,18,-0.3406,25,0.17225,7,-1.8548,38,0.79705,7,-1.7447
ENSG00000158109,TPRG1L,79,-1.2630,174,-0.0468,240,0.47135,152,-0.2624,169,-0.0962,221,0.38878,207,0.22892,137,-0.4228,193,0.12182
ENSG00000116213,WRAP73,14,0.50682,8,-0.3835,9,-0.0671,6,-0.8002,6,-0.8017,7,-0.4809,11,0.18884,19,1.02673,12,0.30169
ENSG00000130764,LRRC47,36,-1.1856,74,-0.0939,94,0.30684,44,-0.8893,95,0.31245,77,-0.0152,97,0.34943,101,0.41148,85,0.14448
ENSG00000116198,CEP104,55,1.28534,26,0.03891,11,-1.3072,20,-0.3836,23,-0.1473,32,0.41648,21,-0.3164,27,0.08317,8,-1.6411
ENSG00000198912,C1orf174,8,-0.5948,8,-0.6753,14,0.12677,14,0.14173,22,0.94031,6,-1.1347,21,0.82157,15,0.24461,11,-0.1571
ENSG00000196581,AJAP1,21,-0.5203,12,-1.3302,21,-0.5106,17,-0.8354,19,-0.7132,30,0.00832,40,0.48348,55,1.01758,52,0.90599
ENSG00000069424,KCNAB2,97,-0.7410,157,0.00557,155,-0.0153,192,0.32993,122,-0.3899,155,-0.0175,192,0.33426,149,-0.0767,190,0.31345
ENSG00000116254,CHD5,200,0.03087,113,-0.8594,149,-0.4297,214,0.14138,206,0.08372,284,0.70818,185,-0.0917,225,0.22670,98,-1.0731
ENSG00000116251,RPL22,721,0.23975,962,0.72073,525,-0.2691,713,0.22072,716,0.22795,622,0.00101,320,-1.0337,427,-0.5900,589,-0.0868
ENSG00000116237,ICMT,21,-0.6130,28,-0.1619,37,0.24356,22,-0.5436,19,-0.7886,28,-0.2298,52,0.82230,51,0.77156,30,-0.0811
ENSG00000097021,ACOT7,51,-2.0609,96,-1.1303,281,0.56394,97,-1.1041,220,0.16697,190,-0.0815,383,1.10290,214,0.11716,265,0.46900
ENSG00000215788,TNFRSF25,14,-0.6644,19,-0.2508,21,-0.1125,10,-1.1875,5,-2.1492,14,-0.8052,24,0.10562,63,1.79412,39,0.93135
ENSG00000171680,PLEKHG5,12,-0.7190,10,-1.0773,15,-0.4561,20,0.05088,22,0.16593,11,-0.9016,25,0.35268,38,1.08621,33,0.82652
ENSG00000162408,NOL9,25,-0.2303,24,-0.2974,33,0.23612,27,-0.0672,18,-0.7002,26,-0.2025,30,0.09346,52,0.99526,26,-0.1828
ENSG00000162413,KLHL21,19,-0.5015,21,-0.3585,36,0.50579,22,-0.2751,20,-0.4408,19,-0.5560,23,-0.2077,38,0.58314,47,0.93937
ENSG00000116273,PHF13,11,-0.1712,21,0.87466,5,-1.3953,7,-0.8244,18,0.64622,11,-0.1374,18,0.63502,10,-0.3237,9,-0.3663
ENSG00000041988,THAP3,8,-0.5623,5,-1.1906,19,0.69158,8,-0.6747,7,-0.8887,12,-0.0580,12,0.02472,18,0.57517,21,0.90829
ENSG00000007923,DNAJC11,23,-0.2051,22,-0.2596,41,0.72258,20,-0.4293,18,-0.5711,31,0.29470,26,-0.0219,28,0.07549,23,-0.1985
ENSG00000171735,CAMTA1,205,-0.7021,212,-0.6485,279,-0.2209,293,-0.1475,390,0.31619,391,0.36585,445,0.53156,377,0.26077,227,-0.5479
ENSG00000049245,VAMP3,67,1.64254,28,0.14489,22,-0.2672,22,-0.2439,19,-0.4546,22,-0.2830,12,-1.1451,28,0.15259,15,-0.8116
ENSG00000049246,PER3,59,0.40455,56,0.29873,37,-0.3438,36,-0.3769,35,-0.4227,37,-0.4010,26,-0.8826,102,1.34559,37,-0.3643
ENSG00000116288,PARK7,212,-0.7491,385,0.19100,330,-0.0565,364,0.10127,329,-0.0618,289,-0.2980,381,0.17368,397,0.24158,444,0.42412
ENSG00000116285,ERRFI1,14,-0.4119,22,0.21113,15,-0.3691,16,-0.2166,7,-1.5033,18,-0.0694,38,1.17199,20,0.12245,20,0.06631
ENSG00000162426,SLC45A1,8,-1.2625,11,-0.8223,42,1.28738,8,-1.3724,22,0.15156,20,0.00166,38,1.08848,6,-1.7829,22,0.14887
ENSG00000142599,RERE,147,0.45564,87,-0.3970,113,0.02409,74,-0.6344,66,-0.8118,142,0.44770,94,-0.2731,132,0.27253,117,0.08325
ENSG00000074800,ENO1,405,-0.1048,693,0.78000,406,-0.1000,323,-0.4618,477,0.15905,338,-0.4327,442,0.03427,398,-0.1304,504,0.24848
ENSG00000171612,SLC25A33,26,-0.3995,77,1.39926,27,-0.3606,22,-0.6408,29,-0.2418,26,-0.4659,20,-0.8230,39,0.21221,46,0.51737
ENSG00000171608,PIK3CD,2,-2.2097,3,-1.8661,34,1.93547,14,0.34548,6,-0.9642,18,0.97621,7,-0.7671,5,-1.0672,3,-1.8545
ENSG00000171603,CLSTN1,248,-1.4531,388,-0.7750,674,0.09128,422,-0.6440,734,0.23020,593,-0.1274,984,0.71760,868,0.50634,862,0.49584
ENSG00000178585,CTNNBIP1,29,0.05649,37,0.48761,35,0.37251,47,0.86833,24,-0.2418,19,-0.6442,33,0.30198,22,-0.3780,12,-1.2643
ENSG00000162441,LZIC,87,0.65697,68,0.27075,42,-0.5080,41,-0.5416,59,0.03592,70,0.34466,39,-0.6050,59,0.03945,44,-0.4434
ENSG00000130939,UBE4B,38,0.00932,15,-1.3664,47,0.34974,30,-0.3754,48,0.37443,41,0.15076,47,0.34707,54,0.57427,17,-1.1961
ENSG00000054523,KIF1B,427,0.14643,306,-0.3816,344,-0.2010,366,-0.0992,393,0.01361,491,0.42964,420,0.12089,440,0.19579,219,-0.8961
ENSG00000284642,AL139424.2,4,-1.4672,6,-0.7125,17,0.74811,14,0.42306,9,-0.1620,10,-0.0574,20,1.05519,9,-0.1620,5,-1.1093
ENSG00000142657,PGD,32,-0.6663,41,-0.3074,65,0.42576,44,-0.1825,68,0.50836,36,-0.5537,74,0.65601,55,0.14967,46,-0.1260
ENSG00000175279,CENPS,2,-2.2514,12,-0.0871,24,1.06055,9,-0.4357,9,-0.4263,15,0.31247,13,0.07701,13,0.05716,12,-0.0546
ENSG00000241563,CORT,7,-2.3990,14,-1.4111,9,-1.9693,13,-1.4712,262,4.70178,1,-4.7436,10,-1.8550,8,-2.1023,23,-0.6565
ENSG00000160049,DFFA,62,0.76154,28,-0.5215,33,-0.2783,51,0.43181,42,0.11021,28,-0.5789,46,0.26842,43,0.15020,30,-0.4110
ENSG00000142655,PEX14,9,-0.8242,11,-0.5648,16,0.00332,14,-0.2249,24,0.63527,14,-0.3183,20,0.35670,20,0.32270,20,0.34004
ENSG00000120948,TARDBP,88,0.31425,67,-0.1204,56,-0.4008,51,-0.5477,65,-0.1668,75,0.05192,74,0.02375,100,0.51220,75,0.05454
ENSG00000271895,AL109811.2,8,-0.8292,13,-0.1764,19,0.43326,9,-0.7822,9,-0.6762,16,0.18571,12,-0.2561,30,1.19388,12,-0.2344
ENSG00000116649,SRM,36,-0.3873,61,0.48338,44,-0.0422,31,-0.5948,29,-0.6776,45,-0.0152,34,-0.4407,69,0.67362,60,0.45081
ENSG00000171824,EXOSC10,53,0.94208,29,-0.0491,27,-0.1957,19,-0.7223,20,-0.6680,24,-0.4224,36,0.30281,32,0.09880,38,0.37737
ENSG00000198793,MTOR,13,-1.6639,39,-0.0616,38,-0.1074,34,-0.2643,42,0.06447,41,0.03800,45,0.17529,52,0.42794,57,0.57331
ENSG00000116661,FBXO2,169,-0.0351,257,0.65193,174,0.01688,190,0.15743,175,0.01995,125,-0.5566,134,-0.3989,187,0.12770,189,0.14935
ENSG00000132879,FBXO44,46,-0.7166,50,-0.5975,90,0.33744,85,0.24146,49,-0.6120,62,-0.2994,100,0.50327,75,0.04621,113,0.70614
ENSG00000177000,MTHFR,19,0.39725,17,0.18969,10,-0.5948,17,0.21799,15,0.01027,9,-0.7745,17,0.21496,22,0.65196,13,-0.2420
ENSG00000011021,CLCN6,47,-0.4094,68,0.17103,80,0.43952,34,-0.8913,69,0.19883,60,-0.0532,82,0.46413,64,0.06232,49,-0.3532
ENSG00000116685,KIAA2013,48,1.28567,17,-0.4259,16,-0.4810,18,-0.3153,9,-1.3874,18,-0.3443,25,0.15618,31,0.50964,23,0.04328
ENSG00000083444,PLOD1,17,-0.0453,7,-1.4093,30,0.85058,8,-1.2313,27,0.67872,21,0.36718,16,-0.1409,18,0.05281,10,-0.7788
ENSG00000116688,MFN2,67,-0.8154,83,-0.4955,158,0.54508,71,-0.7327,146,0.40518,125,0.18119,133,0.25666,108,-0.0844,118,0.06635
ENSG00000116691,MIIP,15,0.79357,20,1.31819,8,-0.2498,11,0.36045,4,-1.3177,2,-2.0511,10,0.15034,10,0.19183,8,-0.1803
ENSG00000048707,VPS13D,58,-0.3132,50,-0.5238,84,0.27652,69,-0.0415,50,-0.5303,114,0.92384,83,0.26799,57,-0.3445,27,-1.4721
ENSG00000162496,DHRS3,38,1.26316,47,1.65245,9,-1.0910,13,-0.4584,7,-1.4704,8,-1.3327,13,-0.4323,13,-0.4387,23,0.36940
ENSG00000116731,PRDM2,173,0.07138,86,-1.0142,90,-0.9473,124,-0.4583,227,0.51430,261,0.87786,175,0.08568,143,-0.2382,117,-0.5465
ENSG00000189337,KAZN,57,0.11743,34,-0.6828,72,0.48550,49,-0.1353,40,-0.4254,60,0.22506,63,0.27608,51,-0.0695,45,-0.2707
ENSG00000142634,EFHD2,63,-0.6964,39,-1.4155,78,-0.3729,153,0.71189,239,1.51214,143,0.69341,79,-0.3454,43,-1.2626,9,-3.5139
ENSG00000116138,DNAJC16,25,-0.2632,23,-0.3993,30,0.00749,15,-1.0367,25,-0.2427,31,0.07318,48,0.78836,36,0.30371,32,0.15407
ENSG00000197312,DDI2,24,-0.2072,20,-0.4864,20,-0.4749,19,-0.5577,41,0.67356,32,0.32703,40,0.61843,24,-0.1959,19,-0.5378
ENSG00000116786,PLEKHM2,74,0.11251,72,0.07367,103,0.65359,94,0.50603,42,-0.7758,61,-0.2054,57,-0.2834,41,-0.7877,83,0.29208
ENSG00000065526,SPEN,222,1.36499,51,-1.0324,43,-1.2827,69,-0.5812,147,0.64020,111,0.20983,87,-0.2119,97,-0.0311,55,-0.9149
ENSG00000116809,ZBTB17,24,0.83779,24,0.82990,25,0.92466,11,-0.4026,8,-0.8711,4,-1.8909,21,0.59051,15,0.04376,7,-1.0431
ENSG00000037637,FBXO42,10,-1.1007,9,-1.2677,20,0.00619,7,-1.5989,41,1.20205,21,0.06617,23,0.19558,28,0.55885,21,0.09828
ENSG00000055070,SZRD1,51,1.53784,34,0.81255,12,-0.7788,26,0.38079,15,-0.4491,7,-1.7665,9,-1.2441,29,0.53106,16,-0.3788
ENSG00000157191,NECAP2,19,1.37545,17,1.17819,5,-0.6792,17,1.16381,1,-2.8545,3,-1.4200,2,-1.8142,7,-0.1552,7,-0.1823
ENSG00000058453,CROCC,10,0.05060,1,-2.5005,9,-0.0926,10,0.14331,4,-1.2131,10,0.01161,12,0.34508,22,1.38927,7,-0.3987
ENSG00000159363,ATP13A2,41,-1.0443,40,-1.0903,150,1.03328,62,-0.4295,83,0.03425,87,0.13608,112,0.53104,91,0.18446,56,-0.5693
ENSG00000117118,SDHB,32,-1.2808,102,0.53018,58,-0.3756,56,-0.4388,83,0.18781,63,-0.2582,96,0.42632,54,-0.4773,128,0.92593
ENSG00000117115,PADI2,159,2.40910,60,0.55493,34,-0.3658,56,0.43572,15,-1.5836,22,-1.1119,20,-1.1668,27,-0.7228,12,-1.9028
ENSG00000179051,RCC2,15,0.09975,12,-0.2935,32,1.35356,12,-0.2184,3,-2.3846,7,-1.0853,19,0.47738,9,-0.7026,25,0.96320
ENSG00000074964,ARHGEF10L,25,0.80278,10,-0.6058,20,0.45470,12,-0.3771,18,0.24576,12,-0.4799,14,-0.1431,17,0.14528,14,-0.1792
ENSG00000117154,IGSF21,50,-0.0765,53,0.00837,42,-0.3628,42,-0.3531,31,-0.7994,54,0.04954,56,0.10695,80,0.67898,64,0.31090
ENSG00000159423,ALDH4A1,31,1.08900,17,0.12660,24,0.66835,15,-0.0391,7,-1.1648,16,-0.0065,6,-1.3171,20,0.35513,6,-1.4390
ENSG00000169991,IFFO2,8,-0.4576,9,-0.2803,9,-0.2491,8,-0.3578,5,-1.1884,16,0.78170,10,-0.0866,20,1.08921,4,-1.3047
ENSG00000127481,UBR4,45,1.21378,19,-0.2016,8,-1.4319,10,-1.2296,19,-0.2314,32,0.70990,20,-0.1659,27,0.33133,7,-1.7150
ENSG00000127463,EMC1,25,-0.1049,17,-0.6751,28,0.03832,20,-0.4638,39,0.59122,13,-1.1719,37,0.49095,33,0.30203,45,0.83607
ENSG00000053372,MRTO4,20,-1.0035,33,-0.2540,42,0.13050,31,-0.3483,43,0.19502,52,0.55361,36,-0.1000,52,0.47916,25,-0.6948
ENSG00000053371,AKR7A2,52,0.89258,48,0.78409,21,-0.5239,14,-1.1090,18,-0.8111,20,-0.6731,20,-0.6568,55,1.01226,31,0.05778
ENSG00000077549,CAPZB,110,-0.3187,132,-0.0278,133,-0.0211,110,-0.3182,109,-0.3306,138,0.04712,159,0.26784,152,0.19459,165,0.32459
ENSG00000173436,MICOS10,235,-0.6500,396,0.17411,427,0.29472,391,0.15451,497,0.54868,395,0.19352,251,-0.5484,265,-0.4645,303,-0.2544
ENSG00000158747,NBL1,123,-0.0083,109,-0.1936,185,0.65956,124,0.01216,113,-0.1351,123,-0.0029,113,-0.1385,110,-0.1862,111,-0.1732
ENSG00000169914,OTUD3,9,-1.0522,12,-0.7087,12,-0.7004,21,0.20283,25,0.46463,22,0.27910,33,0.93014,12,-0.7249,20,0.07370
ENSG00000162545,CAMK2N1,1201,-0.3991,2557,0.83461,1305,-0.2685,1555,0.00989,773,-1.0764,1296,-0.3107,1017,-0.6576,2063,0.47071,2393,0.72114
ENSG00000090432,MUL1,16,-0.4236,12,-0.8712,14,-0.6114,24,0.19552,27,0.38585,28,0.48106,22,0.06122,25,0.21983,17,-0.3214
ENSG00000183114,FAM43B,11,0.08281,2,-2.5798,8,-0.3895,14,0.35093,30,1.72440,11,0.05158,11,-0.0078,9,-0.2820,1,-2.7206
ENSG00000158828,PINK1,222,-0.9648,298,-0.5154,498,0.30361,488,0.27086,410,-0.0113,482,0.28462,542,0.44272,263,-0.7094,445,0.11855
ENSG00000244038,DDOST,7,-1.2272,15,-0.1885,24,0.52626,7,-1.4194,12,-0.5406,11,-0.6979,14,-0.2644,48,1.75960,22,0.36890
ENSG00000117245,KIF17,6,-2.0713,10,-1.3894,37,0.53556,17,-0.6815,51,1.08882,41,0.87077,19,-0.4846,29,0.15026,11,-1.3480
ENSG00000189410,SH2D5,6,-2.6441,24,-0.6106,51,0.59232,32,-0.1432,33,-0.0933,28,-0.3958,39,0.18261,38,0.11317,73,1.22823
ENSG00000127483,HP1BP3,357,0.53737,229,-0.1812,165,-0.6900,157,-0.7697,309,0.29550,282,0.16671,247,-0.0635,283,0.15197,260,0.01828
ENSG00000075151,EIF4G3,175,-0.3678,79,-1.5737,136,-0.7571,105,-1.1547,335,0.68008,234,0.10282,422,1.08284,259,0.25225,233,0.08394
