Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to11,Feature log2 fold change topic 2to11
ENSG00000228794,LINC01128,10,-1.5661,31,1.56616
ENSG00000188976,NOC2L,24,-0.7356,40,0.73562
ENSG00000188290,HES4,4,-2.2221,21,2.22214
ENSG00000187608,ISG15,10,-1.3461,26,1.34612
ENSG00000188157,AGRN,17,0.44547,12,-0.4454
ENSG00000078808,SDF4,70,0.09376,65,-0.0937
ENSG00000176022,B3GALT6,12,-0.9653,23,0.96533
ENSG00000160087,UBE2J2,29,-0.3144,36,0.31445
ENSG00000162572,SCNN1D,8,-0.5573,12,0.55737
ENSG00000131584,ACAP3,51,-0.1935,59,0.19357
ENSG00000127054,INTS11,42,0.02992,41,-0.0299
ENSG00000224051,CPTP,21,0.28994,17,-0.2899
ENSG00000107404,DVL1,39,-0.3523,50,0.35234
ENSG00000175756,AURKAIP1,89,-0.6203,137,0.62034
ENSG00000221978,CCNL2,70,0.20079,61,-0.2007
ENSG00000242485,MRPL20,115,-0.3746,149,0.37466
ENSG00000235098,ANKRD65,32,1.12893,14,-1.1289
ENSG00000179403,VWA1,158,2.71079,24,-2.7107
ENSG00000205090,TMEM240,5,-2.2901,28,2.29019
ENSG00000160075,SSU72,88,-0.8386,158,0.83864
ENSG00000228594,FNDC10,4,-2.3686,22,2.36868
ENSG00000272106,AL691432.2,33,0.36193,26,-0.3619
ENSG00000197530,MIB2,20,-0.4133,27,0.41338
ENSG00000248333,CDK11B,38,1.35379,15,-1.3537
ENSG00000189339,SLC35E2B,38,-0.2379,45,0.23790
ENSG00000008128,CDK11A,26,0.59754,17,-0.5975
ENSG00000215790,SLC35E2A,10,-1.0804,22,1.08048
ENSG00000008130,NADK,21,-0.2693,26,0.26930
ENSG00000078369,GNB1,269,-0.9793,532,0.97932
ENSG00000187730,GABRD,6,-4.5754,158,4.57549
ENSG00000067606,PRKCZ,81,-0.8610,147,0.86105
ENSG00000162585,FAAP20,35,-0.2655,42,0.26558
ENSG00000157933,SKI,51,0.47808,36,-0.4780
ENSG00000157916,RER1,71,0.30464,57,-0.3046
ENSG00000157911,PEX10,28,0.33698,22,-0.3369
ENSG00000149527,PLCH2,30,1.71553,9,-1.7155
ENSG00000157881,PANK4,10,-0.7355,18,0.73552
ENSG00000197921,HES5,0,-4.7568,15,4.75683
ENSG00000157870,PRXL2B,16,-1.5263,48,1.52632
ENSG00000177133,PRDM16-DT,9,-1.3703,25,1.37039
ENSG00000142611,PRDM16,15,0.35152,11,-0.3515
ENSG00000158109,TPRG1L,56,-1.8964,209,1.89648
ENSG00000116213,WRAP73,15,-0.1167,16,0.11676
ENSG00000130764,LRRC47,58,-0.3985,77,0.39858
ENSG00000116198,CEP104,83,1.93517,21,-1.9351
ENSG00000198912,C1orf174,23,0.36142,18,-0.3614
ENSG00000196581,AJAP1,25,-0.6470,40,0.64702
ENSG00000069424,KCNAB2,26,-2.9833,212,2.98337
ENSG00000116254,CHD5,26,-2.4789,149,2.47899
ENSG00000116251,RPL22,654,0.27871,539,-0.2787
ENSG00000116237,ICMT,40,-0.1680,45,0.16803
ENSG00000097021,ACOT7,68,-1.6234,209,1.62340
ENSG00000215788,TNFRSF25,0,-9.4342,28,9.43429
ENSG00000171680,PLEKHG5,2,-3.3570,30,3.35706
ENSG00000162408,NOL9,34,0.18398,30,-0.1839
ENSG00000162413,KLHL21,50,0.37143,39,-0.3714
ENSG00000116273,PHF13,16,0.11374,14,-0.1137
ENSG00000041988,THAP3,16,-0.3222,20,0.32220
ENSG00000007923,DNAJC11,22,-0.4004,30,0.40042
