Feature ID,Feature Name,Feature count topic 1to5,Feature log2 fold change topic 1to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,43,0.19740,38,-0.0467,28,-0.5508,42,0.13096
ENSG00000188976,NOC2L,53,0.28101,47,-0.0244,40,-0.2980,44,-0.1490
ENSG00000188290,HES4,17,-1.1916,25,-0.3630,31,0.04950,56,1.32873
ENSG00000187608,ISG15,33,0.66166,13,-1.1053,22,-0.2271,24,-0.0897
ENSG00000188157,AGRN,17,-0.2824,21,0.22554,14,-0.4632,24,0.45609
ENSG00000078808,SDF4,56,0.06019,49,-0.1876,39,-0.5598,67,0.39210
ENSG00000176022,B3GALT6,18,-0.2638,22,0.15021,17,-0.2802,24,0.38964
ENSG00000160087,UBE2J2,31,-0.1934,28,-0.2887,30,-0.1995,44,0.54032
ENSG00000131584,ACAP3,36,-1.1251,85,0.57628,59,-0.0775,90,0.78161
ENSG00000127054,INTS11,39,0.22691,32,-0.1610,17,-1.1759,45,0.44157
ENSG00000224051,CPTP,26,0.56586,14,-0.6961,13,-0.7730,23,0.16037
ENSG00000107404,DVL1,28,-1.0249,31,-0.6279,44,-0.0542,84,1.37736
ENSG00000175756,AURKAIP1,198,-0.0256,174,-0.2328,157,-0.4029,248,0.43615
ENSG00000221978,CCNL2,55,-0.1372,78,0.52859,43,-0.4838,59,0.05513
ENSG00000242485,MRPL20,179,0.18289,126,-0.4659,140,-0.2982,191,0.26404
ENSG00000235098,ANKRD65,20,-0.9166,36,0.31147,30,-0.0175,44,0.76521
ENSG00000197785,ATAD3A,13,-0.3747,25,0.86341,5,-1.6866,20,0.49425
ENSG00000205090,TMEM240,25,-0.0460,26,0.05451,19,-0.5013,30,0.33001
ENSG00000160075,SSU72,167,-0.0094,144,-0.2580,133,-0.3818,206,0.42099
ENSG00000228594,FNDC10,30,-0.0857,30,-0.1028,28,-0.1951,37,0.30714
ENSG00000272106,AL691432.2,11,-0.7983,10,-0.8216,14,-0.3063,31,1.39993
ENSG00000197530,MIB2,27,-0.5268,33,-0.0559,35,0.03114,46,0.61200
ENSG00000248333,CDK11B,44,-0.1437,82,1.05701,52,0.20813,23,-1.2117
ENSG00000189339,SLC35E2B,8,-0.8290,16,0.38598,17,0.54422,14,0.22407
ENSG00000008128,CDK11A,19,-0.1660,26,0.38467,21,-0.0021,20,-0.0977
ENSG00000215790,SLC35E2A,17,-0.3000,18,-0.0768,21,0.14744,22,0.30782
ENSG00000008130,NADK,18,-0.4957,24,0.10621,21,-0.1585,30,0.59352
ENSG00000078369,GNB1,446,-0.3601,421,-0.3575,559,0.12667,682,0.55169
ENSG00000187730,GABRD,217,0.37580,176,-0.1151,81,-1.3616,219,0.29954
ENSG00000067606,PRKCZ,192,-0.2170,195,-0.1338,212,0.01349,250,0.34350
ENSG00000162585,FAAP20,28,-0.4782,18,-1.0399,40,0.26703,52,0.86903
ENSG00000157933,SKI,13,-0.7624,22,0.30538,28,0.75667,19,0.02263
ENSG00000157916,RER1,65,0.17579,46,-0.4650,33,-0.9734,81,0.59223
ENSG00000157911,PEX10,20,-0.1883,15,-0.5890,21,-0.0464,29,0.59632
ENSG00000157881,PANK4,16,0.47901,4,-1.6545,7,-0.9718,18,0.68455
ENSG00000157870,PRXL2B,43,0.28676,34,-0.2157,22,-0.8874,45,0.29244
ENSG00000158109,TPRG1L,221,0.16736,173,-0.3066,173,-0.3019,229,0.19443
ENSG00000116213,WRAP73,13,0.10689,13,0.09661,10,-0.3461,12,0.02373
ENSG00000130764,LRRC47,75,-0.0237,71,-0.0933,54,-0.5575,93,0.42947
ENSG00000116198,CEP104,25,-0.0984,31,0.27376,38,0.64046,18,-0.7289
ENSG00000198912,C1orf174,14,-0.0055,12,-0.2871,10,-0.5582,19,0.52303
ENSG00000196581,AJAP1,26,-0.6083,50,0.68846,30,-0.2235,39,0.29994
ENSG00000069424,KCNAB2,222,-0.0441,227,0.00900,164,-0.5382,274,0.37738
ENSG00000116254,CHD5,184,-0.4240,349,0.83382,274,0.37939,162,-0.5702
ENSG00000116251,RPL22,384,-0.7699,509,-0.1094,873,0.87330,608,0.22416
ENSG00000116237,ICMT,44,0.17475,49,0.28914,22,-1.0208,44,0.13181
ENSG00000097021,ACOT7,364,0.90261,195,-0.5153,124,-1.2449,242,-0.1775
ENSG00000215788,TNFRSF25,12,-0.7040,30,1.06583,6,-1.6176,23,0.62088
ENSG00000171680,PLEKHG5,23,0.14230,28,0.45255,14,-0.6953,20,-0.1229
ENSG00000162408,NOL9,17,-0.5337,20,-0.0704,22,0.02907,29,0.62897
ENSG00000162413,KLHL21,28,0.25124,19,-0.4460,27,0.07849,24,-0.0929
ENSG00000041988,THAP3,17,-0.0714,8,-1.1787,17,-0.0668,25,0.71597
ENSG00000007923,DNAJC11,25,-0.3688,33,0.17854,25,-0.2783,38,0.48242
ENSG00000171735,CAMTA1,361,-0.0208,444,0.35378,393,0.13401,296,-0.3852
ENSG00000049245,VAMP3,8,-1.1577,15,0.04706,17,0.30611,23,0.92745
ENSG00000049246,PER3,20,-0.9934,37,0.22904,45,0.59806,41,0.45538
ENSG00000116288,PARK7,436,0.30204,284,-0.5264,278,-0.5560,450,0.29367
ENSG00000116285,ERRFI1,29,0.28370,22,-0.2260,26,0.01358,23,-0.2335
ENSG00000162426,SLC45A1,43,0.73421,34,0.08221,14,-1.3850,27,-0.3166
ENSG00000142599,RERE,84,-0.5312,136,0.43811,130,0.35349,107,0.01919
ENSG00000074800,ENO1,583,0.58286,314,-0.6719,248,-1.0482,533,0.24669
ENSG00000171612,SLC25A33,20,-0.3231,22,-0.1284,18,-0.4188,33,0.70297
ENSG00000171603,CLSTN1,967,0.71179,722,-0.0588,358,-1.2009,656,-0.2431
ENSG00000178585,CTNNBIP1,32,-0.1773,23,-0.6826,41,0.30881,42,0.38669
ENSG00000162441,LZIC,44,-0.1833,36,-0.4998,70,0.66650,48,-0.0077
ENSG00000130939,UBE4B,44,0.42221,41,0.17112,37,-0.0289,24,-0.7726
ENSG00000054523,KIF1B,327,-0.2165,448,0.39575,440,0.36226,296,-0.3573
ENSG00000284642,AL139424.2,18,0.94553,8,-0.8036,11,-0.3178,9,-0.6038
ENSG00000142657,PGD,89,0.98091,51,-0.3802,37,-0.8756,46,-0.5688
ENSG00000175279,CENPS,17,0.20292,12,-0.5102,14,-0.2415,18,0.22937
ENSG00000241563,CORT,46,-0.6463,41,-0.6771,29,-1.2165,123,1.56319
ENSG00000160049,DFFA,30,-0.4650,46,0.40229,47,0.43582,34,-0.1018
ENSG00000142655,PEX14,23,0.22062,16,-0.4221,13,-0.8135,27,0.45561
ENSG00000120948,TARDBP,89,0.24577,94,0.27244,68,-0.2892,67,-0.3596
ENSG00000271895,AL109811.2,15,-0.0133,26,0.91286,10,-0.6551,12,-0.4210
ENSG00000116649,SRM,60,-0.1912,52,-0.3823,52,-0.3796,91,0.68476
ENSG00000171824,EXOSC10,33,0.19473,50,0.87961,13,-1.3222,25,-0.3513
ENSG00000198793,MTOR,53,0.50705,44,-0.0242,26,-0.8505,41,-0.1414
ENSG00000116661,FBXO2,187,0.00591,161,-0.2512,134,-0.5529,238,0.48760
ENSG00000132879,FBXO44,90,0.07374,94,0.13969,41,-1.2320,109,0.44305
ENSG00000177000,MTHFR,11,-0.3448,17,0.40761,13,0.01310,14,0.09408
ENSG00000011021,CLCN6,78,0.15317,74,0.02742,59,-0.3530,74,0.02003
ENSG00000116685,KIAA2013,25,0.05647,28,0.21056,22,-0.1862,23,-0.1069
ENSG00000083444,PLOD1,13,-0.0653,7,-0.9180,9,-0.5952,20,0.88890
ENSG00000116688,MFN2,133,0.23747,101,-0.3046,88,-0.5348,137,0.23810
ENSG00000048707,VPS13D,72,-0.0473,99,0.52587,61,-0.3291,68,-0.1552
ENSG00000162496,DHRS3,11,-0.7364,15,-0.0010,15,0.07313,22,0.75194
ENSG00000116731,PRDM2,189,-0.2085,352,0.98540,236,0.23259,119,-0.9858
ENSG00000189337,KAZN,88,0.19951,67,-0.3178,79,-0.0382,80,-0.0146
ENSG00000142634,EFHD2,78,-0.0044,60,-0.4513,102,0.46483,75,-0.0766
ENSG00000116138,DNAJC16,46,0.42177,46,0.26739,23,-0.8992,34,-0.2396
