Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to7,Feature log2 fold change topic 2to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,24,-0.6909,42,0.47573,32,-0.2892
ENSG00000188976,NOC2L,29,-0.6277,53,0.95243,27,-0.8775
ENSG00000188290,HES4,29,-0.7400,45,-0.1470,57,0.40676
ENSG00000187608,ISG15,29,-0.0690,29,-0.0495,31,0.08489
ENSG00000188157,AGRN,6,-1.1662,16,0.59803,12,-0.2971
ENSG00000078808,SDF4,60,-0.1727,71,0.20164,62,-0.1599
ENSG00000176022,B3GALT6,13,-0.7780,25,0.48700,19,-0.2754
ENSG00000160087,UBE2J2,21,-0.9322,42,0.21928,40,0.06207
ENSG00000131584,ACAP3,56,-0.3591,72,0.07904,72,0.04919
ENSG00000127054,INTS11,30,-0.5834,49,0.49489,37,-0.3463
ENSG00000224051,CPTP,26,0.28609,22,0.08007,19,-0.2313
ENSG00000107404,DVL1,62,0.23420,51,-0.1694,56,0.08761
ENSG00000175756,AURKAIP1,98,-0.5538,144,0.11661,144,0.07078
ENSG00000221978,CCNL2,54,-0.4127,75,0.24604,66,-0.1200
ENSG00000242485,MRPL20,169,0.07332,156,-0.1099,168,0.09331
ENSG00000235098,ANKRD65,15,0.01039,14,-0.2017,17,0.22241
ENSG00000179403,VWA1,91,2.31380,8,-2.6176,38,0.91977
ENSG00000205090,TMEM240,20,-0.5851,34,0.58894,23,-0.4552
ENSG00000160075,SSU72,130,-0.2700,162,0.17593,148,-0.0922
ENSG00000228594,FNDC10,8,-1.5650,27,0.41889,24,-0.0238
ENSG00000272106,AL691432.2,18,-0.4607,24,0.04718,25,0.11813
ENSG00000197530,MIB2,14,-1.1399,36,0.94532,20,-0.6962
ENSG00000248333,CDK11B,51,1.17525,20,-0.7595,28,0.19822
ENSG00000189339,SLC35E2B,17,-0.5413,25,0.14599,25,0.03447
ENSG00000215790,SLC35E2A,15,-1.2623,31,-0.3969,50,0.77566
ENSG00000008130,NADK,31,0.57769,21,-0.0345,19,-0.2603
ENSG00000078369,GNB1,360,-0.7681,587,-0.0047,665,0.26248
ENSG00000187730,GABRD,17,-3.5293,241,1.36351,119,-0.8117
ENSG00000067606,PRKCZ,97,-0.9514,215,0.76453,136,-0.5412
ENSG00000162585,FAAP20,36,0.06221,27,-0.7141,48,0.74742
ENSG00000157933,SKI,41,0.09574,36,-0.2853,44,0.27915
ENSG00000157916,RER1,73,0.31446,62,0.13575,51,-0.3149
ENSG00000157911,PEX10,30,0.46440,17,-0.8405,31,0.70477
ENSG00000157881,PANK4,9,-0.7990,16,0.43188,13,-0.2072
ENSG00000157870,PRXL2B,40,-0.5950,62,0.18808,59,0.00437
ENSG00000177133,PRDM16-DT,17,-0.4698,16,-1.1085,41,1.31178
ENSG00000158109,TPRG1L,58,-1.6992,210,0.72673,150,-0.3313
ENSG00000130764,LRRC47,31,-1.3786,90,0.64828,66,-0.3058
ENSG00000116198,CEP104,53,0.99395,24,-0.6314,32,0.18015
ENSG00000198912,C1orf174,19,0.36362,15,-0.1067,15,-0.0498
ENSG00000196581,AJAP1,21,-1.3100,57,0.59973,43,-0.2670
ENSG00000069424,KCNAB2,75,-1.5043,211,0.23032,215,0.16580
ENSG00000116254,CHD5,99,-1.0313,205,0.21066,202,0.09468
ENSG00000116251,RPL22,956,0.82657,452,-0.7755,713,0.44440
ENSG00000116237,ICMT,26,-0.5583,40,0.33930,34,-0.1766
ENSG00000097021,ACOT7,60,-1.9623,285,1.29327,134,-0.9061
ENSG00000215788,TNFRSF25,10,-1.5787,39,1.39584,16,-1.1036
ENSG00000171680,PLEKHG5,6,-2.3611,34,0.39873,32,0.09950
ENSG00000162408,NOL9,36,0.06587,31,-0.2898,39,0.29660
ENSG00000162413,KLHL21,28,-0.2812,29,-0.4659,45,0.61099
ENSG00000041988,THAP3,7,-1.0276,18,0.71658,12,-0.4650
ENSG00000007923,DNAJC11,20,-0.8718,37,0.20035,36,0.06765
ENSG00000171735,CAMTA1,282,-0.5557,429,0.25064,386,-0.0775
ENSG00000049245,VAMP3,91,1.82125,19,-1.3806,38,0.34536
ENSG00000049246,PER3,42,0.17736,32,-0.5757,49,0.55750
ENSG00000116288,PARK7,232,-0.5852,347,0.10952,352,0.08806
ENSG00000116285,ERRFI1,18,-0.7389,34,0.64350,23,-0.4668
ENSG00000162426,SLC45A1,9,-1.5556,37,1.50961,14,-1.2431
ENSG00000142599,RERE,149,0.22203,123,-0.1741,136,0.09868
ENSG00000074800,ENO1,406,-0.3615,448,-0.4321,671,0.60093
ENSG00000171612,SLC25A33,24,-0.9316,35,-0.7179,69,1.03736
ENSG00000171603,CLSTN1,302,-1.2748,861,1.01036,469,-0.7351
ENSG00000178585,CTNNBIP1,31,-0.1993,32,-0.3615,44,0.47386
ENSG00000162441,LZIC,94,0.93332,37,-1.0775,73,0.69426
ENSG00000130939,UBE4B,36,-0.3053,48,0.30344,39,-0.2254
