Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to11,Feature log2 fold change topic 6to11
ENSG00000228794,LINC01128,12,-1.4591,28,-0.1987,19,-0.7907,39,0.71960
ENSG00000188976,NOC2L,40,-0.1980,34,-0.5488,46,0.02666,51,0.46369
ENSG00000188290,HES4,30,-0.2843,49,0.61000,14,-1.4882,35,-0.1146
ENSG00000187608,ISG15,36,0.02172,42,0.35187,1,-4.6185,37,0.20326
ENSG00000188157,AGRN,23,0.31070,26,0.63299,11,-0.8383,16,-0.4422
ENSG00000078808,SDF4,64,0.33564,52,-0.0030,29,-0.9105,54,0.11494
ENSG00000176022,B3GALT6,17,-0.5247,18,-0.5593,28,0.19801,29,0.50012
ENSG00000160087,UBE2J2,24,-0.3105,25,-0.3263,45,0.68224,30,0.06666
ENSG00000131584,ACAP3,68,0.21148,78,0.55532,26,-1.2902,55,-0.2534
ENSG00000127054,INTS11,37,0.13400,30,-0.2816,11,-1.6629,40,0.53423
ENSG00000224051,CPTP,13,-0.4278,19,0.20284,6,-1.4995,19,0.29290
ENSG00000107404,DVL1,38,-0.4005,74,0.84359,46,-0.1173,40,-0.5938
ENSG00000175756,AURKAIP1,83,-1.0202,181,0.23604,152,-0.0934,166,0.09053
ENSG00000221978,CCNL2,54,0.24187,45,-0.0459,36,-0.3598,47,0.05863
ENSG00000242485,MRPL20,125,-0.3970,180,0.22092,131,-0.3281,163,0.03524
ENSG00000235098,ANKRD65,27,-0.4797,47,0.52236,50,0.50270,31,-0.5006
ENSG00000179403,VWA1,184,3.47453,17,-1.0465,23,-0.5075,14,-1.8158
ENSG00000205090,TMEM240,2,-3.1750,24,0.03558,9,-1.4502,29,0.79864
ENSG00000160075,SSU72,53,-1.3878,157,0.34588,161,0.31540,128,-0.0910
ENSG00000228594,FNDC10,12,-1.2640,26,-0.1487,31,0.10857,32,0.38197
