Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to10,Feature log2 fold change topic 7to10
ENSG00000228794,LINC01128,21,-0.7068,29,-0.1777,40,0.37815,12,-1.5325,38,0.42914
ENSG00000188976,NOC2L,34,-0.5645,33,-0.6894,47,-0.0916,53,0.09957,62,0.58203
ENSG00000188290,HES4,16,-0.8717,43,0.76408,19,-0.7246,18,-0.7130,32,0.29450
ENSG00000187608,ISG15,22,-0.4426,24,-0.3654,24,-0.3299,26,-0.2083,38,0.63272
ENSG00000188157,AGRN,20,-0.3651,21,-0.3602,25,-0.0319,8,-1.6875,34,0.74526
ENSG00000078808,SDF4,40,-0.4682,47,-0.2770,43,-0.4069,41,-0.4450,71,0.70346
ENSG00000176022,B3GALT6,15,-0.7397,22,-0.1613,15,-0.7399,50,1.23418,25,0.10437
ENSG00000160087,UBE2J2,24,-0.6548,32,-0.2154,33,-0.1335,16,-1.2210,48,0.73406
ENSG00000131584,ACAP3,35,-1.1079,54,-0.4880,71,0.00247,90,0.38960,84,0.42529
ENSG00000127054,INTS11,16,-1.3953,32,-0.4367,44,0.13810,29,-0.5384,53,0.68163
ENSG00000224051,CPTP,22,0.23343,15,-0.4378,13,-0.7159,9,-1.1726,27,0.87210
ENSG00000107404,DVL1,48,0.06691,67,0.68587,25,-1.0324,44,-0.0844,47,0.03097
ENSG00000175756,AURKAIP1,94,-0.9397,213,0.38979,135,-0.4239,161,-0.1063,193,0.28312
ENSG00000221978,CCNL2,44,-0.4528,38,-0.7646,52,-0.2045,78,0.46154,71,0.50223
ENSG00000242485,MRPL20,116,-0.4980,205,0.47274,115,-0.5574,144,-0.1573,172,0.19994
ENSG00000235098,ANKRD65,32,-0.1522,43,0.34988,15,-1.3625,37,0.08858,42,0.43018
ENSG00000179403,VWA1,81,1.80911,32,0.19972,3,-3.1532,60,1.23992,19,-0.9130
ENSG00000197785,ATAD3A,6,-1.2613,14,-0.0197,10,-0.6441,5,-1.4591,21,1.05737
ENSG00000205090,TMEM240,20,-0.6131,11,-1.5800,30,-0.0293,20,-0.6178,45,1.11507
ENSG00000160075,SSU72,90,-0.9028,177,0.17379,113,-0.6138,151,-0.1050,197,0.52656
ENSG00000228594,FNDC10,13,-0.9963,18,-0.5088,21,-0.2454,26,0.08099,32,0.69164
ENSG00000272106,AL691432.2,9,-1.1925,12,-0.7421,16,-0.2856,31,0.74618,24,0.56379
ENSG00000197530,MIB2,26,-0.4778,33,-0.1165,20,-0.9677,50,0.54862,43,0.50176
ENSG00000248333,CDK11B,63,0.82261,29,-0.4985,50,0.50479,43,0.18682,30,-0.5606
ENSG00000189339,SLC35E2B,24,-0.1402,26,-0.0088,24,-0.1628,27,0.03238,28,0.14771
ENSG00000008128,CDK11A,39,1.50222,16,-0.0330,20,0.41354,12,-0.3791,9,-1.1120
ENSG00000008130,NADK,20,-0.4444,27,-0.0064,15,-0.9573,44,0.80125,30,0.28933
ENSG00000078369,GNB1,362,-0.5189,592,0.29741,438,-0.2488,470,-0.1110,536,0.15422
ENSG00000187730,GABRD,34,-2.4831,69,-1.5597,185,0.07835,109,-0.7594,280,1.36468
ENSG00000067606,PRKCZ,121,-0.9113,239,0.17307,190,-0.2406,213,-0.0304,245,0.30460
ENSG00000162585,FAAP20,40,0.16807,48,0.52557,13,-1.7031,71,1.13944,32,-0.2675
ENSG00000157933,SKI,48,0.76196,38,0.44387,26,-0.2380,20,-0.6440,26,-0.3309
ENSG00000157916,RER1,34,-0.6592,37,-0.5729,45,-0.2443,25,-1.1410,74,0.98073
ENSG00000157911,PEX10,20,0.04225,30,0.87955,10,-1.0339,7,-1.4747,21,0.20795
ENSG00000157870,PRXL2B,16,-1.6642,49,-0.0289,39,-0.4244,32,-0.6913,68,0.86229
ENSG00000177133,PRDM16-DT,16,0.21505,28,1.41530,4,-2.0432,3,-2.3382,14,0.04214
ENSG00000158109,TPRG1L,114,-1.2703,304,0.29194,259,-0.0007,243,-0.1014,277,0.16571
ENSG00000130764,LRRC47,47,-1.0095,72,-0.4052,97,0.12120,103,0.20990,104,0.36082
ENSG00000116198,CEP104,62,1.11643,27,-0.2638,33,0.09557,30,-0.0721,26,-0.4555
ENSG00000196581,AJAP1,41,-0.3478,41,-0.3667,77,0.79712,42,-0.2841,47,-0.1776
ENSG00000069424,KCNAB2,73,-1.4810,203,0.10547,162,-0.2942,127,-0.6468,247,0.66667
ENSG00000116254,CHD5,226,-0.2075,218,-0.2894,387,0.78585,251,-0.0364,221,-0.3498
ENSG00000116251,RPL22,966,0.76819,961,0.88994,328,-1.0418,518,-0.2506,501,-0.4329
ENSG00000116237,ICMT,22,-0.9257,31,-0.4456,40,-0.0315,16,-1.4004,56,0.89043
ENSG00000097021,ACOT7,83,-1.7294,200,-0.4451,290,0.21695,171,-0.6430,336,0.70544
ENSG00000215788,TNFRSF25,5,-2.4809,12,-1.3258,31,0.25129,35,0.43597,36,0.75713
ENSG00000171680,PLEKHG5,11,-1.3345,23,-0.2231,22,-0.3352,13,-1.0233,37,0.95738
ENSG00000162408,NOL9,33,-0.0144,38,0.25242,25,-0.4783,40,0.30346,33,-0.0078
ENSG00000162413,KLHL21,19,-1.0763,34,-0.1845,30,-0.4152,61,0.79777,42,0.29466
ENSG00000116273,PHF13,15,-0.1804,9,-1.0467,15,-0.1989,36,1.18568,18,0.13206
ENSG00000041988,THAP3,16,-0.1790,19,0.08326,12,-0.7105,17,-0.0622,21,0.42624
ENSG00000007923,DNAJC11,28,-0.0992,34,0.20338,36,0.30676,16,-0.9455,30,-0.0496
ENSG00000171735,CAMTA1,358,-0.0823,297,-0.4192,586,0.84961,456,0.30748,298,-0.5287
ENSG00000049245,VAMP3,64,1.83922,32,0.71021,11,-1.1043,19,-0.2117,13,-1.1296
ENSG00000049246,PER3,61,0.75494,35,-0.1421,25,-0.7158,29,-0.4326,43,0.29098
ENSG00000116288,PARK7,185,-0.9000,417,0.44488,245,-0.5140,356,0.12873,356,0.19365
ENSG00000116285,ERRFI1,15,-0.9047,24,-0.2034,19,-0.5835,43,0.76480,31,0.37569
ENSG00000162426,SLC45A1,8,-1.8377,14,-1.1583,34,0.30513,36,0.33878,37,0.64227
ENSG00000142599,RERE,151,0.26081,111,-0.2659,148,0.25320,187,0.61045,108,-0.3991
ENSG00000074800,ENO1,399,-0.2719,513,0.14697,384,-0.3687,318,-0.6240,555,0.40859
ENSG00000171612,SLC25A33,28,-0.0779,45,0.83870,20,-0.6605,20,-0.6051,28,-0.0533
ENSG00000171603,CLSTN1,296,-1.5059,517,-0.7241,863,0.16780,770,-0.0339,1011,0.66431
ENSG00000178585,CTNNBIP1,30,0.00713,43,0.71974,21,-0.5756,35,0.24890,26,-0.3232
ENSG00000162441,LZIC,91,1.05895,49,0.03344,39,-0.3814,38,-0.3826,45,-0.1906
ENSG00000130939,UBE4B,41,-0.1559,47,0.04587,51,0.21814,52,0.20932,41,-0.2135
ENSG00000054523,KIF1B,645,0.50917,472,-0.0007,562,0.31963,585,0.34773,356,-0.6247
ENSG00000142657,PGD,59,-0.0624,42,-0.6304,60,-0.0314,69,0.19768,70,0.32590
ENSG00000241563,CORT,29,-0.6506,68,0.85702,13,-1.9335,52,0.28567,48,0.24585
ENSG00000160049,DFFA,99,1.02723,48,-0.1815,47,-0.2333,66,0.35192,45,-0.4030
ENSG00000142655,PEX14,12,-0.5946,14,-0.3982,14,-0.4438,12,-0.6341,25,0.87414
ENSG00000120948,TARDBP,110,0.40567,89,0.07235,69,-0.3750,120,0.54121,78,-0.2279
ENSG00000271895,AL109811.2,10,-0.6899,10,-0.6986,12,-0.3320,12,-0.3445,21,0.90906
ENSG00000116649,SRM,38,-0.5258,48,-0.1860,37,-0.6009,53,0.00677,67,0.62111
ENSG00000171824,EXOSC10,46,0.68151,13,-1.4122,34,0.20493,58,1.07764,26,-0.3130
ENSG00000198793,MTOR,30,-0.6034,27,-0.8148,45,0.02931,23,-1.0157,61,0.88649
ENSG00000116661,FBXO2,86,-0.9883,203,0.42036,122,-0.4986,71,-1.2605,203,0.59425
ENSG00000132879,FBXO44,40,-1.4069,78,-0.4515,84,-0.3218,77,-0.4144,141,0.94222
ENSG00000116670,MAD2L2,12,-0.2878,21,0.68649,10,-0.6138,12,-0.2470,15,0.02185
ENSG00000177000,MTHFR,25,0.24571,15,-0.5347,24,0.26189,17,-0.3003,22,0.13725
ENSG00000011021,CLCN6,34,-1.4217,61,-0.5923,78,-0.1789,89,0.05691,115,0.77831
ENSG00000116685,KIAA2013,29,-0.3807,33,-0.1667,30,-0.3682,34,-0.1093,44,0.49028
ENSG00000083444,PLOD1,24,0.15251,16,-0.5210,12,-1.0373,32,0.60821,27,0.51733
ENSG00000116688,MFN2,83,-0.6748,112,-0.2210,139,0.15571,148,0.24841,135,0.14235
ENSG00000116691,MIIP,10,-0.3650,17,0.45173,8,-0.8319,6,-1.1401,17,0.55402
ENSG00000048707,VPS13D,72,0.12866,59,-0.2176,82,0.39084,63,-0.0884,62,-0.1627
ENSG00000162496,DHRS3,23,0.64809,25,0.88268,17,0.13737,0,-6.3295,12,-0.5082
ENSG00000116731,PRDM2,308,0.53071,195,-0.2312,356,0.91252,232,0.06686,145,-0.9101
ENSG00000189337,KAZN,73,0.06951,58,-0.3269,65,-0.1378,142,1.17634,60,-0.3492
ENSG00000142634,EFHD2,85,-0.8453,187,0.46728,151,0.06502,226,0.72582,117,-0.4868
ENSG00000116138,DNAJC16,23,-0.7266,24,-0.7080,40,0.14211,45,0.33495,43,0.38387
ENSG00000197312,DDI2,39,-0.2324,42,-0.1390,57,0.42270,68,0.66196,37,-0.4494
ENSG00000116786,PLEKHM2,94,-0.0041,123,0.49608,90,-0.0821,59,-0.7422,91,-0.0831
ENSG00000065526,SPEN,356,1.48428,94,-0.7984,230,0.82272,171,0.21506,81,-1.2720
ENSG00000116809,ZBTB17,22,-0.0307,20,-0.2059,17,-0.4775,37,0.79966,23,0.05683
