Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,9,-1.8800,20,-0.5828,45,0.72009,45,0.82969,43,0.76532,18,-0.7232,12,-1.2811
ENSG00000188976,NOC2L,22,-1.0996,49,0.20895,42,-0.0277,73,1.03799,49,0.25421,18,-1.3225,31,-0.5180
ENSG00000188290,HES4,12,-1.5476,37,0.33219,21,-0.5806,22,-0.5767,42,0.62179,36,0.27837,58,1.07063
ENSG00000187608,ISG15,27,-0.5491,19,-1.0277,5,-2.8719,37,-0.0373,64,1.04671,43,0.21268,52,0.51366
ENSG00000188157,AGRN,29,0.36851,32,0.49744,11,-1.2127,16,-0.6341,34,0.67678,16,-0.5990,19,-0.3138
ENSG00000078808,SDF4,59,0.07572,48,-0.2533,62,0.16808,44,-0.4341,58,0.06828,67,0.28783,63,0.18221
ENSG00000176022,B3GALT6,11,-0.6954,8,-1.1405,21,0.42820,20,0.32661,23,0.60918,16,-0.0589,12,-0.4117
ENSG00000160087,UBE2J2,26,-0.2516,42,0.53072,23,-0.4349,25,-0.3114,39,0.47230,19,-0.7369,38,0.35602
ENSG00000131584,ACAP3,62,-0.0344,134,1.26032,67,0.09267,37,-0.9028,68,0.13161,33,-1.0096,65,0.03829
ENSG00000127054,INTS11,32,-0.2879,37,-0.0383,27,-0.5194,39,0.01344,46,0.33484,31,-0.3156,53,0.51819
ENSG00000224051,CPTP,11,-0.5323,3,-2.3119,6,-1.3352,23,0.81875,22,0.77859,9,-0.8046,18,0.33044
ENSG00000107404,DVL1,32,-0.4710,31,-0.4835,22,-1.0120,20,-1.2396,68,0.93351,51,0.31422,76,0.99279
ENSG00000175756,AURKAIP1,102,-0.7551,72,-1.2180,67,-1.3265,211,0.54521,217,0.59440,150,-0.0858,232,0.63191
ENSG00000221978,CCNL2,58,-0.0695,108,0.95335,85,0.56066,56,-0.1413,46,-0.4609,62,0.03920,29,-1.1158
ENSG00000242485,MRPL20,121,-0.2203,50,-1.5349,90,-0.6659,163,0.31238,161,0.29230,190,0.52285,154,0.18283
ENSG00000235098,ANKRD65,46,0.59432,18,-0.9586,19,-0.8297,18,-0.9843,42,0.41844,26,-0.3980,58,0.90948
ENSG00000179403,VWA1,173,3.13643,25,-1.0755,29,-0.8249,6,-3.3018,6,-3.2455,32,-0.6988,45,-0.1841
ENSG00000197785,ATAD3A,11,-0.5453,20,0.47131,18,0.27825,8,-1.0901,26,1.11824,9,-0.7759,12,-0.2824
ENSG00000205090,TMEM240,5,-2.1168,14,-0.4893,16,-0.3212,22,0.17469,40,1.41325,17,-0.2360,17,-0.2676
ENSG00000160075,SSU72,75,-0.9220,81,-0.7343,84,-0.6753,183,0.65257,176,0.58142,129,-0.0050,132,0.02762
ENSG00000228594,FNDC10,4,-2.6057,14,-0.5565,0,-4.6656,29,0.65282,31,0.81049,38,1.05301,23,0.17759
ENSG00000272106,AL691432.2,17,0.30154,5,-1.6748,13,-0.1974,8,-0.8971,29,1.34538,5,-1.6283,15,0.01560
ENSG00000197530,MIB2,19,-0.7410,34,0.26763,27,-0.1178,19,-0.6961,38,0.54053,25,-0.1945,49,0.88421
ENSG00000248333,CDK11B,69,0.67209,60,0.34737,42,-0.2227,47,-0.0524,42,-0.2597,46,-0.0839,20,-1.3249
