Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to11,Feature log2 fold change topic 4to11
ENSG00000228794,LINC01128,10,-1.5661,32,0.13251,21,-0.5171,32,0.61426
ENSG00000188976,NOC2L,24,-0.7356,44,0.18117,25,-0.6605,42,0.42790
ENSG00000188290,HES4,4,-2.2221,10,-0.9481,37,1.07303,20,0.21587
ENSG00000187608,ISG15,10,-1.3461,0,-5.2107,32,0.42626,28,0.98807
ENSG00000188157,AGRN,17,0.44547,2,-2.2191,22,0.92110,12,-0.1932
ENSG00000078808,SDF4,70,0.09376,99,0.66421,55,-0.2678,62,-0.2600
ENSG00000176022,B3GALT6,12,-0.9653,27,0.27073,17,-0.4303,24,0.36546
ENSG00000160087,UBE2J2,29,-0.3144,47,0.44827,30,-0.2265,35,-0.0036
ENSG00000162572,SCNN1D,8,-0.5573,20,0.89779,4,-1.4215,12,0.11901
ENSG00000131584,ACAP3,51,-0.1935,83,0.58189,43,-0.4602,58,-0.0407
ENSG00000127054,INTS11,42,0.02992,59,0.58135,30,-0.5003,40,-0.1149
ENSG00000224051,CPTP,21,0.28994,14,-0.4042,7,-1.3715,19,0.44135
ENSG00000107404,DVL1,39,-0.3523,61,0.32153,67,0.48995,47,-0.2395
ENSG00000175756,AURKAIP1,89,-0.6203,121,-0.1439,120,-0.1634,141,0.36064
ENSG00000221978,CCNL2,70,0.20079,78,0.36702,48,-0.3920,60,-0.1101
ENSG00000242485,MRPL20,115,-0.3746,137,-0.1029,142,-0.0423,151,0.20632
ENSG00000235098,ANKRD65,32,1.12893,16,0.02227,9,-0.9099,15,-0.3419
ENSG00000179403,VWA1,158,2.71079,119,2.08845,25,-0.5672,12,-3.0564
ENSG00000205090,TMEM240,5,-2.2901,24,-0.1324,28,0.13975,29,0.55918
ENSG00000160075,SSU72,88,-0.8386,168,0.15434,102,-0.6273,164,0.46270
ENSG00000228594,FNDC10,4,-2.3686,3,-2.5887,24,0.27639,24,1.16379
ENSG00000272106,AL691432.2,33,0.36193,33,0.32938,29,0.15092,25,-0.3634
ENSG00000197530,MIB2,20,-0.4133,25,-0.0677,25,-0.1021,28,0.23084
ENSG00000248333,CDK11B,38,1.35379,9,-0.9260,20,0.27615,15,-0.5947
ENSG00000189339,SLC35E2B,38,-0.2379,71,0.75174,32,-0.5146,43,-0.1071
ENSG00000008128,CDK11A,26,0.59754,22,0.33713,35,1.14154,14,-0.9749
ENSG00000215790,SLC35E2A,10,-1.0804,17,-0.3262,27,0.44695,21,0.25598
ENSG00000008130,NADK,21,-0.2693,24,-0.0696,15,-0.8211,27,0.43476
ENSG00000078369,GNB1,269,-0.9793,530,0.06895,409,-0.3407,547,0.44140
ENSG00000187730,GABRD,6,-4.5754,49,-1.6374,73,-1.0387,182,2.07486
ENSG00000067606,PRKCZ,81,-0.8610,163,0.22986,70,-1.0793,155,0.56403
ENSG00000162585,FAAP20,35,-0.2655,49,0.27242,50,0.29720,40,-0.1511
ENSG00000157933,SKI,51,0.47808,38,0.01782,69,0.99594,32,-0.7116
ENSG00000157916,RER1,71,0.30464,88,0.65524,60,0.05136,53,-0.4573
ENSG00000157911,PEX10,28,0.33698,35,0.73913,35,0.72440,18,-0.8119
ENSG00000149527,PLCH2,30,1.71553,8,-0.3682,6,-0.7707,9,-0.6749
ENSG00000157881,PANK4,10,-0.7355,12,-0.5854,9,-0.8822,20,0.86645
ENSG00000197921,HES5,0,-4.7568,0,-7.5175,11,-0.2955,17,2.11698
ENSG00000157870,PRXL2B,16,-1.5263,27,-0.8068,17,-1.4983,55,1.43490
ENSG00000177133,PRDM16-DT,9,-1.3703,8,-1.6502,20,-0.1920,27,1.10334
ENSG00000142611,PRDM16,15,0.35152,4,-1.4046,23,1.07296,11,-0.3497
ENSG00000158109,TPRG1L,56,-1.8964,232,0.27058,97,-1.0772,221,0.78190
ENSG00000116213,WRAP73,15,-0.1167,19,0.19963,7,-1.1681,17,0.32775
ENSG00000130764,LRRC47,58,-0.3985,63,-0.2868,42,-0.8998,83,0.61089
ENSG00000116198,CEP104,83,1.93517,23,-0.2476,20,-0.4940,21,-0.9530
ENSG00000198912,C1orf174,23,0.36142,10,-0.8717,13,-0.5305,19,0.32486
ENSG00000196581,AJAP1,25,-0.6470,43,0.15860,22,-0.8413,42,0.46787
ENSG00000069424,KCNAB2,26,-2.9833,162,-0.2881,153,-0.3791,226,0.98175
ENSG00000116254,CHD5,26,-2.4789,164,0.28526,131,-0.0726,149,0.46978
ENSG00000116251,RPL22,654,0.27871,409,-0.4623,714,0.42266,533,-0.1515
ENSG00000116237,ICMT,40,-0.1680,60,0.46246,27,-0.7945,46,0.11395
ENSG00000097021,ACOT7,68,-1.6234,159,-0.3342,86,-1.2697,231,1.14775
ENSG00000215788,TNFRSF25,0,-9.4342,12,-1.1074,29,0.23497,29,1.08980
ENSG00000171680,PLEKHG5,2,-3.3570,44,0.74494,23,-0.2754,29,0.33212
ENSG00000162408,NOL9,34,0.18398,28,-0.1177,23,-0.4063,31,0.11989
ENSG00000162413,KLHL21,50,0.37143,31,-0.4079,39,-0.0274,40,-0.0091
ENSG00000116273,PHF13,16,0.11374,15,0.08914,5,-1.5476,16,0.35389
ENSG00000041988,THAP3,16,-0.3222,32,0.79400,15,-0.3868,19,-0.1433
ENSG00000007923,DNAJC11,22,-0.4004,53,0.97468,36,0.34119,26,-0.5035
ENSG00000171735,CAMTA1,125,-1.4118,321,0.02942,338,0.11052,336,0.35873
ENSG00000049245,VAMP3,151,2.29356,73,0.91790,27,-0.6786,26,-1.6852
ENSG00000049246,PER3,55,0.62937,21,-0.8452,58,0.72633,34,-0.3845
ENSG00000116288,PARK7,237,-0.6843,298,-0.3320,344,-0.1078,397,0.43549
ENSG00000116285,ERRFI1,15,-1.0248,35,0.22340,10,-1.6176,34,0.74396
ENSG00000162426,SLC45A1,5,-1.8024,22,0.25558,6,-1.5993,21,0.90895
ENSG00000142599,RERE,122,-0.2983,65,-1.2497,180,0.31489,157,0.35942
ENSG00000074800,ENO1,370,-0.4267,569,0.25108,580,0.28283,478,-0.0813
ENSG00000171612,SLC25A33,24,-0.9252,27,-0.7826,57,0.39922,48,0.39857
ENSG00000188807,TMEM201,16,0.76258,2,-2.1014,2,-2.3409,11,0.70352
ENSG00000171603,CLSTN1,206,-1.7811,902,0.49677,349,-0.9937,730,0.58726
ENSG00000178585,CTNNBIP1,38,0.12714,30,-0.2601,18,-0.9829,38,0.38015
ENSG00000162441,LZIC,155,1.55448,58,-0.0819,99,0.76081,46,-1.1735
ENSG00000162444,RBP7,99,3.52431,72,2.67116,6,-1.4970,0,-5.9386
ENSG00000130939,UBE4B,49,0.12086,83,0.98452,21,-1.1742,44,-0.2315
ENSG00000054523,KIF1B,623,0.79716,486,0.38745,338,-0.1940,345,-0.4844
ENSG00000284642,AL139424.2,15,0.26498,11,-0.2797,6,-1.1730,14,0.36226
ENSG00000142657,PGD,48,-0.4213,80,0.38468,33,-0.9956,67,0.30612
ENSG00000175279,CENPS,3,-1.9281,10,-0.1836,20,0.88663,11,0.07480
ENSG00000241563,CORT,2,-2.6949,12,-0.5237,17,0.02937,19,0.84362
ENSG00000160049,DFFA,83,0.82661,51,0.04181,68,0.48910,44,-0.6289
ENSG00000142655,PEX14,11,-1.1518,16,-0.6189,18,-0.4351,27,0.84141
ENSG00000120948,TARDBP,105,0.26643,86,-0.0513,88,-0.0183,87,-0.0897
