Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,5,-3.0310,29,-0.4724,49,0.38747,16,-1.3437,40,0.07281,58,0.66324,59,0.70774,59,0.70828
ENSG00000188976,NOC2L,13,-2.0175,49,-0.0079,24,-1.0809,50,0.01526,55,0.19675,89,0.97409,61,0.34071,48,-0.0310
ENSG00000188290,HES4,9,-1.7637,27,-0.0703,10,-1.5239,68,1.49295,44,0.83890,15,-0.9270,12,-1.2355,26,-0.1452
ENSG00000187608,ISG15,22,-0.3822,21,-0.5305,16,-0.8948,31,0.17083,49,1.09695,30,0.11654,12,-1.2707,30,0.09957
ENSG00000188157,AGRN,12,-0.5958,15,-0.2514,11,-0.6465,25,0.62357,24,0.62550,12,-0.6032,20,0.22685,14,-0.2779
ENSG00000078808,SDF4,33,-0.8216,47,-0.2896,40,-0.5241,81,0.60713,82,0.72301,56,0.00345,44,-0.3619,46,-0.3018
ENSG00000176022,B3GALT6,8,-1.5131,14,-0.7455,12,-0.8682,23,0.08623,38,1.08338,37,0.87802,8,-1.4593,25,0.22838
ENSG00000160087,UBE2J2,21,-0.8851,38,0.06173,17,-1.2185,47,0.37869,48,0.47947,49,0.46751,23,-0.7223,41,0.15046
ENSG00000131584,ACAP3,28,-1.5116,83,0.14817,25,-1.7022,76,-0.0266,120,0.86582,64,-0.2892,97,0.37612,70,-0.1362
ENSG00000127054,INTS11,19,-1.0321,24,-0.7159,8,-2.2117,57,0.70616,54,0.70446,51,0.51566,40,0.12219,39,0.07942
ENSG00000224051,CPTP,7,-1.2861,14,-0.3210,5,-1.6719,10,-0.7794,24,0.68297,32,1.06357,12,-0.4670,25,0.62059
ENSG00000107404,DVL1,25,-1.1127,64,0.39734,53,0.03854,43,-0.2770,76,0.73787,36,-0.5478,38,-0.4642,40,-0.4017
ENSG00000175756,AURKAIP1,40,-1.5594,85,-0.4478,76,-0.5754,174,0.74466,177,0.91286,114,0.05368,55,-1.0871,121,0.14312
ENSG00000221978,CCNL2,49,-0.1679,37,-0.6779,25,-1.2161,82,0.66820,54,-0.0034,56,0.04259,79,0.60766,72,0.45333
ENSG00000242485,MRPL20,42,-1.4682,96,-0.2446,86,-0.3829,146,0.46215,169,0.81514,90,-0.3279,79,-0.5161,129,0.25371
ENSG00000235098,ANKRD65,21,-0.3876,21,-0.4501,20,-0.4558,32,0.29492,40,0.78230,15,-0.8445,23,-0.2109,34,0.37034
ENSG00000179403,VWA1,41,1.28531,20,0.14071,9,-1.1199,34,0.98161,21,0.15782,11,-0.8280,9,-1.1814,3,-2.5526
ENSG00000205090,TMEM240,4,-2.8868,26,-0.0462,20,-0.4581,25,-0.1260,37,0.59515,33,0.36321,35,0.43858,25,-0.1161
