Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000228794,LINC01128,7,-2.2042,27,-0.1767,30,0.02208,34,0.22105,39,0.42471,33,0.16734,61,1.15762,31,0.05074,17,-0.8275,11,-1.4188,30,-0.0157,34,0.20626
ENSG00000188976,NOC2L,23,-1.0004,24,-0.9664,67,0.59807,89,1.08340,94,1.16556,41,-0.1463,34,-0.4652,58,0.38874,24,-0.9790,42,-0.1305,22,-1.1059,37,-0.3397
ENSG00000188290,HES4,22,-1.4062,84,0.66426,37,-0.6130,42,-0.4348,67,0.28834,49,-0.1902,29,-1.0032,22,-1.4085,88,0.74123,55,-0.0231,39,-0.5324,94,0.94894
ENSG00000187608,ISG15,45,0.32251,53,0.60788,32,-0.2137,46,0.38255,17,-1.1103,58,0.74945,14,-1.4457,2,-3.9093,54,0.61841,25,-0.5714,43,0.24770,42,0.23334
ENSG00000188157,AGRN,36,0.34901,50,0.85972,9,-1.7714,53,0.96505,29,-0.0043,11,-1.4507,36,0.34565,33,0.19696,20,-0.5235,24,-0.2812,24,-0.2746,26,-0.2045
ENSG00000078808,SDF4,64,0.27091,53,-0.0199,33,-0.7219,81,0.64208,70,0.41868,35,-0.6430,45,-0.2753,74,0.49399,51,-0.0937,67,0.33929,24,-1.2386,51,-0.0742
ENSG00000176022,B3GALT6,11,-1.0324,51,1.31872,21,-0.0717,31,0.49129,26,0.22875,5,-2.1249,26,0.23362,21,-0.1072,24,0.09735,35,0.69370,7,-1.6806,17,-0.4745
ENSG00000160087,UBE2J2,21,-0.4115,26,-0.1493,27,-0.0384,39,0.50874,18,-0.6349,22,-0.3736,13,-1.1579,29,0.04642,23,-0.3415,50,0.91822,20,-0.5467,39,0.56325
ENSG00000131584,ACAP3,43,-0.4406,83,0.57364,19,-1.6261,73,0.36841,35,-0.7681,25,-1.2630,27,-1.1540,92,0.73774,35,-0.7428,95,0.79086,25,-1.2597,99,0.97292
ENSG00000127054,INTS11,32,-0.2879,19,-1.0567,32,-0.2920,37,-0.0824,70,0.93989,63,0.76048,26,-0.6039,43,0.16638,20,-0.9901,14,-1.5228,37,-0.0606,56,0.62861
