Feature ID,Feature Name,Feature count topic 1to5,Feature log2 fold change topic 1to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,43,0.19740,50,0.37941,27,-0.6032,28,-0.5508,42,0.13096
ENSG00000188976,NOC2L,53,0.28101,71,0.62857,23,-1.0849,40,-0.2980,44,-0.1490
ENSG00000188290,HES4,17,-1.1916,30,-0.0245,19,-0.7131,31,0.04950,56,1.32873
ENSG00000187608,ISG15,33,0.66166,16,-0.7229,10,-1.4204,22,-0.2271,24,-0.0897
ENSG00000188157,AGRN,17,-0.2824,31,0.79222,12,-0.6853,14,-0.4632,24,0.45609
ENSG00000078808,SDF4,56,0.06019,61,0.18169,36,-0.6184,39,-0.5598,67,0.39210
ENSG00000176022,B3GALT6,18,-0.2638,24,0.28259,19,-0.0241,17,-0.2802,24,0.38964
ENSG00000160087,UBE2J2,31,-0.1934,30,-0.1602,26,-0.3761,30,-0.1995,44,0.54032
ENSG00000131584,ACAP3,36,-1.1251,136,1.30594,34,-0.9088,59,-0.0775,90,0.78161
ENSG00000127054,INTS11,39,0.22691,32,-0.1656,33,-0.1288,17,-1.1759,45,0.44157
ENSG00000224051,CPTP,26,0.56586,11,-0.9827,16,-0.3658,13,-0.7730,23,0.16037
ENSG00000107404,DVL1,28,-1.0249,17,-1.4848,45,-0.0038,44,-0.0542,84,1.37736
ENSG00000175756,AURKAIP1,198,-0.0256,156,-0.3830,192,-0.0587,157,-0.4029,248,0.43615
ENSG00000221978,CCNL2,55,-0.1372,114,1.10404,42,-0.4990,43,-0.4838,59,0.05513
ENSG00000242485,MRPL20,179,0.18289,70,-1.3234,183,0.14657,140,-0.2982,191,0.26404
ENSG00000235098,ANKRD65,20,-0.9166,18,-0.7640,54,0.93453,30,-0.0175,44,0.76521
ENSG00000197785,ATAD3A,13,-0.3747,20,0.35953,31,1.09205,5,-1.6866,20,0.49425
ENSG00000205090,TMEM240,25,-0.0460,36,0.57683,16,-0.7121,19,-0.5013,30,0.33001
ENSG00000160075,SSU72,167,-0.0094,139,-0.2825,148,-0.1914,133,-0.3818,206,0.42099
ENSG00000228594,FNDC10,30,-0.0857,32,0.00273,28,-0.1961,28,-0.1951,37,0.30714
ENSG00000272106,AL691432.2,11,-0.7983,11,-0.5779,9,-0.9734,14,-0.3063,31,1.39993
ENSG00000197530,MIB2,27,-0.5268,41,0.27876,25,-0.4592,35,0.03114,46,0.61200
ENSG00000248333,CDK11B,44,-0.1437,63,0.48590,101,1.28068,52,0.20813,23,-1.2117
ENSG00000189339,SLC35E2B,8,-0.8290,20,0.70429,12,-0.1000,17,0.54422,14,0.22407
