Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,20,-0.8859,12,-1.6402,31,-0.2630,26,-0.5390,53,0.58673,37,0.00348,63,0.85605,53,0.57068,33,-0.1617,38,0.06401
ENSG00000188976,NOC2L,27,-0.8744,26,-0.9248,41,-0.2464,49,0.05665,54,0.19062,28,-0.8920,65,0.48650,68,0.56408,28,-0.7898,79,0.93635
ENSG00000188290,HES4,9,-2.1162,37,-0.0323,55,0.60794,32,-0.2612,27,-0.4967,46,0.37184,43,0.20851,18,-1.1262,31,-0.2927,53,0.62219
ENSG00000187608,ISG15,11,-1.8866,33,-0.2599,52,0.44816,84,1.23433,15,-1.4379,45,0.23483,29,-0.4733,88,1.30583,10,-1.9608,30,-0.4444
ENSG00000188157,AGRN,15,-0.3420,15,-0.3138,18,-0.0496,12,-0.6192,15,-0.2962,24,0.48236,24,0.36897,14,-0.4009,21,0.22445,20,0.08980
ENSG00000078808,SDF4,78,0.36526,58,-0.0869,70,0.20883,50,-0.3263,34,-0.8900,50,-0.3357,93,0.66332,42,-0.5935,56,-0.1620,79,0.43010
ENSG00000176022,B3GALT6,18,-0.4743,32,0.40978,27,0.17362,22,-0.1578,16,-0.6803,20,-0.2901,32,0.43745,20,-0.3021,35,0.55551,25,0.05546
ENSG00000160087,UBE2J2,27,-0.2507,24,-0.4124,32,0.00274,22,-0.5892,13,-1.3656,27,-0.2732,59,1.00725,34,0.12816,40,0.35578,38,0.31708
ENSG00000131584,ACAP3,65,-0.1273,50,-0.5098,99,0.54071,51,-0.4960,85,0.29227,71,0.02480,109,0.70160,47,-0.6168,66,-0.1014,65,-0.1394
ENSG00000127054,INTS11,63,0.70353,26,-0.6676,21,-1.0128,41,-0.0049,27,-0.6173,31,-0.4743,71,0.90235,44,0.13667,28,-0.5995,53,0.46419
