Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,20,-0.7572,2,-3.9378,30,-0.0946,43,0.45820,63,1.11216,40,0.35013,20,-0.7203,51,0.75606,27,-0.3337
ENSG00000188976,NOC2L,32,-0.8543,9,-2.7368,33,-0.7834,34,-0.7335,96,0.92464,83,0.67532,31,-0.8700,61,0.16425,85,0.84241
ENSG00000188290,HES4,9,-2.2934,10,-2.0914,104,1.57983,12,-1.9150,63,0.68468,71,0.88677,33,-0.3398,16,-1.4347,48,0.27564
ENSG00000187608,ISG15,1,-4.4240,44,0.46181,54,0.79402,2,-4.1467,11,-1.6286,68,1.21592,64,1.10059,14,-1.3068,36,0.16663
ENSG00000188157,AGRN,24,0.04242,18,-0.4266,30,0.37021,13,-0.8566,42,0.93928,18,-0.3915,26,0.14881,4,-2.4559,30,0.44814
ENSG00000078808,SDF4,77,0.47311,47,-0.3284,55,-0.0746,30,-1.0047,67,0.24012,59,0.03179,40,-0.5851,71,0.32835,66,0.23863
ENSG00000176022,B3GALT6,17,-0.3050,3,-2.8806,27,0.38509,14,-0.6911,27,0.35175,22,0.04099,28,0.45864,13,-0.7906,31,0.72172
ENSG00000160087,UBE2J2,19,-0.8294,11,-1.6816,29,-0.2253,8,-2.1804,65,1.10520,49,0.64168,33,0.00667,17,-1.0336,51,0.80772
ENSG00000131584,ACAP3,80,0.00896,50,-0.7031,141,0.96218,55,-0.5636,168,1.27331,80,0.01952,41,-1.0259,21,-2.0080,78,-0.0352
ENSG00000127054,INTS11,29,-0.5769,29,-0.6099,41,-0.0429,30,-0.5296,89,1.24355,57,0.46136,40,-0.1056,25,-0.8411,43,0.00921
ENSG00000107404,DVL1,36,-0.6540,20,-1.5136,142,1.63866,37,-0.6048,43,-0.3698,82,0.64975,55,0.01470,29,-0.9909,52,-0.0921
ENSG00000175756,AURKAIP1,123,-0.6797,110,-0.8508,184,-0.0436,122,-0.6911,147,-0.4013,269,0.57718,245,0.42086,131,-0.5804,281,0.75666
ENSG00000221978,CCNL2,56,0.07346,44,-0.3268,47,-0.2272,48,-0.1834,98,1.00103,30,-0.8751,35,-0.6632,30,-0.9211,75,0.62385
ENSG00000242485,MRPL20,106,-0.6565,69,-1.2968,157,-0.0371,93,-0.8502,111,-0.5775,300,1.04392,193,0.29737,177,0.15234,200,0.41030
ENSG00000235098,ANKRD65,46,0.51148,15,-1.2136,59,0.92905,12,-1.5704,28,-0.3134,55,0.81611,23,-0.5631,8,-2.1118,45,0.53693
ENSG00000179403,VWA1,196,3.75766,33,0.03546,26,-0.3135,1,-4.5667,20,-0.7152,15,-1.1301,11,-1.5567,0,-7.3649,10,-1.9242
ENSG00000205090,TMEM240,1,-4.3281,6,-2.1577,32,0.41646,16,-0.6506,55,1.35787,32,0.43783,16,-0.6193,9,-1.5153,40,0.89669
ENSG00000160075,SSU72,61,-1.2280,77,-0.8879,164,0.30617,88,-0.6783,130,-0.0696,224,0.82864,121,-0.1776,110,-0.3303,191,0.64575
ENSG00000228594,FNDC10,22,-0.4678,2,-4.0389,34,0.24535,7,-2.1518,30,0.00455,41,0.52454,58,1.12792,10,-1.5579,46,0.83427
ENSG00000197530,MIB2,20,-0.9816,35,-0.1283,48,0.38601,14,-1.4518,49,0.43010,50,0.46930,33,-0.2176,20,-0.9355,53,0.65871
ENSG00000248333,CDK11B,108,0.41346,163,1.11845,83,-0.0052,128,0.70945,73,-0.2008,52,-0.7238,59,-0.5523,66,-0.3711,51,-0.8395
ENSG00000008128,CDK11A,81,1.13869,108,1.68005,31,-0.4500,41,0.00293,44,0.10180,29,-0.5220,14,-1.5806,33,-0.3401,14,-1.7180
ENSG00000215790,SLC35E2A,19,-0.4170,3,-2.9112,41,0.80122,17,-0.5869,21,-0.2925,33,0.46194,31,0.34249,15,-0.7867,35,0.62047
ENSG00000008130,NADK,25,0.34152,5,-2.0499,27,0.48874,27,0.47434,9,-1.1133,9,-1.2323,26,0.43137,14,-0.5613,29,0.69073
ENSG00000078369,GNB1,260,-1.0053,164,-1.7015,843,0.87681,386,-0.4006,344,-0.5807,769,0.71834,673,0.49512,458,-0.1309,537,0.14180
ENSG00000187730,GABRD,10,-4.0430,6,-4.7362,96,-0.7797,162,0.03406,172,0.13216,196,0.34547,189,0.28388,114,-0.5142,320,1.43080
ENSG00000067606,PRKCZ,72,-1.5436,79,-1.4183,153,-0.4087,175,-0.1980,223,0.19321,265,0.47149,329,0.83889,152,-0.4135,267,0.55652
ENSG00000162585,FAAP20,43,0.19216,44,0.25448,94,1.55803,16,-1.3056,21,-0.9226,41,0.13131,48,0.37436,20,-0.9983,26,-0.6388
ENSG00000157933,SKI,23,-0.4011,36,0.30055,51,0.88229,47,0.74573,67,1.38569,29,-0.0328,18,-0.7811,6,-2.2957,10,-1.7510
ENSG00000157916,RER1,61,0.23816,20,-1.4568,50,-0.0743,37,-0.5522,54,0.03134,79,0.65534,20,-1.4664,51,-0.0572,78,0.73118
ENSG00000157911,PEX10,37,0.54171,29,0.11816,29,0.12196,13,-1.0793,33,0.36968,28,0.08865,16,-0.7964,10,-1.4340,35,0.52453
ENSG00000157870,PRXL2B,5,-3.1403,14,-1.6328,85,1.23294,9,-2.1922,43,0.06834,62,0.67888,35,-0.2417,37,-0.1430,59,0.70452
ENSG00000158109,TPRG1L,63,-1.6460,42,-2.2401,165,-0.1837,178,-0.0649,201,0.13762,219,0.27215,266,0.59571,188,0.02308,264,0.67418
ENSG00000130764,LRRC47,18,-2.0018,10,-2.8912,52,-0.4439,99,0.60479,82,0.28896,59,-0.2392,96,0.53842,73,0.09145,99,0.69299
ENSG00000116198,CEP104,57,0.51060,130,2.00601,23,-0.9248,50,0.30343,31,-0.4697,22,-0.9980,33,-0.3754,37,-0.1979,17,-1.4338
ENSG00000196581,AJAP1,23,-1.0314,19,-1.2997,41,-0.1168,120,1.71016,59,0.45075,23,-1.0343,15,-1.6426,45,-0.0037,51,0.24263
ENSG00000069424,KCNAB2,22,-3.4782,47,-2.3946,306,0.46196,217,-0.0942,283,0.33610,315,0.51287,284,0.33907,176,-0.4222,326,0.65727
ENSG00000116254,CHD5,63,-2.1677,90,-1.6337,322,0.33450,507,1.11139,384,0.63149,254,-0.0493,289,0.15856,302,0.23311,203,-0.4449
ENSG00000116251,RPL22,674,0.04133,1289,1.13602,876,0.47059,594,-0.1591,339,-1.0297,820,0.35981,768,0.25363,359,-0.9394,424,-0.7545
ENSG00000116237,ICMT,32,0.05838,7,-2.2412,33,0.09559,7,-2.1677,7,-2.2725,57,1.00120,31,0.01745,47,0.66747,45,0.69111
ENSG00000097021,ACOT7,59,-2.1995,41,-2.7401,111,-1.2688,129,-1.0522,239,-0.0955,303,0.28917,253,0.00064,413,0.80922,492,1.34464
ENSG00000171680,PLEKHG5,2,-3.2199,3,-3.0746,39,0.78142,13,-0.9452,50,1.22188,20,-0.3220,17,-0.5373,14,-0.8350,42,1.06289
ENSG00000162408,NOL9,18,-0.2959,21,-0.0474,24,0.20692,5,-2.0679,14,-0.6832,29,0.46800,46,1.29722,18,-0.3059,20,-0.1339
ENSG00000162413,KLHL21,16,-0.3301,8,-1.4307,17,-0.2795,9,-1.2445,23,0.21205,31,0.71124,26,0.42144,17,-0.2533,27,0.54904
