Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to10,Feature log2 fold change topic 6to10
ENSG00000228794,LINC01128,21,-0.7071,10,-1.7425,27,-0.3325,59,0.94920,37,0.35879
ENSG00000188976,NOC2L,33,-0.9016,31,-0.9700,22,-1.5901,60,0.04754,84,1.29537
ENSG00000188290,HES4,6,-2.4277,23,-0.4361,36,0.28791,17,-0.8679,38,0.66141
ENSG00000187608,ISG15,28,-0.3957,32,-0.2089,47,0.47329,16,-1.2375,39,0.18360
ENSG00000188157,AGRN,26,-0.0785,38,0.51200,28,0.00659,26,-0.1020,26,-0.1532
ENSG00000078808,SDF4,60,0.01954,56,-0.1000,56,-0.0850,53,-0.1711,62,0.14031
ENSG00000176022,B3GALT6,9,-1.2367,32,0.78679,15,-0.4845,21,0.08653,21,0.21386
ENSG00000160087,UBE2J2,35,-0.0776,26,-0.5215,34,-0.1334,32,-0.2176,41,0.34838
ENSG00000131584,ACAP3,72,-0.0833,59,-0.4014,65,-0.2640,91,0.29721,81,0.20258
ENSG00000127054,INTS11,40,-0.1689,48,0.13372,33,-0.4886,42,-0.0856,49,0.32097
ENSG00000224051,CPTP,6,-1.4734,15,-0.1938,15,-0.2558,26,0.64102,19,0.30220
ENSG00000107404,DVL1,14,-1.7407,48,0.10548,78,1.08242,42,-0.1062,38,-0.4577
ENSG00000175756,AURKAIP1,64,-1.5031,146,-0.2419,158,-0.1287,87,-1.0328,217,0.82246
ENSG00000221978,CCNL2,102,0.88431,72,0.28901,30,-1.1416,54,-0.1602,62,0.10428
ENSG00000242485,MRPL20,70,-1.2251,146,-0.0870,167,0.14535,96,-0.7463,179,0.47279
ENSG00000235098,ANKRD65,24,-0.0795,63,1.58992,24,-0.0381,15,-0.7865,20,-0.5976
ENSG00000179403,VWA1,115,1.69972,204,3.00442,14,-1.7680,8,-2.3920,15,-2.2437
ENSG00000197785,ATAD3A,4,-1.5855,3,-1.8188,9,-0.5483,17,0.51930,16,0.89564
ENSG00000205090,TMEM240,4,-2.3534,6,-1.7995,18,-0.2730,31,0.65209,26,0.75371
ENSG00000160075,SSU72,56,-1.5058,128,-0.2480,130,-0.2594,125,-0.2937,187,0.71187
ENSG00000228594,FNDC10,5,-2.7881,8,-1.9663,39,0.34783,29,-0.1597,40,0.73505
