Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,9,-1.8800,20,-0.5828,45,0.72009,45,0.82969,55,1.04850,32,0.17329,18,-0.7232,12,-1.2811
ENSG00000188976,NOC2L,22,-1.0996,49,0.20895,42,-0.0277,73,1.03799,39,-0.1682,60,0.54748,18,-1.3225,31,-0.5180
ENSG00000188290,HES4,12,-1.5476,37,0.33219,21,-0.5806,22,-0.5767,37,0.32477,47,0.73047,36,0.27837,58,1.07063
ENSG00000187608,ISG15,27,-0.5491,19,-1.0277,5,-2.8719,37,-0.0373,71,1.06430,57,0.69019,43,0.21268,52,0.51366
ENSG00000188157,AGRN,29,0.36851,32,0.49744,11,-1.2127,16,-0.6341,24,0.04278,44,1.00980,16,-0.5990,19,-0.3138
ENSG00000078808,SDF4,59,0.07572,48,-0.2533,62,0.16808,44,-0.4341,36,-0.6898,81,0.58944,67,0.28783,63,0.18221
ENSG00000176022,B3GALT6,11,-0.6954,8,-1.1405,21,0.42820,20,0.32661,27,0.80583,19,0.20340,16,-0.0589,12,-0.4117
ENSG00000160087,UBE2J2,26,-0.2516,42,0.53072,23,-0.4349,25,-0.3114,30,-0.0117,48,0.75871,19,-0.7369,38,0.35602
ENSG00000131584,ACAP3,62,-0.0344,134,1.26032,67,0.09267,37,-0.9028,54,-0.2545,82,0.42479,33,-1.0096,65,0.03829
ENSG00000127054,INTS11,32,-0.2879,37,-0.0383,27,-0.5194,39,0.01344,38,0.00670,54,0.54266,31,-0.3156,53,0.51819
ENSG00000224051,CPTP,11,-0.5323,3,-2.3119,6,-1.3352,23,0.81875,23,0.71508,22,0.62030,9,-0.8046,18,0.33044
ENSG00000107404,DVL1,32,-0.4710,31,-0.4835,22,-1.0120,20,-1.2396,60,0.59808,75,0.97444,51,0.31422,76,0.99279
ENSG00000175756,AURKAIP1,102,-0.7551,72,-1.2180,67,-1.3265,211,0.54521,240,0.68683,193,0.32668,150,-0.0858,232,0.63191
ENSG00000221978,CCNL2,58,-0.0695,108,0.95335,85,0.56066,56,-0.1413,37,-0.7469,55,-0.1397,62,0.03920,29,-1.1158
ENSG00000242485,MRPL20,121,-0.2203,50,-1.5349,90,-0.6659,163,0.31238,144,0.07444,179,0.42294,190,0.52285,154,0.18283
ENSG00000235098,ANKRD65,46,0.59432,18,-0.9586,19,-0.8297,18,-0.9843,36,0.11026,48,0.59077,26,-0.3980,58,0.90948
ENSG00000179403,VWA1,173,3.13643,25,-1.0755,29,-0.8249,6,-3.3018,3,-4.0421,9,-2.5215,32,-0.6988,45,-0.1841
ENSG00000197785,ATAD3A,11,-0.5453,20,0.47131,18,0.27825,8,-1.0901,20,0.45986,33,1.33742,9,-0.7759,12,-0.2824
ENSG00000205090,TMEM240,5,-2.1168,14,-0.4893,16,-0.3212,22,0.17469,33,0.82227,47,1.47112,17,-0.2360,17,-0.2676
ENSG00000160075,SSU72,75,-0.9220,81,-0.7343,84,-0.6753,183,0.65257,169,0.43048,184,0.57483,129,-0.0050,132,0.02762
ENSG00000228594,FNDC10,4,-2.6057,14,-0.5565,0,-4.6656,29,0.65282,29,0.58097,33,0.80204,38,1.05301,23,0.17759
ENSG00000272106,AL691432.2,17,0.30154,5,-1.6748,13,-0.1974,8,-0.8971,14,-0.0122,43,1.87275,5,-1.6283,15,0.01560
ENSG00000197530,MIB2,19,-0.7410,34,0.26763,27,-0.1178,19,-0.6961,28,-0.0595,49,0.88555,25,-0.1945,49,0.88421
ENSG00000248333,CDK11B,69,0.67209,60,0.34737,42,-0.2227,47,-0.0524,33,-0.5808,50,0.05667,46,-0.0839,20,-1.3249
ENSG00000189339,SLC35E2B,16,-0.2315,25,0.46619,17,-0.1314,10,-0.9930,24,0.39287,24,0.40721,19,0.00784,25,0.44610
ENSG00000008128,CDK11A,36,0.54413,50,1.05350,23,-0.2380,27,0.03637,16,-0.7791,14,-0.9638,20,-0.4110,17,-0.7134
ENSG00000215790,SLC35E2A,11,-0.6503,16,0.05362,19,0.30552,9,-0.9852,25,0.73413,14,-0.2394,16,0.01484,30,1.01531
ENSG00000008130,NADK,17,-0.4057,23,0.03859,18,-0.2750,19,-0.2218,28,0.35624,26,0.27765,16,-0.5192,36,0.80972
ENSG00000078369,GNB1,245,-1.0370,224,-1.0893,406,-0.1690,467,0.06214,590,0.43635,611,0.49559,610,0.49313,647,0.59219
ENSG00000187730,GABRD,2,-5.9562,84,-0.7262,46,-1.6313,226,1.03481,252,1.07014,342,1.63139,80,-0.7865,72,-0.9622
ENSG00000067606,PRKCZ,85,-1.4232,154,-0.4100,161,-0.3417,234,0.28943,349,0.93003,254,0.38886,256,0.40150,186,-0.1122
ENSG00000162585,FAAP20,34,0.06197,29,-0.2110,15,-1.2287,18,-1.0111,48,0.60912,24,-0.4644,59,0.96583,50,0.69078
ENSG00000157933,SKI,27,0.48661,48,1.38764,8,-1.3916,12,-0.9159,28,0.46401,9,-1.2093,9,-1.2038,28,0.46483
ENSG00000157916,RER1,74,0.31742,54,-0.2174,53,-0.2578,69,0.19803,56,-0.1695,80,0.41027,37,-0.8130,55,-0.1803
ENSG00000157911,PEX10,39,0.92298,7,-1.7995,12,-1.0252,23,-0.1116,28,0.23796,23,-0.1133,9,-1.5528,40,0.80246
ENSG00000149527,PLCH2,24,1.31144,6,-1.0265,0,-3.9360,3,-2.0959,10,-0.3614,37,1.88162,7,-0.8583,9,-0.4529
ENSG00000157881,PANK4,6,-1.0582,0,-7.4463,10,-0.2255,17,0.64081,19,0.72824,23,1.01876,3,-1.7943,19,0.71956
ENSG00000157870,PRXL2B,13,-1.7733,33,-0.2403,30,-0.4189,44,0.24129,64,0.81328,70,0.96549,35,-0.1621,43,0.13986
ENSG00000177133,PRDM16-DT,10,-1.1913,51,1.59492,2,-3.3660,5,-2.0725,10,-1.0044,11,-0.9432,22,0.14066,75,2.38374
ENSG00000158109,TPRG1L,43,-2.1457,94,-0.8571,129,-0.3625,211,0.48525,317,1.12174,238,0.62524,176,0.12293,164,0.01586
ENSG00000116213,WRAP73,10,-0.5180,27,1.13039,21,0.68242,9,-0.6080,11,-0.3815,20,0.58865,6,-1.2305,13,-0.0567
ENSG00000130764,LRRC47,40,-0.8711,85,0.37295,57,-0.2511,96,0.68202,85,0.37561,69,0.03955,36,-0.9753,67,0.00533
ENSG00000116198,CEP104,81,1.39387,68,0.84067,47,0.24323,18,-1.3652,13,-1.7296,25,-0.7591,34,-0.2912,22,-0.9161
ENSG00000196581,AJAP1,19,-1.2224,49,0.37936,92,1.46760,28,-0.5589,49,0.37885,58,0.64712,23,-0.7994,24,-0.7405
ENSG00000069424,KCNAB2,20,-3.3125,90,-0.9588,140,-0.2716,219,0.50741,318,1.08434,310,1.03537,122,-0.4954,210,0.37140
ENSG00000116254,CHD5,33,-2.4311,208,0.52512,263,0.92675,167,0.18705,153,0.03010,158,0.07321,199,0.45451,125,-0.2918
ENSG00000116251,RPL22,672,0.41927,360,-0.6245,355,-0.6486,362,-0.6788,493,-0.1331,444,-0.2985,925,0.90784,716,0.47301
ENSG00000116237,ICMT,20,-0.9647,19,-0.9744,35,-0.0347,47,0.46284,70,1.09236,45,0.36641,27,-0.4431,31,-0.2319
ENSG00000097021,ACOT7,43,-2.4308,67,-1.6285,172,-0.1904,426,1.64978,233,0.30017,337,0.92071,107,-0.9284,84,-1.2931
ENSG00000215788,TNFRSF25,2,-2.6039,30,1.30613,13,-0.0671,17,0.44021,9,-0.6671,25,1.01743,6,-1.1758,13,-0.0015
ENSG00000171680,PLEKHG5,0,-5.3037,7,-1.2866,19,0.14984,20,0.25672,40,1.44974,43,1.55431,11,-0.5978,11,-0.7213
ENSG00000162408,NOL9,18,-0.4635,20,-0.2535,31,0.39825,21,-0.2539,30,0.35479,26,0.12039,42,0.91603,13,-0.9405
ENSG00000162413,KLHL21,27,0.32887,23,-0.0048,17,-0.4167,18,-0.3646,13,-0.8898,25,0.16991,24,0.04659,35,0.68179
ENSG00000041988,THAP3,12,-0.5619,17,0.02969,18,0.08435,21,0.34444,15,-0.2203,36,1.21840,12,-0.5752,7,-1.2347
ENSG00000007923,DNAJC11,15,-1.2867,35,0.11093,41,0.39507,34,0.07372,49,0.68221,50,0.71187,23,-0.5445,28,-0.2024
ENSG00000171735,CAMTA1,149,-1.4200,368,0.08618,627,0.98235,389,0.20180,418,0.29323,334,-0.0674,390,0.18044,272,-0.3896
ENSG00000049245,VAMP3,150,2.73201,39,-0.3262,28,-0.8035,6,-3.1156,8,-2.6561,19,-1.4355,32,-0.6084,39,-0.3185
ENSG00000049246,PER3,71,1.36040,35,-0.0391,29,-0.3294,16,-1.3709,23,-0.6744,35,-0.0571,32,-0.1579,32,-0.1690
ENSG00000116288,PARK7,210,-0.5896,136,-1.1952,175,-0.8162,368,0.41701,345,0.25465,441,0.66448,314,0.10118,378,0.40656
ENSG00000116285,ERRFI1,18,-0.5836,22,-0.2505,26,0.03490,34,0.52482,35,0.49911,29,0.21056,20,-0.3515,19,-0.4520
ENSG00000162426,SLC45A1,5,-2.5613,30,0.11302,40,0.57761,48,1.02603,29,0.03215,50,0.92536,11,-1.3924,15,-0.9156
ENSG00000142599,RERE,122,0.04449,168,0.56137,147,0.33903,77,-0.7392,103,-0.2300,131,0.15373,118,-0.0173,125,0.08148
ENSG00000074800,ENO1,323,-0.6293,306,-0.6551,290,-0.7354,641,0.61199,482,0.06046,580,0.36414,290,-0.7332,763,0.82370
ENSG00000171612,SLC25A33,23,-0.4989,31,0.00704,10,-1.7245,29,-0.0745,37,0.30851,20,-0.6111,15,-1.0957,88,1.85475
ENSG00000171603,CLSTN1,168,-2.1569,418,-0.6577,941,0.64428,1046,0.97278,704,0.16561,1043,0.82080,378,-0.8131,442,-0.5698
ENSG00000178585,CTNNBIP1,28,-0.2400,12,-1.4661,36,0.18321,21,-0.6930,39,0.30742,43,0.44639,39,0.31607,54,0.84931
ENSG00000162441,LZIC,122,1.21485,77,0.25123,51,-0.3928,36,-1.0219,45,-0.6127,46,-0.5492,67,0.02972,58,-0.2003
