Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,7,-2.3252,21,-0.6859,31,-0.1052,46,0.58902,38,0.18828,37,0.20875,35,0.07104,32,-0.0762
ENSG00000188976,NOC2L,21,-1.1722,25,-0.8860,46,0.03617,50,0.18104,63,0.52960,49,0.14306,68,0.66224,28,-0.7443
ENSG00000188290,HES4,4,-2.8100,77,1.55826,12,-1.3482,15,-1.1390,36,0.28029,33,0.13966,47,0.68136,30,-0.0132
ENSG00000187608,ISG15,80,-0.6949,577,2.84555,21,-2.6421,42,-1.7477,74,-0.8199,96,-0.4981,112,-0.1766,139,0.16965
ENSG00000188157,AGRN,15,-0.2529,29,0.79976,22,0.35655,10,-0.9120,18,0.02490,16,-0.2465,28,0.69208,16,-0.1328
ENSG00000078808,SDF4,44,-0.4037,49,-0.2239,44,-0.4140,33,-0.9073,61,0.11718,77,0.63584,66,0.22632,65,0.22070
ENSG00000176022,B3GALT6,8,-1.2074,6,-1.4855,7,-1.4284,15,-0.2498,21,0.27035,21,0.32670,43,1.46603,17,-0.0737
ENSG00000160087,UBE2J2,12,-1.4650,37,0.16983,19,-0.8889,31,-0.1213,29,-0.2288,38,0.25189,61,0.98433,33,-0.0058
ENSG00000131584,ACAP3,77,0.27032,42,-0.6707,87,0.47485,46,-0.5769,58,-0.1648,52,-0.4186,139,1.27990,61,-0.1021
ENSG00000127054,INTS11,25,-0.4970,25,-0.5039,35,-0.0010,24,-0.6258,52,0.63699,44,0.44082,43,0.31176,26,-0.4340
ENSG00000224051,CPTP,12,-0.4992,14,-0.2812,5,-1.7974,17,0.04426,20,0.30010,21,0.51508,22,0.45929,11,-0.5461
ENSG00000107404,DVL1,30,-0.4175,55,0.52834,37,-0.0881,18,-1.2237,47,0.30075,46,0.31334,28,-0.5082,60,0.68150
ENSG00000175756,AURKAIP1,103,-0.4159,64,-1.1415,71,-0.9870,104,-0.4424,156,0.24379,209,0.97247,98,-0.4861,150,0.18257
ENSG00000221978,CCNL2,61,0.20032,46,-0.2536,77,0.58049,24,-1.3251,57,0.09772,60,0.21965,79,0.63078,43,-0.3379
ENSG00000242485,MRPL20,100,-0.4186,114,-0.2087,98,-0.4503,106,-0.3503,151,0.23965,180,0.68008,96,-0.4721,123,-0.0887
ENSG00000235098,ANKRD65,42,0.61302,25,-0.2249,15,-0.9702,27,-0.1024,37,0.41941,30,0.07822,20,-0.5226,32,0.18087
