Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000228794,LINC01128,28,-0.3629,9,-1.9910,24,-0.6333,36,-0.0213,68,1.02373,43,0.28483,54,0.64970,49,0.54890,21,-0.8059,23,-0.6696,31,-0.2298,31,-0.2065
ENSG00000188976,NOC2L,57,-0.0154,51,-0.1882,84,0.60368,91,0.72380,96,0.81900,44,-0.4147,35,-0.7329,37,-0.7171,45,-0.3870,19,-1.6610,102,0.92320,49,-0.2397
ENSG00000188290,HES4,111,2.51909,7,-1.8958,10,-1.4233,13,-1.0137,25,-0.0352,32,0.32328,9,-1.5325,15,-0.8799,10,-1.4229,18,-0.5364,28,0.10334,45,0.85364
ENSG00000187608,ISG15,31,0.73940,13,-0.6037,1,-4.0644,8,-1.2873,12,-0.7427,20,0.05690,4,-2.2549,12,-0.7294,18,-0.1181,21,0.16366,47,1.45876,51,1.59997
ENSG00000188157,AGRN,9,-0.8277,17,0.03333,1,-3.2201,22,0.44818,6,-1.4927,27,0.82102,32,1.06137,14,-0.2134,18,0.16776,18,0.14346,8,-0.9542,24,0.62261
ENSG00000078808,SDF4,52,-0.3962,52,-0.3798,77,0.21001,81,0.30594,84,0.35586,53,-0.3743,55,-0.2914,54,-0.3679,53,-0.3508,74,0.15676,121,0.94100,62,-0.1319
ENSG00000176022,B3GALT6,7,-1.3432,11,-0.7376,28,0.63411,26,0.52260,25,0.46692,8,-1.2583,19,0.05265,20,0.14130,24,0.38966,9,-1.0211,11,-0.7553,32,0.85158
ENSG00000160087,UBE2J2,48,0.22401,30,-0.4896,46,0.15308,37,-0.1757,34,-0.3170,41,-0.0239,22,-0.9874,32,-0.4399,55,0.44560,23,-0.8815,86,1.17847,55,0.42941
ENSG00000131584,ACAP3,31,-1.6370,85,-0.1071,147,0.76556,189,1.18641,111,0.31197,50,-0.9025,47,-1.0028,93,0.02838,99,0.12855,48,-0.9576,93,0.02858,98,0.11601
ENSG00000127054,INTS11,86,1.00553,49,0.10717,44,-0.0734,44,-0.0728,52,0.20530,18,-1.4144,34,-0.4533,32,-0.5637,39,-0.2256,34,-0.4376,55,0.30243,75,0.77698
ENSG00000224051,CPTP,43,0.91437,20,-0.3348,46,0.99557,23,-0.1100,35,0.58666,5,-2.4027,17,-0.5579,20,-0.3022,30,0.33622,7,-1.8855,27,0.13264,25,0.02855
ENSG00000107404,DVL1,67,0.11917,49,-0.3618,85,0.49488,56,-0.1652,39,-0.7132,75,0.28604,24,-1.4169,53,-0.2621,95,0.67227,58,-0.1047,73,0.24874,81,0.41623
ENSG00000175756,AURKAIP1,23,-2.2635,113,0.09049,76,-0.5232,47,-1.2360,83,-0.3896,115,0.11757,97,-0.1356,114,0.11311,119,0.18192,159,0.63675,163,0.68065,161,0.65508
ENSG00000221978,CCNL2,99,0.74643,74,0.28104,78,0.36804,109,0.90873,60,-0.0565,39,-0.6959,34,-0.8963,55,-0.1909,55,-0.1904,36,-0.8104,77,0.34717,32,-0.9857
ENSG00000242485,MRPL20,138,0.01388,128,-0.0959,101,-0.4643,106,-0.3833,106,-0.3900,181,0.44902,98,-0.5058,141,0.04902,121,-0.1832,170,0.34519,158,0.22459,186,0.48619
ENSG00000235098,ANKRD65,0,-5.9356,24,0.29708,22,0.11556,10,-0.9566,15,-0.4733,27,0.45655,11,-0.9360,34,0.91996,15,-0.3935,28,0.53542,17,-0.2077,24,0.24928
ENSG00000179403,VWA1,28,-0.2319,98,1.82041,117,2.15635,11,-1.6098,11,-1.6350,4,-3.0006,9,-1.8885,9,-1.9275,27,-0.2781,33,0.03219,47,0.56396,22,-0.5934
ENSG00000205090,TMEM240,38,0.02055,13,-1.6188,34,-0.1369,63,0.81682,70,1.00686,7,-2.3930,14,-1.4581,37,-0.0205,43,0.22359,17,-1.1958,76,1.12695,39,0.04059
ENSG00000160075,SSU72,95,-0.7034,77,-1.0304,178,0.25888,94,-0.7214,182,0.29255,197,0.42123,116,-0.4131,151,-0.0039,148,-0.0300,134,-0.1875,220,0.59519,221,0.60507
ENSG00000228594,FNDC10,0,-5.9497,1,-4.4258,7,-1.8972,12,-1.1932,65,1.43071,20,-0.4516,32,0.28174,17,-0.6960,62,1.34597,36,0.45224,40,0.61096,40,0.62571
ENSG00000272106,AL691432.2,0,-5.8538,26,0.48004,31,0.76011,11,-0.8172,11,-0.8286,15,-0.3839,6,-1.7493,29,0.77810,19,-0.0191,16,-0.2443,20,0.09666,34,0.90948
ENSG00000197530,MIB2,26,-0.0799,23,-0.2871,31,0.14690,22,-0.3481,24,-0.1962,18,-0.6696,20,-0.4635,30,0.12500,44,0.72264,25,-0.1353,40,0.57281,27,-0.0324
ENSG00000248333,CDK11B,209,1.46141,154,0.93814,33,-1.4441,78,-0.1395,79,-0.1209,82,-0.0696,187,1.27166,51,-0.8552,54,-0.6985,55,-0.6748,37,-1.2667,44,-0.9953
ENSG00000189339,SLC35E2B,17,-0.8446,18,-0.8040,19,-0.7127,37,0.28629,32,0.08911,28,-0.1363,26,-0.2630,33,0.13247,45,0.61490,35,0.22265,42,0.49977,31,0.04634
ENSG00000008128,CDK11A,241,2.64383,169,1.92152,25,-1.1416,60,0.16882,36,-0.6084,36,-0.6303,24,-1.2146,26,-1.1481,14,-1.9529,17,-1.7164,14,-2.0292,11,-2.3257
ENSG00000215790,SLC35E2A,1,-3.3936,2,-2.9036,0,-6.7988,18,0.13262,14,-0.2420,13,-0.3776,19,0.25171,23,0.55220,25,0.65395,21,0.36867,13,-0.3609,43,1.54692
