Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to11,Feature log2 fold change topic 7to11
ENSG00000228794,LINC01128,12,-1.4591,17,-0.8998,34,0.12813,19,-0.7907,57,0.95436,35,0.27265
ENSG00000188976,NOC2L,40,-0.1980,19,-1.2759,41,-0.1759,46,0.02666,48,0.10514,52,0.41448
ENSG00000188290,HES4,30,-0.2843,87,1.44685,30,-0.3349,14,-1.4882,33,-0.1725,36,-0.0603
ENSG00000187608,ISG15,36,0.02172,66,1.03519,30,-0.2923,1,-4.6185,16,-1.1484,42,0.47661
ENSG00000188157,AGRN,23,0.31070,39,1.15120,20,0.03990,11,-0.8383,23,0.26992,15,-0.5583
ENSG00000078808,SDF4,64,0.33564,66,0.39024,45,-0.2610,29,-0.9105,67,0.40965,51,-0.0389
ENSG00000176022,B3GALT6,17,-0.5247,26,0.09400,14,-0.8999,28,0.19801,24,-0.0612,29,0.50472
ENSG00000160087,UBE2J2,24,-0.3105,13,-1.2142,30,0.06770,45,0.68224,37,0.36239,29,-0.0674
ENSG00000131584,ACAP3,68,0.21148,66,0.15438,84,0.62418,26,-1.2902,105,0.90850,45,-0.6706
ENSG00000127054,INTS11,37,0.13400,31,-0.1576,29,-0.2934,11,-1.6629,36,0.07250,41,0.49201
ENSG00000224051,CPTP,13,-0.4278,19,0.10180,20,0.21082,6,-1.4995,19,0.13661,19,0.24063
ENSG00000107404,DVL1,38,-0.4005,92,0.99844,65,0.47301,46,-0.1173,39,-0.3686,41,-0.4983
ENSG00000175756,AURKAIP1,83,-1.0202,209,0.41559,167,0.06548,152,-0.0934,102,-0.7051,178,0.28133
ENSG00000221978,CCNL2,54,0.24187,24,-1.0149,56,0.33804,36,-0.3598,62,0.48713,44,-0.1284
ENSG00000242485,MRPL20,125,-0.3970,194,0.30200,172,0.11868,131,-0.3281,150,-0.1097,165,0.07053
