Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,8,-2.1650,21,-0.7635,29,-0.2878,43,0.36714,35,0.02219,41,0.38089,34,-0.0327,51,0.64558
ENSG00000188976,NOC2L,27,-0.7539,24,-0.9242,67,0.69665,51,0.23619,20,-1.1701,57,0.55180,46,0.09084,33,-0.4373
ENSG00000188290,HES4,9,-1.7291,41,0.67238,32,0.26873,42,0.70714,35,0.37722,29,0.11663,19,-0.5627,8,-1.7392
ENSG00000187608,ISG15,39,0.66984,28,0.11611,11,-1.2457,6,-2.2289,30,0.20993,34,0.58157,24,-0.1474,20,-0.3812
ENSG00000188157,AGRN,15,-0.2266,20,0.26993,19,0.17776,21,0.37485,12,-0.4805,21,0.49415,11,-0.7115,7,-1.2772
ENSG00000078808,SDF4,46,0.09288,42,-0.0604,47,0.12332,57,0.43150,45,0.04110,46,0.11221,28,-0.6861,33,-0.4399
ENSG00000176022,B3GALT6,9,-1.2227,26,0.46685,24,0.34729,16,-0.2671,13,-0.6130,21,0.18347,26,0.44197,17,-0.2247
ENSG00000160087,UBE2J2,19,-0.7307,26,-0.2717,27,-0.2220,55,0.92019,32,0.05126,35,0.24733,29,-0.1171,18,-0.8280
ENSG00000131584,ACAP3,39,-0.4232,46,-0.1610,86,0.86989,104,1.20663,29,-0.8721,41,-0.4237,55,0.14107,26,-1.0275
ENSG00000169972,PUSL1,12,0.34345,10,0.08298,8,-0.2452,14,0.54358,12,0.29103,10,0.00436,10,0.00750,2,-2.0991
ENSG00000127054,INTS11,30,-0.2964,43,0.26193,26,-0.5086,51,0.55155,32,-0.1946,42,0.30418,41,0.19226,14,-1.4230
ENSG00000224051,CPTP,8,-0.9511,8,-1.1049,31,1.07517,11,-0.5174,12,-0.4721,21,0.57851,15,-0.1252,12,-0.3941
ENSG00000107404,DVL1,31,-0.4588,77,1.02947,71,0.89655,60,0.59310,32,-0.3966,30,-0.6038,31,-0.4514,21,-1.0058
ENSG00000175756,AURKAIP1,100,-0.5751,188,0.42673,106,-0.4878,170,0.25711,175,0.30717,180,0.46858,66,-1.2214,103,-0.5310
ENSG00000221978,CCNL2,56,0.11205,19,-1.5081,52,-0.0174,63,0.30996,44,-0.2602,52,-0.0156,104,1.15663,28,-0.9591
ENSG00000242485,MRPL20,99,-0.5731,194,0.49758,129,-0.1673,137,-0.0693,218,0.69672,138,-0.0652,101,-0.5499,136,-0.0757
ENSG00000235098,ANKRD65,34,0.56102,41,0.84653,28,0.24485,19,-0.3758,46,1.05195,18,-0.5189,8,-1.6604,11,-1.2044
ENSG00000179403,VWA1,96,2.56557,28,0.27128,11,-1.1766,35,0.60700,7,-1.7183,15,-0.8656,10,-1.3275,6,-1.9517
ENSG00000205090,TMEM240,8,-1.5266,10,-1.1316,30,0.49587,19,-0.2186,14,-0.6315,26,0.39418,36,0.80782,22,0.03058
ENSG00000160075,SSU72,66,-0.9292,136,0.21741,127,0.09491,118,-0.0157,148,0.34861,139,0.33101,80,-0.6331,100,-0.2714
ENSG00000228594,FNDC10,5,-2.1488,20,-0.0781,48,1.34033,22,0.00668,17,-0.3213,25,0.28725,19,-0.1649,9,-1.2339
ENSG00000272106,AL691432.2,14,-0.2364,15,-0.1618,12,-0.4973,28,0.82521,26,0.69268,18,0.11439,10,-0.7863,9,-0.8963
ENSG00000197530,MIB2,7,-1.4682,31,0.71038,14,-0.5420,22,0.11704,18,-0.1868,27,0.61673,22,0.12498,7,-1.5920
ENSG00000248333,CDK11B,110,0.86672,28,-1.2586,96,0.64221,52,-0.3352,24,-1.5283,40,-0.9180,112,0.90076,107,0.82681
ENSG00000189339,SLC35E2B,14,-0.7768,39,0.81208,27,0.19371,32,0.47580,27,0.22827,19,-0.4078,31,0.45075,9,-1.4880
ENSG00000008128,CDK11A,73,0.99239,19,-1.1204,29,-0.5155,29,-0.4802,16,-1.4154,28,-0.7019,102,1.60982,49,0.33179
ENSG00000215790,SLC35E2A,11,-1.2791,32,0.36318,32,0.39216,29,0.23317,26,0.05683,22,-0.2400,39,0.69547,16,-0.6518
ENSG00000008130,NADK,15,-0.2778,25,0.50028,15,-0.3312,22,0.34621,17,-0.0987,23,0.52117,9,-1.0567,9,-1.0848
ENSG00000078369,GNB1,168,-1.5561,710,0.70901,441,-0.0734,549,0.28061,499,0.12507,541,0.33816,277,-0.7973,350,-0.4362
ENSG00000187730,GABRD,7,-4.1497,55,-1.1759,115,-0.0429,82,-0.5700,168,0.58068,185,1.05044,80,-0.6026,117,-0.0160
ENSG00000067606,PRKCZ,83,-1.2141,169,-0.1194,409,1.37923,186,0.03034,177,-0.0496,176,-0.0685,171,-0.0967,98,-0.9555
ENSG00000162585,FAAP20,44,0.52189,63,1.11578,21,-0.6324,40,0.36467,35,0.16242,27,-0.3039,20,-0.7406,14,-1.2155
ENSG00000157933,SKI,39,0.55446,40,0.62032,49,0.94028,19,-0.5638,24,-0.2283,16,-1.0164,30,0.13064,27,-0.0277
ENSG00000157916,RER1,45,-0.1261,48,-0.0140,43,-0.1890,52,0.11103,53,0.14185,63,0.57430,31,-0.6774,23,-1.1149
ENSG00000157911,PEX10,25,0.49019,41,1.35031,7,-1.4123,13,-0.5278,19,0.04287,19,0.09491,14,-0.4378,7,-1.4107
ENSG00000149527,PLCH2,14,0.71811,19,1.23453,3,-1.5170,7,-0.3224,11,0.34882,10,0.19354,3,-1.4572,2,-1.9758
ENSG00000157881,PANK4,5,-0.9733,9,-0.2678,7,-0.4740,5,-1.0041,15,0.59314,17,1.18826,6,-0.9072,4,-1.3479
ENSG00000197921,HES5,1,-3.3018,32,1.96683,2,-2.4216,2,-2.1781,17,0.84435,10,-0.0295,15,0.61004,3,-1.6266
ENSG00000157870,PRXL2B,13,-1.8464,29,-0.6425,59,0.51340,37,-0.2563,50,0.24944,57,0.59503,39,-0.1517,35,-0.3338
ENSG00000177133,PRDM16-DT,3,-2.1720,39,1.53950,12,-0.3894,7,-1.1469,24,0.69698,10,-0.8420,34,1.29007,7,-1.1851
ENSG00000142611,PRDM16,12,-0.0947,22,0.82841,7,-1.0069,15,0.20008,11,-0.3279,6,-1.4706,42,2.03646,6,-1.1706
ENSG00000158109,TPRG1L,58,-1.7461,120,-0.6489,275,0.68036,203,0.17917,191,0.07806,231,0.52094,118,-0.6773,160,-0.2009
ENSG00000116213,WRAP73,7,-0.5293,16,0.73459,8,-0.4168,4,-1.3742,9,-0.1584,17,1.06215,3,-1.7005,6,-0.8333
ENSG00000130764,LRRC47,43,-0.7706,62,-0.2161,93,0.44489,82,0.23196,66,-0.1100,90,0.53009,62,-0.2205,29,-1.3394
ENSG00000116198,CEP104,102,1.67929,27,-0.5409,33,-0.2339,35,-0.1516,11,-1.9168,27,-0.6429,38,-0.0273,57,0.63429
ENSG00000198912,C1orf174,8,-0.6686,9,-0.5557,9,-0.4071,25,1.13288,13,0.01702,14,0.20820,11,-0.1587,8,-0.5973
ENSG00000196581,AJAP1,18,-1.3939,17,-1.5528,62,0.46928,68,0.61917,43,-0.1113,44,-0.1034,64,0.53024,59,0.39061
ENSG00000069424,KCNAB2,23,-2.7003,151,0.12908,187,0.48077,116,-0.2925,156,0.18944,180,0.56321,101,-0.5081,118,-0.2621
ENSG00000116254,CHD5,62,-2.0657,132,-0.9331,487,1.19683,235,-0.0277,123,-1.0357,180,-0.5613,443,1.02813,376,0.74146
ENSG00000116251,RPL22,700,0.52104,908,0.96601,328,-0.6874,541,0.09792,680,0.47318,337,-0.7874,381,-0.4560,539,0.09150
ENSG00000116237,ICMT,17,-1.1394,33,-0.1538,30,-0.3037,32,-0.1916,40,0.15733,53,0.87069,21,-0.8637,30,-0.2998
