Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,33,-0.2752,48,0.32726,58,0.66118,36,-0.1444,35,-0.1854,41,0.08550,77,1.15297,12,-1.8331,13,-1.7172
ENSG00000188976,NOC2L,51,0.21068,39,-0.2291,39,-0.2285,76,0.90826,63,0.55966,74,0.85561,28,-0.7450,18,-1.3755,14,-1.7670
ENSG00000078808,SDF4,35,-0.4965,43,-0.1911,35,-0.5059,51,0.08438,65,0.48673,61,0.38303,33,-0.6060,60,0.35598,52,0.11156
ENSG00000131584,ACAP3,78,-0.1187,59,-0.5693,20,-2.1682,164,1.13563,199,1.49590,75,-0.1830,22,-2.0697,57,-0.6120,85,0.01564
ENSG00000127054,INTS11,38,0.12352,33,-0.0819,23,-0.6672,54,0.73897,52,0.66723,51,0.61538,10,-1.8740,30,-0.2625,23,-0.6191
ENSG00000107404,DVL1,82,0.71366,46,-0.2264,15,-1.9475,18,-1.6537,76,0.58096,41,-0.4015,60,0.18982,58,0.12795,84,0.76108
ENSG00000175756,AURKAIP1,79,-0.8021,190,0.60759,68,-1.0243,90,-0.6061,264,1.19224,123,-0.1083,193,0.63216,66,-1.0763,112,-0.2519
ENSG00000221978,CCNL2,31,-0.9342,43,-0.4569,22,-1.4750,70,0.34259,76,0.48300,73,0.41628,66,0.24164,78,0.52175,53,-0.1274
ENSG00000242485,MRPL20,82,-0.6949,185,0.61407,128,-0.0063,99,-0.4144,224,0.94306,134,0.07326,85,-0.6440,90,-0.5609,126,-0.0291
ENSG00000160075,SSU72,85,-0.5108,155,0.46012,106,-0.1564,100,-0.2458,186,0.77696,139,0.28823,104,-0.1899,64,-0.9521,114,-0.0440
ENSG00000248333,CDK11B,49,-0.4528,35,-0.9864,85,0.41813,106,0.81023,71,0.13802,32,-1.0888,54,-0.3105,121,1.04049,36,-0.9303
ENSG00000078369,GNB1,404,-0.2855,882,1.02410,410,-0.2642,343,-0.5458,576,0.28823,448,-0.1204,571,0.27491,194,-1.4151,520,0.11810
ENSG00000187730,GABRD,200,0.38266,127,-0.3566,169,0.10001,89,-0.9133,257,0.80992,349,1.36899,210,0.46142,7,-4.5835,21,-3.0656
ENSG00000067606,PRKCZ,203,0.04430,257,0.43587,188,-0.0817,149,-0.4454,388,1.15603,242,0.32991,176,-0.1828,89,-1.2442,86,-1.2940
ENSG00000157933,SKI,57,0.11869,41,-0.4070,30,-0.9191,123,1.45309,47,-0.2175,32,-0.7880,25,-1.1706,27,-1.0585,98,1.03200
ENSG00000157916,RER1,43,-0.2558,43,-0.2402,10,-2.3767,12,-2.1127,88,0.95349,61,0.31927,100,1.17222,48,-0.0559,46,-0.1538
ENSG00000157870,PRXL2B,42,-0.2297,85,0.94352,82,0.88228,37,-0.4333,51,0.08845,38,-0.3748,28,-0.8412,26,-0.9463,47,-0.0686
ENSG00000158109,TPRG1L,229,0.28927,315,0.83320,278,0.61269,132,-0.5910,174,-0.1620,323,0.87661,134,-0.5747,53,-1.9833,91,-1.1585
ENSG00000130764,LRRC47,67,-0.1765,94,0.37571,56,-0.4452,26,-1.6057,97,0.43015,93,0.35786,154,1.25046,32,-1.3195,52,-0.5595
ENSG00000116198,CEP104,38,-0.3373,15,-1.7730,44,-0.1094,78,0.85641,37,-0.3543,32,-0.6051,45,-0.0594,96,1.23248,37,-0.3886
ENSG00000196581,AJAP1,43,-0.6736,46,-0.5827,39,-0.8519,160,1.53378,63,-0.0876,111,0.85575,92,0.53942,30,-1.2527,16,-2.2011
ENSG00000069424,KCNAB2,196,0.44532,249,0.85718,120,-0.3521,127,-0.2685,228,0.70452,204,0.51211,97,-0.6927,29,-2.4686,97,-0.6811
ENSG00000116254,CHD5,524,0.74479,209,-0.7523,364,0.13077,626,1.06147,412,0.33581,360,0.11554,374,0.17540,24,-3.9217,130,-1.4751
ENSG00000116251,RPL22,268,-1.1844,847,0.65389,632,0.16077,286,-1.0886,448,-0.3906,217,-1.5050,600,0.07695,1108,1.13136,746,0.43677
ENSG00000097021,ACOT7,218,0.31587,173,-0.0587,147,-0.3193,96,-0.9849,300,0.86695,385,1.31785,244,0.51040,24,-3.0535,30,-2.7273
ENSG00000162408,NOL9,36,-0.1773,48,0.26668,30,-0.4891,55,0.51771,57,0.57819,40,-0.0253,40,-0.0066,33,-0.3395,25,-0.7552
ENSG00000007923,DNAJC11,57,0.59874,36,-0.1870,41,0.03211,36,-0.1760,56,0.55301,36,-0.1523,41,0.04579,14,-1.5813,43,0.10486
ENSG00000171735,CAMTA1,529,0.19606,386,-0.3120,592,0.38287,629,0.48270,407,-0.2292,611,0.43539,703,0.67386,181,-1.4762,187,-1.4343
ENSG00000049246,PER3,37,-0.1650,24,-0.8463,16,-1.4269,61,0.63129,68,0.81806,14,-1.5914,47,0.21272,51,0.33592,54,0.43824
ENSG00000116288,PARK7,111,-1.1443,395,0.90196,248,0.11163,92,-1.4261,254,0.15008,177,-0.4313,329,0.58428,178,-0.4203,300,0.42602
ENSG00000142599,RERE,113,-0.4090,129,-0.2072,160,0.14857,176,0.30655,167,0.21606,105,-0.5218,125,-0.2561,174,0.28621,167,0.21601
ENSG00000074800,ENO1,207,-0.9464,416,0.15631,204,-0.9682,299,-0.3734,304,-0.3462,377,-0.0040,484,0.40823,236,-0.7442,874,1.46597
ENSG00000171603,CLSTN1,676,0.05200,561,-0.2473,541,-0.3069,787,0.30157,850,0.43093,1213,1.05196,872,0.47427,128,-2.4854,264,-1.4106
ENSG00000162441,LZIC,61,-0.1579,61,-0.1470,57,-0.2654,54,-0.3409,29,-1.3123,35,-0.9901,66,-0.0276,165,1.58262,75,0.19313
ENSG00000130939,UBE4B,75,1.09985,39,-0.0243,20,-1.0682,45,0.22528,26,-0.6610,55,0.54345,14,-1.5392,54,0.50773,27,-0.6041
ENSG00000054523,KIF1B,580,-0.0172,346,-0.8299,606,0.05604,745,0.39707,558,-0.0779,528,-0.1684,528,-0.1658,876,0.67285,504,-0.2414
ENSG00000142657,PGD,63,0.50420,25,-0.9759,44,-0.0840,45,-0.0278,43,-0.1055,75,0.81295,62,0.46910,34,-0.4835,25,-0.9385
ENSG00000241563,CORT,14,-1.7898,90,1.20269,22,-1.0811,34,-0.4074,29,-0.6591,37,-0.2863,106,1.51295,23,-1.0314,45,0.02571
ENSG00000160049,DFFA,35,-0.9940,60,-0.1444,63,-0.0734,51,-0.4153,33,-1.0812,41,-0.7631,87,0.45102,120,1.00781,105,0.77572
ENSG00000120948,TARDBP,76,-0.1110,57,-0.5741,94,0.22618,97,0.26755,103,0.37797,79,-0.0683,47,-0.8763,112,0.51975,73,-0.1946
ENSG00000116649,SRM,54,0.46326,75,1.03618,30,-0.4836,13,-1.7159,31,-0.4305,44,0.10822,44,0.11173,31,-0.4112,45,0.14879
ENSG00000198793,MTOR,28,-0.6556,27,-0.7252,49,0.23898,78,1.04174,69,0.81491,42,-0.0131,27,-0.6942,18,-1.3350,43,0.03549
ENSG00000116661,FBXO2,49,-1.6534,169,0.27937,98,-0.5913,47,-1.7079,123,-0.2453,140,-0.0359,140,-0.0314,89,-0.7389,430,2.00355
ENSG00000132879,FBXO44,51,-0.5399,82,0.19957,52,-0.5359,69,-0.0643,148,1.23278,95,0.44543,100,0.52701,28,-1.4689,26,-1.5553
ENSG00000011021,CLCN6,55,-0.3182,62,-0.1088,42,-0.7122,53,-0.3610,70,0.08435,148,1.38191,42,-0.7278,53,-0.3576,74,0.17443
ENSG00000116685,KIAA2013,17,-1.4464,27,-0.7316,23,-0.9820,29,-0.6231,54,0.36761,67,0.74189,68,0.77141,57,0.45607,45,0.09183
ENSG00000116688,MFN2,137,0.06137,122,-0.1184,143,0.13024,179,0.50424,98,-0.4730,204,0.73041,103,-0.3916,89,-0.6192,111,-0.2723
ENSG00000048707,VPS13D,105,0.26558,41,-1.2129,71,-0.3679,137,0.72007,134,0.67789,96,0.11667,83,-0.1044,57,-0.7022,78,-0.2083
ENSG00000116731,PRDM2,293,0.00452,218,-0.4642,413,0.57739,472,0.80787,315,0.12412,192,-0.6651,381,0.43909,176,-0.7975,168,-0.8752
ENSG00000189337,KAZN,67,-0.3863,40,-1.1657,109,0.39007,75,-0.2142,61,-0.5393,76,-0.1861,131,0.71343,132,0.72694,79,-0.1349
ENSG00000142634,EFHD2,123,0.81506,81,0.09821,69,-0.1540,61,-0.3378,17,-2.2438,178,1.48584,32,-1.3439,44,-0.8418,78,0.03551
ENSG00000116138,DNAJC16,32,-0.2369,45,0.30304,15,-1.4189,58,0.74629,42,0.19834,62,0.84870,22,-0.8068,34,-0.1481,25,-0.6191
ENSG00000197312,DDI2,55,0.15049,30,-0.7916,60,0.30862,57,0.21258,105,1.28402,59,0.26343,48,-0.0628,23,-1.1654,12,-2.1860
ENSG00000116786,PLEKHM2,127,0.25188,114,0.06963,158,0.61743,62,-0.8828,132,0.31724,83,-0.4255,145,0.46819,62,-0.8714,97,-0.1894
