,img_file_name,type_of_object_str,x1,y1,x2,y2,x3,y3,x4,y4,Width,Height
0,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,343,1352,375,1352,343,1365,375,1365,32,13
1,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,1765,1344,1778,1344,1765,1360,1778,1360,13,16
2,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,1014,1337,1027,1337,1014,1346,1027,1346,13,9
3,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,111,1309,133,1309,111,1331,133,1331,22,22
4,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,635,1305,671,1305,635,1336,671,1336,36,31
5,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,1197,1299,1215,1299,1197,1311,1215,1311,18,12
6,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,452,1290,471,1290,452,1305,471,1305,19,15
7,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,19,1199,102,1199,19,1317,102,1317,83,118
8,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,1568,1191,1585,1191,1568,1205,1585,1205,17,14
9,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,1589,1190,1610,1190,1589,1202,1610,1202,21,12
10,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,1021,1183,1030,1183,1021,1196,1030,1196,9,13
11,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,1396,1179,1409,1179,1396,1187,1409,1187,13,8
12,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,1031,1163,1049,1163,1031,1181,1049,1181,18,18
13,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,458,1122,481,1122,458,1151,481,1151,23,29
14,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,1774,1119,1790,1119,1774,1128,1790,1128,16,9
15,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,600,1107,613,1107,600,1123,613,1123,13,16
16,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,566,1081,604,1081,566,1105,604,1105,38,24
17,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,259,1065,273,1065,259,1078,273,1078,14,13
18,"20220712_VIF_MockPNN_Strong_Scan1_[12864,50280]_component_data_17.tif",Blood_vessels,687,1033,702,1033,687,1057,702,1057,15,24
