Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,47,0.27235,55,0.52891,46,0.27456,36,-0.1722,41,0.05290,30,-0.4348,21,-0.9762
ENSG00000188976,NOC2L,48,-0.0674,50,-0.0275,77,0.78278,51,0.02880,46,-0.1727,26,-1.0054,32,-0.6963
ENSG00000188290,HES4,23,-0.5893,12,-1.5409,32,-0.0703,27,-0.4152,48,0.64952,63,1.03181,30,-0.1619
ENSG00000187608,ISG15,8,-2.1377,6,-2.6115,18,-1.0590,45,0.60989,49,0.67469,27,-0.3393,62,0.99537
ENSG00000188157,AGRN,10,-1.2659,21,-0.1666,36,0.78379,22,-0.0980,24,0.04773,26,0.15774,14,-0.7822
ENSG00000078808,SDF4,29,-1.1141,39,-0.6504,57,-0.0825,54,-0.1837,58,-0.0352,109,1.00167,84,0.56979
ENSG00000176022,B3GALT6,33,0.41758,11,-1.2684,34,0.52638,28,0.18958,26,0.05395,13,-1.0713,19,-0.4680
ENSG00000160087,UBE2J2,33,-0.2401,36,-0.0987,50,0.49689,32,-0.3493,44,0.24017,46,0.29748,22,-0.8361
ENSG00000131584,ACAP3,45,-0.8053,113,0.61915,118,0.79620,56,-0.5920,72,-0.0987,78,0.01729,60,-0.3809
ENSG00000127054,INTS11,28,-0.7634,45,-0.0091,55,0.32844,44,-0.0642,34,-0.4939,85,1.01432,34,-0.4662
ENSG00000224051,CPTP,27,0.37851,11,-0.9797,20,-0.1360,26,0.38926,20,-0.1038,13,-0.7296,26,0.31870
ENSG00000107404,DVL1,27,-1.0163,45,-0.2386,37,-0.6081,37,-0.6672,78,0.72188,90,0.86782,78,0.62918
ENSG00000175756,AURKAIP1,108,-0.6328,78,-1.1327,156,-0.0777,207,0.50532,192,0.29468,172,0.08985,115,-0.5461
ENSG00000221978,CCNL2,22,-1.4902,108,0.99586,80,0.56950,49,-0.3380,41,-0.6208,74,0.37263,53,-0.1690
ENSG00000242485,MRPL20,122,-0.3377,73,-1.1087,160,0.09735,163,0.15100,175,0.26443,148,-0.0347,161,0.09807
ENSG00000235098,ANKRD65,9,-1.7813,13,-1.2789,28,-0.1275,32,0.14213,45,0.72884,35,0.21581,32,0.10654
ENSG00000179403,VWA1,2,-3.1667,14,-0.4683,7,-1.6001,10,-1.1503,17,-0.1981,43,1.32192,75,2.40653
ENSG00000205090,TMEM240,29,-0.1541,37,0.22171,49,0.80729,27,-0.2970,29,-0.1731,38,0.29314,9,-1.9358
ENSG00000160075,SSU72,114,-0.4792,110,-0.5361,150,-0.0574,161,0.08163,197,0.43651,167,0.11573,135,-0.2108
ENSG00000228594,FNDC10,29,-0.1103,16,-0.9685,24,-0.3826,42,0.67030,40,0.45593,8,-2.0118,30,-0.0259
ENSG00000197530,MIB2,27,-0.4359,25,-0.5138,49,0.59049,41,0.30227,37,0.06572,26,-0.4710,16,-1.1607
ENSG00000248333,CDK11B,69,0.73940,88,1.15640,39,-0.1657,29,-0.7488,31,-0.5515,44,0.00423,50,0.21607
ENSG00000008128,CDK11A,32,0.47176,60,1.53110,18,-0.4481,9,-1.6187,17,-0.5269,51,1.24394,21,-0.2015
ENSG00000215790,SLC35E2A,33,-0.2824,20,-1.0584,50,0.40582,39,-0.0419,45,0.19300,41,0.03311,39,-0.0448
ENSG00000008130,NADK,26,-0.1124,25,-0.1681,48,1.02841,18,-0.7737,19,-0.6189,30,0.13602,36,0.39774
ENSG00000078369,GNB1,357,-0.5430,267,-0.9862,474,-0.1158,500,-0.0243,711,0.62617,523,0.05102,551,0.13406
ENSG00000187730,GABRD,229,0.03937,137,-0.7585,241,0.13151,327,0.82396,159,-0.5802,241,0.11812,71,-1.7469
ENSG00000067606,PRKCZ,188,-0.3300,174,-0.4481,238,0.04651,254,0.18615,307,0.51124,172,-0.4665,164,-0.5419
ENSG00000162585,FAAP20,14,-1.2840,23,-0.5349,16,-1.1341,43,0.59300,54,0.92193,14,-1.2766,38,0.25846
