Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to12,Feature log2 fold change topic 9to12
ENSG00000228794,LINC01128,20,-0.8859,12,-1.6402,28,-0.4294,42,0.27304,63,0.85605,41,0.21381
ENSG00000188976,NOC2L,27,-0.8744,26,-0.9248,45,-0.0967,36,-0.4949,65,0.48650,64,0.68267
ENSG00000188290,HES4,9,-2.1162,37,-0.0323,43,0.25049,40,0.12151,43,0.20851,39,0.07157
ENSG00000187608,ISG15,11,-1.8866,33,-0.2599,68,1.00583,35,-0.2160,29,-0.4733,40,0.00735
ENSG00000188157,AGRN,15,-0.3420,15,-0.3138,15,-0.3379,21,0.27435,24,0.36897,19,0.01677
ENSG00000078808,SDF4,78,0.36526,58,-0.0869,60,-0.0418,45,-0.5681,93,0.66332,64,0.07022
ENSG00000176022,B3GALT6,18,-0.4743,32,0.40978,25,0.01739,19,-0.4674,32,0.43745,26,0.16118
ENSG00000160087,UBE2J2,27,-0.2507,24,-0.4124,27,-0.2914,22,-0.6414,59,1.00725,38,0.37917
ENSG00000131584,ACAP3,65,-0.1273,50,-0.5098,75,0.10828,76,0.14446,109,0.70160,61,-0.3075
ENSG00000127054,INTS11,63,0.70353,26,-0.6676,31,-0.4699,29,-0.5852,71,0.90235,45,0.19309
ENSG00000224051,CPTP,13,-0.5715,17,-0.1639,15,-0.3880,14,-0.5312,28,0.64950,24,0.54914
ENSG00000107404,DVL1,16,-1.7962,97,0.97208,73,0.56529,53,-0.0324,52,-0.0435,43,-0.4501
ENSG00000175756,AURKAIP1,101,-0.7618,154,-0.1198,212,0.43779,126,-0.5120,228,0.50271,177,0.13968
ENSG00000221978,CCNL2,77,0.23678,62,-0.1079,29,-1.3557,58,-0.2611,92,0.51132,84,0.53815
ENSG00000242485,MRPL20,125,-0.3831,144,-0.1605,197,0.37152,135,-0.3133,158,-0.0174,172,0.17073
ENSG00000235098,ANKRD65,29,0.01017,35,0.34579,32,0.22677,12,-1.4181,44,0.68435,33,0.32144
ENSG00000179403,VWA1,150,3.58008,42,0.90728,10,-1.3239,1,-3.9781,4,-2.3699,15,-0.8136
ENSG00000205090,TMEM240,13,-1.0969,6,-2.1853,26,-0.1181,32,0.30381,46,0.84081,29,0.12273
ENSG00000160075,SSU72,93,-0.6612,72,-1.0546,205,0.65301,115,-0.4020,142,-0.0057,163,0.29366
ENSG00000228594,FNDC10,8,-1.8007,31,0.13233,45,0.86836,31,0.17550,23,-0.3269,23,-0.3954
ENSG00000272106,AL691432.2,23,0.49248,11,-0.6079,19,0.24879,18,0.17795,25,0.59764,12,-0.6351
ENSG00000197530,MIB2,17,-1.0019,18,-0.9373,36,0.16933,31,-0.1204,36,0.12504,40,0.43169
ENSG00000248333,CDK11B,52,0.12092,61,0.38810,42,-0.2073,69,0.76873,31,-0.6764,34,-0.6626
ENSG00000189339,SLC35E2B,17,-0.2925,18,-0.1802,25,0.39104,13,-0.8257,15,-0.4842,26,0.59064
ENSG00000008128,CDK11A,52,1.13271,35,0.46961,21,-0.3835,28,0.13376,24,-0.1454,19,-0.6211
ENSG00000215790,SLC35E2A,4,-2.1149,20,0.18031,25,0.59627,20,0.22499,18,0.01083,16,-0.2944
ENSG00000008130,NADK,27,0.11752,23,-0.1622,21,-0.2915,20,-0.4258,31,0.31750,30,0.37936
ENSG00000078369,GNB1,297,-0.8284,472,-0.1151,698,0.56896,450,-0.2276,435,-0.2439,537,0.12065
ENSG00000187730,GABRD,12,-4.0310,20,-3.2852,200,0.13562,213,0.27553,249,0.47273,226,0.44853
ENSG00000067606,PRKCZ,132,-0.6856,77,-1.4955,274,0.51400,190,-0.1440,219,0.09807,230,0.24881
ENSG00000162585,FAAP20,34,0.03255,84,1.51473,59,1.03333,19,-0.9992,4,-3.0769,27,-0.4740
ENSG00000157933,SKI,46,0.65160,54,0.91837,30,-0.0384,29,-0.1044,30,-0.0250,22,-0.6102
ENSG00000157916,RER1,54,-0.2155,70,0.20596,45,-0.5063,46,-0.5450,82,0.46208,76,0.48560
ENSG00000157911,PEX10,34,0.79359,33,0.75451,28,0.54122,6,-1.9310,16,-0.3726,22,0.16658
ENSG00000149527,PLCH2,13,-0.1065,6,-1.0915,22,0.88604,10,-0.4765,19,0.53645,12,-0.2115
ENSG00000157870,PRXL2B,20,-1.3050,11,-2.1658,50,0.07929,45,-0.0989,72,0.64600,59,0.46488
ENSG00000158109,TPRG1L,99,-1.1946,103,-1.1278,214,-0.0119,202,-0.1238,270,0.35719,271,0.52122
ENSG00000130764,LRRC47,33,-1.3057,52,-0.6079,72,-0.1401,65,-0.3335,89,0.21887,105,0.70913
ENSG00000116198,CEP104,129,1.23223,97,0.74247,59,-0.0609,70,0.26668,31,-1.0400,37,-0.9771
ENSG00000198912,C1orf174,27,0.17632,9,-1.3889,21,-0.2278,19,-0.3814,22,-0.1010,32,0.68444
ENSG00000196581,AJAP1,16,-1.5941,28,-0.7965,46,-0.0459,69,0.80939,74,0.72955,36,-0.5165
ENSG00000069424,KCNAB2,72,-1.5213,116,-0.8217,247,0.39936,165,-0.3374,282,0.57152,227,0.31755
ENSG00000116254,CHD5,47,-2.4480,130,-0.9548,255,0.08900,363,0.84876,228,-0.0953,225,-0.1553
ENSG00000116251,RPL22,763,0.46778,1073,1.03594,817,0.65411,486,-0.2941,412,-0.5000,371,-0.8456
ENSG00000116237,ICMT,17,-1.3368,21,-1.0652,40,-0.0746,45,0.11694,56,0.45186,49,0.34204
ENSG00000097021,ACOT7,65,-1.9557,46,-2.4427,160,-0.6573,174,-0.5681,323,0.49939,391,1.29347
