Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9to11,Feature log2 fold change topic 9to11
ENSG00000228794,LINC01128,12,-1.3749,10,-1.6697,28,-0.1312,36,0.40027,37,0.41812
ENSG00000188976,NOC2L,21,-1.0031,28,-0.6038,17,-1.4188,54,0.66936,51,0.44459
ENSG00000188290,HES4,11,-2.0692,38,-0.2318,53,0.32178,53,0.45184,39,-0.2307
ENSG00000187608,ISG15,29,-0.0682,24,-0.3800,34,0.15916,41,0.72701,17,-1.0132
ENSG00000188157,AGRN,25,0.11739,24,0.10059,12,-0.9903,20,-0.2982,33,0.75410
ENSG00000078808,SDF4,64,0.36065,67,0.45500,33,-0.7001,52,0.04085,51,0.01735
ENSG00000176022,B3GALT6,9,-1.0724,13,-0.5820,14,-0.4786,28,0.96368,16,-0.3496
ENSG00000160087,UBE2J2,24,-0.3983,21,-0.6184,19,-0.7899,39,0.55583,34,0.17822
ENSG00000131584,ACAP3,64,0.30616,24,-1.2114,58,0.16944,37,-0.7028,75,0.76232
ENSG00000127054,INTS11,44,0.39815,24,-0.5590,25,-0.5081,44,0.61266,27,-0.4231
ENSG00000224051,CPTP,9,-0.4635,2,-2.3469,10,-0.3488,16,0.70891,12,0.06384
ENSG00000107404,DVL1,37,0.06854,34,-0.0648,55,0.82212,23,-0.8511,38,0.15945
ENSG00000175756,AURKAIP1,131,-0.4261,113,-0.6455,184,0.12469,236,0.80709,110,-0.8153
ENSG00000221978,CCNL2,69,0.50355,32,-0.6998,31,-0.8372,47,-0.1665,69,0.64630
ENSG00000242485,MRPL20,121,-0.3462,100,-0.6469,166,0.17293,191,0.57770,114,-0.5277
ENSG00000235098,ANKRD65,50,0.97174,11,-1.3354,31,0.21379,35,0.59204,13,-1.3242
ENSG00000179403,VWA1,216,4.14017,50,0.81512,14,-1.2008,4,-3.4796,8,-2.2013
ENSG00000205090,TMEM240,5,-2.1568,0,-6.2490,21,-0.0549,29,0.67005,26,0.35603
ENSG00000160075,SSU72,75,-0.9251,40,-1.8425,150,0.17384,194,0.90890,102,-0.5418
ENSG00000228594,FNDC10,3,-2.5499,5,-1.9514,32,1.05004,20,0.21293,16,-0.2129
ENSG00000272106,AL691432.2,24,0.92036,9,-0.6465,11,-0.2670,16,0.40164,9,-0.6325
ENSG00000197530,MIB2,23,-0.3076,14,-1.0397,32,0.18048,27,-0.1088,35,0.40191
ENSG00000248333,CDK11B,57,0.48488,29,-0.5928,30,-0.5563,42,-0.0106,50,0.33976
ENSG00000189339,SLC35E2B,12,-0.2756,7,-1.0118,16,0.09727,13,-0.2760,20,0.60852
ENSG00000008128,CDK11A,41,1.06927,26,0.27881,14,-0.7332,14,-0.8086,28,0.55015
ENSG00000215790,SLC35E2A,9,-1.4524,24,0.09769,22,-0.0609,25,0.21133,25,0.15333
ENSG00000008130,NADK,14,-0.4194,8,-1.2157,19,0.08953,19,0.04882,22,0.36991
ENSG00000078369,GNB1,225,-0.9585,231,-0.9170,577,0.58994,442,0.12383,409,-0.0463
ENSG00000187730,GABRD,7,-4.2016,6,-4.4700,86,-0.7503,234,1.61860,116,-0.2763
ENSG00000067606,PRKCZ,101,-0.7908,64,-1.4683,195,0.25566,207,0.49674,157,-0.1361
ENSG00000162585,FAAP20,28,0.02240,27,-0.0289,44,0.83711,24,-0.3251,23,-0.4016
ENSG00000157933,SKI,15,-0.6536,51,1.31008,29,0.44528,13,-1.0486,25,0.14288
ENSG00000157916,RER1,57,0.16720,35,-0.6008,36,-0.6053,64,0.52162,49,-0.1007
ENSG00000157911,PEX10,31,0.54536,29,0.46984,27,0.40162,21,-0.1383,14,-0.7500
ENSG00000149527,PLCH2,23,0.99057,13,0.11886,14,0.14578,12,-0.1581,9,-0.5824
ENSG00000157881,PANK4,5,-1.3149,13,-0.0785,6,-1.2626,20,0.97908,13,-0.0912
ENSG00000157870,PRXL2B,7,-1.9640,12,-1.2355,31,0.23643,35,0.62521,26,-0.1066
