Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,39,-0.0789,57,0.70027,41,0.02201,39,-0.0521,16,-1.4236,21,-0.9611
ENSG00000188976,NOC2L,62,0.41958,43,-0.2463,38,-0.4164,68,0.67301,22,-1.2151,32,-0.6559
ENSG00000188290,HES4,16,-1.3874,32,-0.3270,39,0.05521,54,0.72681,70,0.99175,17,-1.1882
ENSG00000187608,ISG15,15,-1.5865,25,-0.8118,37,-0.1195,68,1.12358,76,1.04901,21,-1.0004
ENSG00000188157,AGRN,14,-0.4699,15,-0.3195,11,-0.7885,22,0.41715,33,0.96944,22,0.29182
ENSG00000078808,SDF4,43,-0.4445,68,0.38322,39,-0.6228,59,0.09322,71,0.36160,59,0.06798
ENSG00000176022,B3GALT6,21,-0.0730,21,-0.0428,18,-0.2771,27,0.45125,19,-0.2038,17,-0.3198
ENSG00000160087,UBE2J2,32,-0.0325,31,-0.1244,20,-0.8350,49,0.82058,25,-0.4547,27,-0.3015
ENSG00000131584,ACAP3,92,0.57154,79,0.31695,35,-1.0661,66,-0.0319,43,-0.6673,73,0.12640
ENSG00000127054,INTS11,40,0.16681,26,-0.6147,28,-0.4413,49,0.61101,43,0.24576,33,-0.1683
ENSG00000224051,CPTP,17,0.08300,17,0.10501,10,-0.7068,24,0.87084,3,-2.3759,11,-0.6102
ENSG00000107404,DVL1,29,-0.9379,65,0.45454,33,-0.7353,57,0.18723,96,1.00754,34,-0.6426
ENSG00000175756,AURKAIP1,83,-0.8813,127,-0.1916,151,0.12424,214,0.87603,114,-0.3304,85,-0.7831
