Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,8,0.01922,7,-0.3131,8,-0.1356,7,-0.3700,9,0.16821,14,0.79920,6,-0.4399
ENSG00000228794,LINC01128,16,-1.0396,28,-0.1746,22,-0.5688,38,0.31821,37,0.31741,30,-0.0986,35,0.14841
ENSG00000188976,NOC2L,22,-0.8406,44,0.23766,21,-0.9158,41,0.13616,40,0.09879,51,0.47210,40,0.10106
ENSG00000188290,HES4,109,1.46633,30,-0.6745,55,0.29210,43,-0.1343,36,-0.4629,39,-0.2694,34,-0.4931
ENSG00000187608,ISG15,93,1.00839,41,-0.3519,52,0.03047,73,0.67144,44,-0.3096,11,-2.2861,36,-0.5328
ENSG00000188157,AGRN,18,-0.3143,23,0.08866,19,-0.1667,24,0.19657,16,-0.5422,34,0.75211,25,0.21905
ENSG00000131591,C1orf159,3,-1.3769,13,0.57823,5,-0.8157,6,-0.7139,7,-0.4993,17,1.09512,18,1.17508
ENSG00000078808,SDF4,69,0.03294,56,-0.2926,67,-0.0269,96,0.65781,50,-0.5736,80,0.26632,62,-0.1313
ENSG00000176022,B3GALT6,17,-0.4273,27,0.31899,17,-0.4245,27,0.30708,20,-0.2588,30,0.45451,21,-0.1091
ENSG00000160087,UBE2J2,28,-0.4795,44,0.22574,36,-0.1060,44,0.24904,34,-0.2301,43,0.17199,42,0.14939
ENSG00000162572,SCNN1D,5,-0.9665,10,-0.0897,5,-1.0117,17,0.93216,9,-0.1918,14,0.45494,7,-0.5298
ENSG00000131584,ACAP3,36,-0.7483,86,0.64029,56,-0.0508,51,-0.2257,38,-0.8142,109,1.05306,78,0.47799
ENSG00000169972,PUSL1,10,0.19755,13,0.63882,5,-0.8475,7,-0.4121,9,-0.0581,15,0.89737,5,-0.7970
ENSG00000127054,INTS11,36,-0.3459,45,0.02290,48,0.10784,51,0.22660,35,-0.4684,56,0.36725,55,0.33703
ENSG00000224051,CPTP,15,-0.5262,15,-0.5746,15,-0.5157,32,0.73367,17,-0.4781,31,0.58163,25,0.23057
ENSG00000107404,DVL1,54,0.27698,68,0.64938,34,-0.4504,45,-0.0097,31,-0.7565,48,0.08040,69,0.68243
ENSG00000175756,AURKAIP1,180,0.03435,170,-0.0500,182,0.05576,173,-0.0340,180,0.04344,181,0.04367,162,-0.1328
ENSG00000221978,CCNL2,63,-0.1665,62,-0.1857,50,-0.5258,66,-0.0957,71,0.02652,110,0.74375,69,-0.0170
ENSG00000242485,MRPL20,190,0.04421,215,0.24527,201,0.13245,206,0.20159,187,0.02600,122,-0.6441,145,-0.3775
ENSG00000235098,ANKRD65,29,0.22324,30,0.25440,25,-0.0375,25,0.01738,28,0.19325,24,-0.0913,11,-1.2295
ENSG00000179403,VWA1,21,0.42981,8,-1.0376,7,-1.2603,6,-1.5454,6,-1.6655,21,0.42612,72,2.85903
ENSG00000160072,ATAD3B,12,0.11924,21,0.96627,10,-0.2311,11,-0.0937,5,-1.2853,18,0.73948,15,0.44823
ENSG00000197785,ATAD3A,3,-2.0261,9,-0.4895,7,-0.8820,12,0.04011,14,0.25771,26,1.26464,11,-0.1811
ENSG00000205090,TMEM240,7,-1.7183,28,0.27124,31,0.41672,24,0.00241,22,-0.1682,35,0.62693,23,-0.0468
ENSG00000160075,SSU72,119,-0.1755,158,0.28036,124,-0.1031,146,0.17917,132,-0.0059,120,-0.1522,115,-0.2191
ENSG00000228594,FNDC10,14,-0.6922,20,-0.0994,14,-0.7000,36,0.97752,21,-0.0494,12,-0.9437,22,0.00545
ENSG00000272106,AL691432.2,26,0.57229,22,0.30843,20,0.16498,12,-0.6710,19,0.08969,17,-0.1067,15,-0.2764
ENSG00000197530,MIB2,20,-0.3219,35,0.54267,23,-0.1112,25,0.04208,20,-0.4276,33,0.44771,27,0.12148
ENSG00000248333,CDK11B,16,-0.2664,21,0.10425,13,-0.5436,19,-0.0608,17,-0.2550,28,0.58426,27,0.52134
ENSG00000189339,SLC35E2B,12,-0.7427,22,0.14950,15,-0.4657,28,0.60927,19,-0.1034,24,0.28745,14,-0.4991
ENSG00000008128,CDK11A,10,0.41898,4,-1.0858,8,0.09727,6,-0.4393,7,-0.2690,16,1.19452,7,-0.1001
ENSG00000215790,SLC35E2A,38,0.22686,29,-0.1826,19,-0.8390,37,0.25179,28,-0.3004,37,0.21967,44,0.49235
ENSG00000008130,NADK,33,0.42919,29,0.21366,22,-0.2154,26,0.00026,21,-0.3736,25,-0.0635,32,0.34513
ENSG00000078369,GNB1,526,0.02003,495,-0.0774,475,-0.1433,661,0.44824,458,-0.2517,502,-0.0555,501,-0.0577
ENSG00000187730,GABRD,64,-1.2309,125,-0.2131,218,0.68791,219,0.81130,130,-0.1909,110,-0.4119,87,-0.7857
ENSG00000067606,PRKCZ,97,-0.6562,186,0.38137,120,-0.3170,181,0.38333,130,-0.2421,143,-0.0432,172,0.24853
ENSG00000162585,FAAP20,58,1.08181,41,0.47239,28,-0.1058,26,-0.2668,22,-0.6064,14,-1.1404,43,0.58390
ENSG00000157933,SKI,29,0.89095,18,0.16741,14,-0.3067,20,0.29858,10,-1.0048,19,0.21856,18,0.15586
ENSG00000157916,RER1,61,-0.0898,55,-0.2320,57,-0.1947,60,-0.1108,71,0.20419,66,0.04515,70,0.14142
ENSG00000157911,PEX10,32,0.88692,14,-0.4330,14,-0.4413,12,-0.6859,15,-0.4368,13,-0.5699,44,1.45318
ENSG00000149527,PLCH2,14,-0.1407,32,1.19153,24,0.68083,21,0.52211,7,-1.3295,12,-0.4787,11,-0.5366
ENSG00000157881,PANK4,7,-1.1064,30,1.05392,23,0.62868,20,0.44829,9,-1.0157,18,0.22687,11,-0.5059
ENSG00000157873,TNFRSF14,20,1.20131,8,-0.2708,23,1.47593,10,0.03552,6,-0.7876,3,-1.8283,4,-1.3103
ENSG00000157870,PRXL2B,22,-0.7493,50,0.52531,44,0.29779,44,0.36910,30,-0.3478,30,-0.3098,37,0.02702
ENSG00000177133,PRDM16-DT,46,1.63854,32,0.94809,21,0.23275,7,-1.4758,6,-1.8047,23,0.39688,24,0.44770
ENSG00000158109,TPRG1L,107,-0.9337,204,0.07530,169,-0.2181,250,0.46767,205,0.11220,214,0.15689,134,-0.5766
ENSG00000116213,WRAP73,10,-0.8191,24,0.50926,20,0.23148,20,0.19383,16,-0.1753,24,0.48314,10,-0.8810
ENSG00000130764,LRRC47,50,-0.6322,56,-0.4667,62,-0.3104,81,0.13316,83,0.19109,83,0.15686,93,0.32977
ENSG00000116198,CEP104,24,0.24925,15,-0.4498,24,0.24711,15,-0.5403,16,-0.4878,26,0.33928,39,1.05546
ENSG00000198912,C1orf174,8,-0.9513,18,0.35333,11,-0.4581,16,0.13883,18,0.43450,14,-0.0091,9,-0.6885
ENSG00000196581,AJAP1,22,-0.7204,35,0.02361,53,0.69325,37,0.10747,31,-0.2235,44,0.39071,26,-0.4502
ENSG00000131697,NPHP4,10,0.24208,18,1.17340,7,-0.2975,8,-0.2019,5,-0.8640,14,0.82441,6,-0.6294
ENSG00000069424,KCNAB2,104,-0.8239,188,0.11059,152,-0.2292,244,0.61486,141,-0.4401,217,0.34241,188,0.10667
ENSG00000116254,CHD5,78,-0.6837,103,-0.2661,123,0.01843,144,0.31447,111,-0.1832,166,0.51324,123,0.02399
ENSG00000116251,RPL22,1126,0.88242,915,0.52872,745,0.18926,555,-0.3119,510,-0.5108,509,-0.4163,687,0.05810
ENSG00000116237,ICMT,33,-0.4703,47,0.05988,58,0.39809,60,0.52623,37,-0.4139,50,0.16960,34,-0.4537
ENSG00000097021,ACOT7,88,-1.7784,233,-0.3010,245,-0.2204,331,0.29970,362,0.54746,301,0.10663,201,-0.5279
ENSG00000215788,TNFRSF25,25,-0.4066,36,0.14132,49,0.65016,38,0.25647,20,-0.8984,64,1.12801,17,-0.9971
