Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000237491,LINC01409,10,-0.0261,6,-0.7684,11,0.13506,13,0.44796,11,0.14817
ENSG00000228794,LINC01128,10,-1.6266,36,0.35468,36,0.40293,29,-0.0301,26,-0.2627
ENSG00000188976,NOC2L,34,-0.1980,44,0.24400,40,0.07293,26,-0.6151,39,0.03354
ENSG00000187961,KLHL17,4,-1.0662,9,0.06833,9,0.06726,3,-1.7420,12,0.63679
ENSG00000188290,HES4,16,-1.3634,41,0.03689,20,-1.3049,97,1.49198,50,0.44556
ENSG00000187608,ISG15,30,-0.5010,49,0.28850,16,-1.6889,104,1.54913,46,0.20453
ENSG00000188157,AGRN,49,1.41322,15,-0.5490,19,-0.1907,20,-0.0872,18,-0.3013
ENSG00000131591,C1orf159,15,0.64052,9,-0.2555,11,0.16626,2,-1.9936,11,0.18314
ENSG00000078808,SDF4,92,0.44588,60,-0.2700,67,-0.0960,63,-0.1667,75,0.13860
ENSG00000176022,B3GALT6,16,-0.5956,21,-0.2220,20,-0.4024,27,0.13994,33,0.64389
ENSG00000160087,UBE2J2,48,0.21760,37,-0.2009,32,-0.4782,41,-0.0144,52,0.47044
ENSG00000162572,SCNN1D,16,0.61643,10,-0.1633,10,-0.2294,2,-2.1430,14,0.51445
ENSG00000131584,ACAP3,72,0.12076,62,-0.1403,69,0.07546,56,-0.2687,70,0.08011
ENSG00000169972,PUSL1,10,-0.1441,9,-0.3211,11,0.09558,10,-0.1360,12,0.23953
ENSG00000127054,INTS11,67,0.58362,48,0.04450,41,-0.2822,36,-0.4204,49,0.10192
ENSG00000224051,CPTP,16,-0.5789,21,-0.1258,21,-0.1637,12,-0.9500,32,0.71672
ENSG00000107404,DVL1,55,0.31676,40,-0.2190,37,-0.4133,62,0.52053,48,0.13954
