Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000237491,LINC01409,3,-1.6964,11,0.20095,11,0.26409,32,1.98630,13,0.43689,5,-1.0343,10,0.01968,11,0.13939,6,-0.6709,4,-1.2112,4,-1.3578,10,0.00482
ENSG00000228794,LINC01128,40,0.18144,50,0.53416,27,-0.4476,46,0.40296,39,0.14481,38,0.09982,42,0.26655,38,0.11313,43,0.33121,11,-1.7638,26,-0.4994,20,-0.8829
ENSG00000188976,NOC2L,75,0.85562,57,0.42625,97,1.29440,45,0.04269,32,-0.4744,23,-0.9414,43,-0.0113,47,0.10933,35,-0.3580,20,-1.1413,30,-0.5712,28,-0.7017
ENSG00000188290,HES4,11,-1.1849,31,0.41757,33,0.53936,27,0.19243,13,-0.9312,22,-0.0860,12,-1.0377,11,-1.1566,16,-0.6720,35,0.60802,49,1.15627,33,0.53963
ENSG00000187608,ISG15,117,1.97892,22,-0.7669,71,1.07801,15,-1.2717,22,-0.7573,8,-2.2063,12,-1.6528,14,-1.3750,33,-0.1428,39,0.12808,34,-0.0831,49,0.47209
ENSG00000188157,AGRN,15,-0.4992,38,0.93465,27,0.38442,34,0.76624,25,0.22930,12,-0.7926,22,0.08312,14,-0.5733,8,-1.4354,29,0.46508,24,0.18183,17,-0.3068
ENSG00000078808,SDF4,47,0.13913,60,0.52063,61,0.52644,58,0.45380,35,-0.3395,34,-0.3786,45,0.04298,22,-1.0198,31,-0.5271,53,0.29921,56,0.40784,31,-0.5347
ENSG00000176022,B3GALT6,21,0.22363,28,0.66706,18,0.00089,18,0.01910,20,0.14047,13,-0.4836,20,0.18970,23,0.38315,11,-0.7953,18,-0.0083,15,-0.2461,18,0.01049
ENSG00000160087,UBE2J2,21,-0.3261,30,0.20176,43,0.78060,30,0.19141,15,-0.8182,24,-0.1422,37,0.51717,37,0.52872,14,-1.0375,19,-0.5281,30,0.21711,29,0.14886
ENSG00000131584,ACAP3,21,-1.4011,98,0.98119,57,0.12131,123,1.37549,63,0.27784,37,-0.5257,36,-0.5968,31,-0.8112,20,-1.5716,52,-0.0374,73,0.51596,58,0.13812
ENSG00000127054,INTS11,35,0.25176,53,0.94886,62,1.20780,39,0.43330,15,-1.0101,15,-1.0143,24,-0.2902,19,-0.6511,13,-1.3127,26,-0.1752,40,0.49515,28,-0.0812
ENSG00000224051,CPTP,14,-0.1028,24,0.73902,34,1.28641,14,-0.1103,15,-0.0556,6,-1.2585,14,-0.1139,12,-0.3685,11,-0.5090,19,0.38615,12,-0.3152,10,-0.6330
ENSG00000107404,DVL1,17,-1.1345,57,0.68601,31,-0.2872,31,-0.2765,44,0.28011,29,-0.3839,30,-0.3080,18,-1.0759,22,-0.8007,67,0.95798,70,1.01600,41,0.17238
ENSG00000175756,AURKAIP1,205,0.48269,191,0.36850,209,0.50768,124,-0.3019,115,-0.4285,97,-0.6794,133,-0.2031,91,-0.7703,140,-0.1349,134,-0.1893,235,0.69943,154,0.02405
